Comment,Negative,Neutral,Positive
An organization with clear goals permanently looking for internal input serving people's interests first.  AHF delivers top class services and care for people living with HIV (and many other people as well) and definitely looks after its staff wellbeing warmly and honestly.,0.0005389685,0.00053754373,0.9989235
Working while a pandemic affects the whole planet is not easy particularly in third world countries. Even so AHF has shown real commitment in looking after everyone.,0.99794465,0.0018965229,0.00015881528
Great opportunity for a parttime job for a year abroad Flexible hours,0.00023758208,0.00018960977,0.9995728
Experience dependant on location and placement,0.0006634471,0.99694556,0.0023910233
You gain a lot of experience,0.0010148635,0.9900018,0.008983397
Salary is bad and it is a stressful job,0.99918646,0.00063195854,0.00018151481
Networking at all levels Best professionals always willing to innovate,0.0010044854,0.0011975784,0.99779797
It´s a very heavy bureaucracy,0.9979747,0.0018796434,0.0001456649
A well thought out programme with the opportunity to engage culturally in the country of choice,0.00019149188,0.00022327456,0.9995852
Bureaucracy difficulty getting in contact with organisation once problems arose,0.9989895,0.0008780588,0.00013236744
nice place nice people great working enviorment.,0.000205706,0.00026455882,0.9995297
really bad paid but... its an NRO!,0.9982564,0.001605907,0.00013771984
Están buenas las casuas aunque sólo se enfoquen en algunas e ignoren otras que van de la mano.,0.0006400985,0.99773943,0.0016203931
Estás parado literal persiguiendo gente no hay baño no hay momento sentado es todas las horas parado y caminando. Presión para captar gente. Sueldo bajo por hora a comparacion de callcenters y por afiliado que haces entrar es una miseria lo que pagan.,0.00083672587,0.99538606,0.0037771077
Great job. Inspiring and rewarding tasks.,0.0005239929,0.00039030897,0.99908566
Not so good place to work. Awful management.,0.99917346,0.000661306,0.0001652551
Good team spirit (not all units) prestige opportunities to grow.,0.0002512487,0.00043807435,0.99931073
Very bureaucratic reluctance to allow more flexibility on work schedule. Takes advantage of inflation to lower salaries (changed salary scales on existing contract using inflation as a tool).,0.9987896,0.0010640888,0.0001462728
Very well organized company to work for. Great benefits and pay,0.0004804235,0.00029664524,0.9992229
Hard to move up if wanted to,0.99782324,0.0020544785,0.00012225524
Good benefit and people to work with,0.00017665056,0.00018912226,0.99963427
Limited growth options for certain jobs,0.99895406,0.0009176897,0.00012825258
Uplifting experiences New friendships Constant personal growth Service,0.00028629604,0.00043798465,0.99927574
Can be high stress. Long hours,0.99912304,0.00071284786,0.00016410441
Spiritual and worthwhile religious values. Share empathy with work mates and similar life perspective and organization goals.  Pleasant human enviroment.,0.00021389168,0.00033332597,0.99945277
Low salaries for a place with a high inflation but not recognized by the government.  Rate inflation is disguised in an institutional manner showing only half of real rate of inflation. Our organization does not want to recognize this real fact; a fact it's not under our controll,0.99906605,0.00077070924,0.00016328218
Excelent salary and benefits,0.8354152,0.06164386,0.10294094
Not many oportunities to grow,0.99662423,0.0032761,9.9684934e-05
Top level research for developing countries,0.016962381,0.1094281,0.8736095
a bit unstable for consultants,0.95951587,0.0402421,0.00024201328
Keeps me connected to a technology leader as a customer.  Stable full time job.,0.007965287,0.46791208,0.52412266
Not a technology company which I find very much interesting working at. Low salary. Scarse resources for training.  Few possibilities for growing inside the organism.,0.9983682,0.0013976282,0.00023421153
 Excellent place to learn and help people,0.00018245436,0.00017380902,0.9996437
I can´t think about anything wrong,0.00040778783,0.9991423,0.00044988104
A rewarding job salary working in the UN humanitarian issues flexibility,0.0007272594,0.0005856123,0.9986871
Work environment lack of teamwork difficult people to work with little help bureaucracy,0.99919957,0.00064527505,0.00015519401
