Comment,Negative,Neutral,Positive
Entered the interview process and was quite easy and straightforward. Was a easy process throughout and the atmosphere felt like it would be nice to join the organisation. I would recommend applying to this organisation.,0.007853849,0.23140316,0.760743
It was an hourlong interview. Overall it was pretty smooth. I tried to be confident and relaxed when answering the questions. They also asked behavioural questions such as 'described a time when you handles a challenging situation',0.00048799624,0.9985146,0.0009974275
The interview process was quite casual but maintained an air of formality. The questions asked were mainly about gauging your personality and how that would fit in with the social brand. Overall it felt like they wanted to ensure that their members had commitment and good values.,0.0006175564,0.9983171,0.001065364
There are 3 rounds if you pass one you get an email inviting you to the next round. I got to individual interview but got declined. They generously scheduled a session to give overall feedback but it was quite general. Round 1: Online Application  fill out google forms Round 2: Assessment Centre  work with a team on a general task Round 3: Individual Interview  basic gettoknow personality interview,0.0010739551,0.99870884,0.00021712748
Write a platform. Challenges and election. Platforms contain lots of questions have to format carefully.  Challenges are done in videos and ways that requires reaching out to alumni. Inspiring motivational public speaking style are important for your speech in election for the votes.,0.018186742,0.94613034,0.035682965
fairly straightforward and quick process. all up took about a week and a half to get through. the process was:  1. online application  2. invitation to group assessment 3. individual interview with two panelists,0.0027881311,0.92525643,0.07195538
The interview process was fairly brief with three sections. They were mostly about my strengths and weaknesses. The interviewers were super helpful and understanding if I needed some time to think.,0.0012490667,0.9239293,0.07482165
They have a group interview then an individual interview. The group interview is just playing some games like building a tower using spaghetti and marshmallow thinking of a world problem then present it as a group. Individual questions are mostly behavior questions. It lasts for around 30 minutes.,0.089567505,0.91006255,0.00036989085
Basic interview  competency and behavioural questions.  Prepare for basic interview questions (e.g. strengths/weaknesses your background what exp you had etc)  Be yourself understand the values of the organisation and incorporate it into your interview and assessment centre,0.0015866825,0.9978388,0.00057448325
There was an online application form where you detailed your reason for joining and preferred choice of department.  Followed by an assessment centre in a group then finally individual interview.,0.0004730444,0.99870694,0.0008200426
"Two interviews and a ""short"" test. Both interviews were conducted by two people who did not understand the job at all which was obvious from the questions and the feedback. They didn't understand the common 'jargon' they associate with the type of role so when their inexperience became obvious I didn't use it as much as I could have. However they seemed to think this indicated a lack of experience despite that obviously not being the case based on my resume answers and test response (which they said was ""the very best of the bunch""). The test itself was overly long and complicated and was alost completely irrelevant to what they were supposedly looking for with the role.  Other red flags:  The role had only been in existence for 13 months and this was the fourth time they were hiring for the role.  I did not apply for the role but interviewed after being approached by 3 separate HCF HR reps about this role on the same day via LI. I thought they were 3 separate Product Designer roles as they were described by each person so differently: junior mid and senior level paying anywhere between $80k and $160k pa.  The job description was overloaded nonsensical contradictory and full of nothing but jobspecific jargon used incorrectly.  The job was advertised as remote but was stated to be hybrid with no details about what that actually meant. Everyone else on the team was interstate.  They couldn't tell me what I would actually be working on or what type of professionals I'd be working on the same team as.  They couldn't tell me what they were actually looking for but it wasn't really a Product Designer but a combination of about 4 different roles.",0.998283,0.0015714954,0.00014555658
"In the online video interview I had included the hiring manager and a branch manager and they took turns asking me questions. It was super thorough ""what if"" questions and I felt like I was being grilled for over 60 minutes.",0.99646425,0.003358293,0.0001774984
Online interview process easy and quick to use I didn’t have any problems with the process at all very efficiently done and quick to respond to any questions or queries .,0.00070435274,0.0012868798,0.9980088
Two weeks get the offer and rejected me because failed in background check without any reason. Don’t waste time on it I reject my another job because they offer me the full time position.,0.995572,0.00418415,0.00024390056
I was shown this contract role by a recruiter who set up the interview. The 1 and only interview I had included the hiring manager and the HR lady and they took turns asking me questions. It was very very thorough and I felt like I was being grilled for 60 minutes. They said the recruiter would get back to me with the outcome but they never did.,0.99475986,0.00509871,0.0001414505
Long process. Video interview n if you clear that then face to face interview process which involved group activity and role play. Took about 3 hrs in the office. N a few good weeks until the final results,0.9414118,0.05749022,0.0010980298
Very poor. Poor preparation from HCF HR staff led to a confusing and below par interview experience. I was contacted by the HR department who seemed a little unprepared about why they were contacting me which seemed strange. The questions they asked me on the phone were unplanned and delivered without compassion or confidence. In short this was a very poor introduction to the company.,0.9990772,0.0007677278,0.00015508964
It was one hour of getting to know me about the role behavioural questions and an exercise. Unfortunately the position base location was not as advertised so I went through an interview to be rejected. It took 1.5 weeks to know in total and there was a survey to fill out about the experience.,0.99799144,0.0018902126,0.00011840741
