Comment,Negative,Neutral,Positive
developed quickly good product and service,0.0012279457,0.0012743463,0.99749774
It is a bit slow when using the apps,0.9949706,0.004889373,0.00014003339
Project planning implementation evaluation campaigning management,0.0012843391,0.99631196,0.002403632
Office space team building offive equipments,0.00038817796,0.03133185,0.96827996
Amazing cause fighting for women's rights incredible team,0.00028525008,0.00034650348,0.99936825
Burnout and too much of a topdown approach,0.998852,0.0010138421,0.00013413695
Lovely coworkers very compassionate and understanding. Always supporting one another.,0.00023271574,0.00021612961,0.9995511
Lack of support from leadership,0.999113,0.0007399213,0.00014709627
Team building exercises on the job training seemed like a good cause diverse group of employees,0.00024017722,0.0004189168,0.99934083
Not very good pay commission based felt like they kind of threw you to the sharks and after the initial training there was little assistance which would have been fine if it wasn't accompanied by the fact that failure to make a sale in the first couple of days would result in being let go.,0.9987174,0.0011596892,0.00012286882
Good working at a university. Good experience for CV.,0.00023074652,0.00022636357,0.99954295
Staff are over worked and underpaid. My role was technically an EA role they just pass it off as an administrator to pay less. Very low salaries for the hours and lots of expected over time. You put in so much effort into the role and its not appreciated. The manager can be arrogant condescending and micromanages and you're constantly given negative feedback and feel like you cant do anything right  no matter how hard you work. Some of the staff can be quiet pretencious aswell.,0.99903333,0.0008062546,0.00016043244
Benefits and pay are good.,0.0054380456,0.023118,0.97144395
Being part of a big organization like AdvocateAurora Health leads to not being heard as an individual employee.,0.99815995,0.0016788916,0.00016108798
great work and fun people,0.00033259828,0.00041828517,0.99924904
bad people can make had work,0.84989923,0.14941098,0.0006898256
Great people and a great work environmnet,0.00023677014,0.0002824559,0.9994808
Can sometimes be long hours,0.9983864,0.0014335689,0.00018009571
Good learning opportunity tight knit culture,0.00017294331,0.00022711884,0.9996
No cons at all it was a great experience,0.001822337,0.98634714,0.011830579
nice place and people are good very passionate and energetic.,0.0001725462,0.00028699986,0.99954045
Too many meetings each week.,0.9990164,0.0008014872,0.00018207227
Great people and excellent programs,0.00040827948,0.00038184252,0.9992099
No cons thus far at my time here.,0.0002943685,0.99893636,0.0007692281
Friendly environment a lot of opportunities to grow flat structure,0.00022604155,0.00021361951,0.9995603
A lot of procedures to follow,0.9633711,0.036425527,0.00020336396
Lots of touchpoints People are friendly  Learnt a lot,0.0024399858,0.17955008,0.81801
Too much time commitment Work can be repetitive,0.9991372,0.0006669781,0.00019585768
AIESEC is very unique as a student organisation.  Genuine purpose and vision  Strong culture  Early start to working in a business  Plenty of opportunities to grow  Emphasis on character building very rare early in student life  Place to fail and learn everything applicable in a business,0.029905139,0.03743987,0.93265504
 No remuneration or little if any  Can be very intensive in hours,0.9991617,0.0006866823,0.0001515864
Entrepreneurial working environment driven by passionate and supportive student volunteers. Learn a wide range of soft skills and some practical hard skills as well.,0.0002353581,0.00024599727,0.99951863
Large organisation run by student volunteers with high turnover from ground up to national leadership. Due to this business strategy knowledge and skill retention suffers year to year. Limited career progression opportunities.,0.9991273,0.00072187796,0.00015084342
Work with likeminded people and sharing the same passion to develop leadership,0.000521947,0.0011372608,0.9983407
High turnover fresh but not sustainable and hard to grow,0.9991272,0.000721241,0.00015167952
Heavily focused on upskilling members and strong culture.,0.0015112475,0.21730849,0.78118026
Can be very time intensive,0.99902534,0.0008234487,0.00015122857
It was a very fun experience,0.00067483104,0.004789471,0.9945357
I have nothing to say,0.00032910623,0.99907804,0.00059284107
