Comment,Negative,Neutral,Positive
Ability to actually have an impact Democracy at the workplace,0.0023749545,0.0017320504,0.995893
Low salaries and benefits Slightly disorganized at times,0.99921143,0.0006134943,0.00017513639
Young team you are allowed to fail,0.9953832,0.004470339,0.00014640913
Not wnough money to make it full time,0.99734724,0.002486643,0.00016607883
good work environment friendly and motivated teammates good organization good leadership,0.0001951282,0.00018144322,0.9996234
lack of team meetups(mainly due to covid),0.9990866,0.0007776832,0.00013567078
Great first experience for a student,0.000283022,0.0005092876,0.9992077
Not well paid but offers some benefits,0.18484123,0.68205774,0.13310103
Working with likeminded people Having a positive impact on society,0.00014249826,0.00022612058,0.9996314
Sometimes lack of competent leadership,0.9984995,0.0013424072,0.00015812913
its for a good cause,0.00029306713,0.0015990054,0.9981079
way to stressful and lots of interaction,0.99892765,0.0009219976,0.00015024852
Very supportive provided good training,0.0007980391,0.0008520555,0.9983499
There were no cons about this company,0.9986928,0.0011814378,0.00012577837
Salary short days free time during the week,0.0034047398,0.9877785,0.008816875
Unreliable staff in schools sometimes lots of preparation time which was unpaid,0.99921536,0.0006108613,0.0001737473
Working abroad in another culture great for developing language skills,0.00019471803,0.0002517864,0.9995535
Experience dependent on assigned school.,0.0027281877,0.99118084,0.0060910718
It is great place to work with.,0.00023004798,0.00025492712,0.99951506
I don't have anything to mention.,0.00030107755,0.9990946,0.0006042943
Meaningful work and great people,0.0002671105,0.00028207115,0.99945086
Very bureaucratic and hierarchical organization,0.99913824,0.00070207595,0.00015956639
the working and package conditions,0.0072515695,0.99221814,0.0005302456
contract limited in time need to anticipate the future,0.99568486,0.004156415,0.00015864981
Contributing to world peace learn something new,0.0014520604,0.7967147,0.20183322
Slow to adopt chance management lacks proficiency,0.99896216,0.00089523714,0.00014254649
Great working environment and working with global experts at the organisation.,0.00021686319,0.00020060872,0.9995826
Just the relocation headaches and moving to new country.,0.99612755,0.0037411433,0.00013135346
International environment positive working environment fair management flexible working conditions attractive taxfree salaries good social benefits interesting assignments.,0.00022272953,0.0001870439,0.9995902
Somewhat bureaucratic as one might expect in a UNaffiliated organisation.,0.9975426,0.0023159178,0.00014156537
Midlevel employees care about you interesting environment often interesting assignments,0.0002630322,0.0010553562,0.9986816
Higher ups do not care about you at all; sometimes repetitive assignments,0.9989116,0.0009113086,0.0001770411
International Organisation allows you to meet and interact with people from different countries.,0.0010354501,0.10061951,0.89834505
Maximum 7year contract rule in place however applied adhoc.,0.017932676,0.9812676,0.0007997846
It was a great internship program with lots of responsibility given to the interns.,0.00034022494,0.0002620831,0.99939764
The internship was unpaid which affected the way you were treated within the organization.,0.99891603,0.000932573,0.0001514438
Treatment with dignity and respect.,0.6336491,0.3161008,0.050250087
STA's can work max 2 years!.,0.0005794365,0.98269916,0.016721472
International environment and contact with students is motivating. The spirit is young and people are mostly very engaged. There are many opportunities for research and professional development if you find the time. Generally speaking low hierarchical attitude which is very pleasant. As a large organization processes tend to get complicated sometimes.,0.0012450258,0.022434464,0.97632045
