Comment,Negative,Neutral,Positive
nice friendly environment. Staff are cooperative.,0.00019098638,0.00023200644,0.999577
So far nothing is found to mention.,0.00029808682,0.99905926,0.0006426369
very good work environment and attractive salary and benefits packages.,0.0004666293,0.00032813736,0.9992053
project based so job uncertainty is there.,0.9974331,0.002464192,0.00010278179
International NGO based at the Cox’sbazar where all Rohingya camps are located. Working as a security in ACTED I have gained interpersonal skills communication skills working at the camp and with other INGO facilities.,0.0009991716,0.66858995,0.33041093
Never got a raise just promotion after working for 4 years. Very less employee benefit.,0.9991223,0.00072666403,0.00015100342
good for learning works in hand,0.00018339463,0.0005181605,0.99929845
overload with works poor security system,0.99908805,0.00076229096,0.00014975689
Good working environment supportive management flexibility in working.,0.00022483304,0.0001957574,0.99957937
The salary structure and fringe benefits need to review regularly.,0.9974293,0.0023859465,0.00018476672
Good working environment friendly flexibility,0.00019927505,0.00019462038,0.9996061
Need to review the salary structure regularly.,0.95366746,0.045783807,0.0005486506
Great Environment Values and Poilicies,0.00031554388,0.00042645386,0.999258
Funding issues for the political situation in Bangladesh,0.9972898,0.0025879408,0.00012228327
A friendly work environment with opportunities to grow.,0.00018411991,0.00018693716,0.9996289
Prioritize external candidates over internal employees when it comes to a new vacancy even when the internal candidate is qulified and experienced enough.,0.027209016,0.97240734,0.00038364172
Huge opportunity to learn grassroot level organizing and development work from global south perspective. Great explore and networking opportunity for employees across the globe. Standard benefit and salaries in Bangladesh context.,0.00021214863,0.00020456396,0.9995833
Less scope for work life balance.,0.9987943,0.0010682326,0.00013741374
For me the organization's culture,0.00041655358,0.99703646,0.0025469384
For me the huge work load,0.99201,0.007817029,0.00017304404
Best place for women to work,0.00034618872,0.00033226257,0.9993216
Salary is average like other INGOs,0.9986197,0.001252666,0.00012765487
Friendly working environment Comport working zone,0.0001661198,0.00017207563,0.9996618
very much familiar organization central Power practice,0.00025692358,0.9974886,0.0022543564
Work friendly environment makes me more crazy about this organization,0.0038191595,0.010453904,0.9857269
Some critical situation also makes me unhappy,0.9771343,0.022762915,0.00010277671
Great pay plus bonus  patients are great,0.0010994654,0.0009699981,0.9979305
Pharmacist is horrible( all he does is find ways to humiliate you at work) tells you not to talk period while working but he can talk all he wants of unrelated things not appropriate for work and other employees all the time can act disruptive buts its ok because there's favor for favoriting an employee.,0.9863144,0.013146443,0.0005391473
Excellent platform to develop professional skills.,0.00023993799,0.00022949518,0.99953055
The retention rate is high.,0.99893194,0.0009334834,0.00013459388
Hard work money best good company,0.039249845,0.30404696,0.6567032
salary low medicine down grade,0.9990446,0.0007963661,0.00015898305
It is a best opportunity,0.00027375808,0.0003265484,0.99939966
I think it has no downside,0.0003578397,0.9990305,0.00061168097
For Chittagong the salary is quite good. It is a decent amount to live well in Chittagong.,0.009235526,0.14937316,0.84139127
No bonuses during festivals or vacations.,0.9906617,0.009180152,0.00015811565
Academic freedom for the faculty members,0.0003272475,0.000574715,0.99909806
Less salary and continuous decrease of faculty facilities,0.99898833,0.0008565106,0.00015514862
 Housing Transportation Health center,0.0008641904,0.9735128,0.025622927
 Organizational issues Job insecurity Managerial issues,0.9764143,0.023413826,0.00017182046
The students at AUW are really what make the teaching experience. They are excited and enthusiastic about attending the school and their fellow students. It was amazing to watch how much the students grew during their years at the university.   The university offers housing and transport to international staff which is helpful. Your social network is the school and there are many amazing faculty who come to work at AUW.,0.00020381504,0.0002975259,0.9994986
The administration has had major challenges. There were three provosts in three years. The founder of the organization makes questionable decisions. In addition they stopped offering solid salaries to Access Academy teachers and now make them practically volunteer.  Chittagong is a challenging city to live in since there are few social outlets for new people to the city. The city feels more like a town with locals spending most of the time with family. There are a few cultural centers to meet new people and a few restaurants and bars. It's not Dhaka. There are no embassies or American clubs to go to. But it's also exciting to live in a city where you really have to create your own experiences and challenge yourself to explore.,0.9574517,0.040304944,0.002243393
Without a doubt the greatest community of students one could ever hope to teach.,0.0011388774,0.0018392587,0.99702185
—Hopelessly outoftouch top administration —Dishonest contracts with sundry troublesome terms addended upon arrival. —Continuous hemorrhaging of fulltime faculty who can no longer tolerate the callous administrationbyfiat.  —Incredibly low morale shared by faculty and students (which at least lends itself to class discussions).  —Paranoid CulturalRevolutionstyle divisiveness and monitoring fomented by the administration. —Students packed sometimes 5 to a (nonairconditioned) room.  —Threats of expulsion bandied about for dissent. —Irresponsible handling of work permits and visas.,0.999038,0.0008056893,0.00015641768
very good sustainable & Ancient company,0.00031283355,0.000401068,0.9992861
midmanagement are not effective and coordinative.,0.99903905,0.0008146379,0.00014635889
Lots of great opportunities for parttime workers.,0.00021699563,0.00023571415,0.9995473
The wages can be better.,0.006398168,0.99313605,0.00046571437
Thank you for doing your part to keep,0.005491846,0.012972896,0.9815353
It may be tempting to skip wireframing and provide clients with highfidelity mock ups instead. However wireframing provides a few key benefits:,0.00075306534,0.98353034,0.015716529
Working environment is flexible and healthy,0.00022709908,0.00032481493,0.9994481
Location is a bit hassle plus the traffic is another con,0.9987023,0.0011651063,0.00013260604
Every year you get 4 bonuses.,0.0033334054,0.3804903,0.6161763
Nothing to say about this post.,0.00035668808,0.99872226,0.00092099386
Will get salary on time,0.0061711348,0.9930387,0.0007901237
So many policies to work with,0.9925333,0.007311558,0.0001550996
 Challenging Work  Growth,0.00039864096,0.015042099,0.98455924
 Low pay scale  Slow Promotion,0.9991903,0.0006419362,0.0001678291
Great policies employee friendly culture,0.0002284564,0.00020575541,0.9995658
Low payscal everything depends on supervisor,0.9930072,0.0068500335,0.000142717
Good place to work. Large organisation,0.00021936491,0.00020087577,0.9995797
Some cultural issues. Very large organisation,0.9975465,0.00233274,0.000120703
Excellent exposure to development programmes on the ground.,0.0003476129,0.0004218713,0.9992305
Difficult to maintain worklife balance.,0.9990125,0.0008351747,0.00015229023
At BRAC international there is a great work environment if you develop good relationship with your peers and supervisors.,0.00014707803,0.0001814061,0.9996716
Can have demanding hours at times,0.99896646,0.0008556224,0.00017793338
Good working environment and payscale,0.0007854972,0.0005581011,0.9986564
Office politics can hamper career development,0.999027,0.00083050306,0.000142414
Environment and culture people's organization,0.031098694,0.86634785,0.1025535
Benefits and compensation is low compared to other company,0.9991211,0.00072107185,0.00015783738
Work environment friendly stuff free coffee,0.00027364015,0.00027310904,0.99945325
Nothing low pay slow feedback,0.00085326564,0.998642,0.0005047435
Good if you are connected with influential leaders. But if you are connected and your supervisor is not they will get jealous of you in no time and make sure your life becomes difficult.,0.57707065,0.42087358,0.0020557588
Extremely poor salary structure and slow growth. In a fast economy world this company is still giving motivation as salary!,0.9989785,0.0008032017,0.00021823129
Friendly Environment Female Friendly Workplace,0.00018012973,0.00019020101,0.9996296
Execessive work preasure Target oriented issue etc,0.0002979511,0.99761367,0.002088437
Work life balance Growth culture,0.0003651185,0.9979577,0.0016772337
Low pay Very High pressure,0.9990244,0.00082475686,0.00015094184
Constantly improving  constantly measuring the outcome obsession about scale and costeffectiveness willingness to make mistakes and learn from the mistakes hire right people and fire wrong people,0.99812907,0.0017169361,0.00015401359
There was a major lack of diversity at the company,0.9990706,0.00077393407,0.00015555698
Best place to learn everything from scratch.,0.0010723689,0.0020529407,0.9968747
You will face too much politics.,0.10371978,0.8959178,0.00036246656
Inclusive Teams Great to Develop Competencies as a junior professional and Lots of training,0.00018005475,0.00018804078,0.9996319
Salary is low for the amount work done,0.9991155,0.0007118435,0.00017263363
Great learning experience Field exposure Training opportunity Explore life,0.00027845372,0.0003548503,0.9993667
Low salary Hectic schedule Lack of work life balance,0.9992162,0.0006159953,0.00016779391
Work Life Balance Decent payment for Freshers Supportive Boss,0.00046158818,0.00085246295,0.9986859
Lack of career growth Safeguarding issues can be observedd in Field level,0.9989649,0.0008877345,0.00014736762
Yes that the main point,0.00039954705,0.9982535,0.0013468257
Nice as everything goes well,0.001174078,0.9966575,0.0021683583
working friendly good environment peaceful,0.00019925949,0.00026224434,0.99953854
low salary transport lil bit costly,0.9911959,0.008668522,0.00013552769
Nothing special. But it is the world best ngo.,0.0005075355,0.99628013,0.0032124037
Too much unorganised work load.,0.99915695,0.00066547655,0.00017761144
Learn how to handle contemptible people who make mistakes and blame it on you!,0.9983394,0.0014391127,0.0002215259
Waste your time being demotivated and losing faith in even speaking up in a team meeting.,0.9990953,0.00074283493,0.00016190058
Working environment is too friendly specially for females,0.09342953,0.5475929,0.35897768
Salary range is relatively cheap than other NGOs,0.06377071,0.1450162,0.79121315
Stable organization and salary structure,0.83644575,0.16310722,0.0004469925
Organizational hierarchy slows down activity,0.99114764,0.008703689,0.0001486204
Work environment is awesome and very women friendly,0.00018746003,0.00020777695,0.99960476
Transport is becoming very tough as there's more and more employee in the office.,0.998697,0.001176771,0.00012634636
Regular payment and safe environment,0.0063063726,0.004132518,0.9895611
No career growth Less payment,0.9988851,0.0009920747,0.00012292941
Decent salary considering the workload. Weekly two holidays. Timely salary & festival bonus. Good working environment. Lunch in the office at a subsidiary rate.,0.0007177954,0.0005397693,0.9987425
Block post. Lack of growth opportunity. No Performance Bonus. The discriminatory promotion system is very biased in some cases. Lack of legal training.,0.99918586,0.0006516669,0.00016251147
Very good to be part of BRAC,0.00014141992,0.00020168505,0.9996569
There is no issues. All were ok.,0.0007272951,0.99864,0.0006327823
salary is good and fine,0.0008414985,0.99799335,0.001165135
job is not available so much,0.9978715,0.0020195723,0.000108816756
good for new employees wants to start their career,0.00020661426,0.000397557,0.99939585
bad for aged employees to continue work here,0.9989423,0.0009003126,0.00015738905
 Best NGO in the world  Excellent work environment  Recognises and rewards talents  Rigorous processes systems and controls are in place  Dedicated staff base,0.00023530891,0.00018329687,0.9995814
Worklife balance is slightly tilted  Topdown approach still works,0.00058864476,0.99848026,0.00093111326
I am supporting Community Outreach and Community based protection,0.00033738048,0.00066951825,0.9989931
The basanchor area are far from main land  where Lives 30000 rohinga refugee and we have to provide life saving information.,0.99814343,0.0017336019,0.00012295909
Laid back culture super friendly team,0.00026945127,0.00088493904,0.9988456
not challenging enough sometimes even boring,0.99832946,0.0015254131,0.00014512494
Huge field workforce to implement any project,0.99286133,0.005422472,0.0017162238
Low pay grade and progress too slow,0.9991949,0.00063457503,0.00017051282
Job environment is quite good,0.0050072162,0.29226977,0.702723
Have to work very hard,0.9990415,0.00081612356,0.00014237248
If you are comfortable having multiple bosses you should work at brac because sr management cannot make sound decision on who to replace as a boss once one is gone.,0.9842398,0.015571747,0.00018838228
I've had too many bosses come and leave within a span of 1 year.Long office hours where employees who stay at the office (regardless of how hard they worked during the day) are praised.Shows respect on the outside but ppl who gossip always have each others back. So it didn't matter that I followed the rules.It was sad to see good and hardworking people leave brac.There is open conversation about internal requirement.,0.9848572,0.014718778,0.00042409898
Good for steady work culturally,0.00024764446,0.0011876237,0.9985648
Lack of growth and over policy,0.9991098,0.000742023,0.00014815082
Life changing experience full of learning about the real challenges of implementing large scale development projects.,0.003683128,0.006528715,0.9897882
Salary scale although has increased over the years but intentionally kept lower than market rate to keep overall HR costs low so more money can be spent for end beneficiaries. This also helps them filter people who are dedicated for the cause.,0.20528193,0.7907055,0.004012542
Nice work environmentFemale friendly,0.0001991414,0.000239013,0.99956185
Salary is very less.Long working hours,0.9989931,0.000854176,0.00015261541
i had some additional facilities,0.00029272752,0.99811375,0.001593532
they failed to pay enough,0.999037,0.00081171334,0.00015130147
Good working environment for workers,0.0002296811,0.0002092086,0.99956113
Most of the jobs are contractual,0.03425258,0.9651581,0.00058931136
World largest Org and have the opportunity to work with huge people.,0.00073331845,0.0023011041,0.9969656
Salary structure should be better.,0.009708701,0.98980916,0.0004821224
The culture here is incomparable sometimes.,0.995469,0.004329994,0.00020099706
The growth sometimes is not so fast.,0.9748058,0.024965808,0.00022848118
nice behavior good company gives high salary,0.0015227104,0.00095961936,0.9975177
dont know about this please irritate me,0.3143396,0.68512607,0.00053429866
Good worklife balance womenfriendly policies good exposure.,0.00018503572,0.0002654896,0.99954945
Not all programmes/unit at BRAC are worth working for. Choose wisely.,0.9923854,0.007486036,0.00012861638
 Safe and healthy work environment Could gather good experience,0.00023641887,0.00027312833,0.9994904
 Limited to project rules for project staff Occasionally may need to handle a huge workload,0.99903774,0.0007925995,0.00016966576
Liberty of working Challenges for growth.,0.0012847849,0.047130633,0.9515846
6 days a week Very low travel Allowance Less Salary compare to work.,0.99919516,0.00063870766,0.00016616897
Working environment is good and relaxed.,0.00030941272,0.0010326129,0.99865794
Salary and promotion growth is not as expected.,0.99894625,0.00090089295,0.000152954
The versatile projects and area of learning,0.0002867258,0.00040429996,0.99930894
Some policies are not employeefriendly,0.9990043,0.0008281044,0.00016750926
