Comment,Negative,Neutral,Positive
Het ging vlot! Maar was wel wat stressig maar laten we hopen dat ik mag beginnen. Zou fijne ervaring zijn want vindt belangrijk om mensen sowieso te helpen en hen te geven wat ze willen.,0.001586144,0.99572134,0.002692427
No match but recruiter wanted to sell the job anyway. Mentioned clear I did not have interest in the tasks included at the job. Afterwards I was told I would be informed about a job with a better match never heard back about it. 8 months later another recruiter called me back with feedback about the first interview.,0.61424726,0.38543028,0.0003224822
Heel snelle sollicitatieprocedure goede en snelle contact met de personen waarbij je moet solliciteren. Je moet ook enkele vragen invullen op een blad waar je casussen moet aanvullen. Daarna worden deze besproken.,0.00085275364,0.9961599,0.002987321
Eerst vragen formulier  Dan gesprek over het formulier  Vb van vragen: hoe bereid je stoofvlees Op welke temperatuur was je hemdjes  broeken  bh  Hoe ga je om met klachten Waarom wil je in de thuiszorg werken.,0.00057089253,0.9973369,0.002092181
Je krijgt vragen over jezelf; beschrijf je sterktes en zwaktes hoe handel je in bepaalde situaties beschrijf je negatieve kenmerken en wat doe je om die te verbeteren... Je krijft ook vragen over je familie en voorgaande studentenjobs.,0.00061231165,0.9981444,0.001243311
Heel aangenaam gesprek ! Geen druk  alles heel vlot verlopen.  Snel een antwoord terug gehad.   Alles met nodige respect en een luisterend oor verlopen.  Ik heb Geen stress ervaren.,0.00072243065,0.99798214,0.0012953993
na het schrijven van een cv  op gesprek geweest en  aangeworven. na  twee jaar mijn vast contract mogen gaan tekenen bij de zorgregiodirecteur! na de solicitatie   een week of  zes  opleiding.,0.0007803421,0.99552274,0.003696992
eerst een mail geschreven met in de bijlage mijn cv en sollicitatiebrief uiteraard daarna ben ik telefonisch gecontacteerd en uitgenodigd op gesprek. Op het gesprek werden mij een hoop vragen gesteld en een gesprek gevoerd voornamelijk over mijn studies en motivatie...,0.0006894636,0.9977724,0.0015380945
eerst schriftelijke sollicitatie invullen dan mondeling gesprek over wat je al gedaan hebt en wat je vaardigheden zijn wat je minpunten en je pluspunten zijn kennis over poetstechnieken en kennis over huishoudelijke taken zoals koken  strijken poetsen  opruimen. inhoud over wie en wat Familiehulp is en waar ze voor staan en wat ze allemaal bieden ter ondersteuning voor mensen die hulp nodig hebben,0.0007739195,0.996811,0.0024150517
Eerst een bundel papieren invullen daarna een gesprek met hrm medewerker. Je moet er de standaardinformatie op invullen zoals overal en dan krijg je ook nog tekeningen met voorbeelden van huizen. Je moet dan opschrijven in welke volgorde jij in die woning de nodige taken zou uitvoeren. Ook wordt er naar je ervaring en motivatie gevraagd.,0.00092618464,0.99667156,0.0024022462
was overname van OCMW tienen naar familiehulp. goede uitleg gekregen van de voorwaarden salaris vakantiedagen feestdagen werkuren. hele vriendelijke ontvangst daar ik toch wat bang was om mijn werk te verliezen door die overname. ze stelde mij dadelijk gerust,0.0008892374,0.99649495,0.0026157463
Eerste gesprek invullen van sollicitatiepapieren en test Na 14 dagen intakegesprek  voorstelling bedrijf  tekenen contract Na een kleine maand opstart (familiehulp zoekt eerst naar een aantal klanten om zo aan het gewenste aantal uren te komen),0.0008549456,0.9956052,0.0035398514
eerst info avond  daarna inschrijving voor cursus verzorgende  testen moeten doen met vdab daarna selectie  opgeroepen voor gesprek in roeselare . geslaagd om cursus te beginnen voor 1 jaar  geslaagd en beginnen werken bij fh,0.0005841982,0.9972916,0.002124124
eerst een gesprek dan een schriftelijke proef met vragen over het huishouden algemeen. zoals werkwijze over een raam of deur afwassen eten maken. Als je ervaring hebt in deze job niets om je zorgen over te maken gebruik je gezond verstand,0.0012895017,0.99541014,0.0033003006
 online invullen van gegevens  opladen CV en motivatie  gesprek dat peilt naar motivatie  gesprek met hoofdverpleegkundige waarbij een casus moet worden opgelost dat peilt naar de kennis van de kandidaat verpleegkundige.,0.0008743137,0.9954348,0.0036908144
1. testen via pc persoonlijkheidstesten excel en word oefening cognitieve testen.  2. screening cv en motivatie 3. competentie gericht gesprek  case die je ter plaatse moet voorbereiden en via gesprek moet verdedigen. De case was een mail van een collega die je verder moest opvolgen een verslag typen een tabel maken in Excel en de verbeterpunten van collega aanhalen.,0.00053213973,0.99688715,0.0025807125
Opsturen cv motivatiebrief en vereiste diploma's via jobsiteSelectieprocedure Deel 1: CVscreening Deel 2: Computergestuurde proeven die peilen naar je analytische en admiistratieve vaardigheden Deel 3: Competentiegericht interview waarin ook gepeild wordt naar je motivatie en expertise,0.00039522414,0.9979081,0.0016967055
