Comment,Negative,Neutral,Positive
working with RC National Societies,0.00043910567,0.9911356,0.0084253345
slow processes at eu level,0.99842227,0.001440253,0.00013744156
 horaires flexibles  possible de travailler n'importe où,0.00058792176,0.99552166,0.0038904352
 pas de bureau  trop de responsabilité,0.0013100372,0.9940737,0.0046163294
As an employee you have a lot of advantages. The level of healthcare is really high. Teamwork. You get many chances to educate yourself even more. Very new and good infrastructure. Easy to go to with a car bike and/or public transport,0.000305636,0.000347363,0.99934703
You are left with a feeling the management does not appreciate your knowledge. They make you feel your ideas do not matter. Very big hierarchy.,0.9990007,0.0008572628,0.00014204267
flexibility and open dialogue with colleagues,0.00020675166,0.00026095216,0.99953234
 disorganised with regards to visas,0.9974758,0.0023916517,0.00013259005
Passionate people flexibility interesting projects some good leaders in SBUs,0.00018170458,0.00021556132,0.99960274
Management isn't proper poor performance management high insecurity and job satisfaction. Lots of cases of burnout/prolonged sick leave.,0.999172,0.00066746614,0.00016058529
The working culture and flexible hours are what I liked the most.,0.006400344,0.23868418,0.7549155
Difficult to say but maybe compensation.,0.00039210735,0.999106,0.00050187105
Small salary however payed on time good work life balance and fancy delegations,0.008450865,0.018245714,0.9733034
Nepotism Gossiping culture their own theory does not apply in reality outdated technologies and tools. They had good career opportunities but unfortunately after advancing internally even if being among the loyal & skilled employees  management fired me while being pregnant .. this speaks for itself.. so watch out..,0.996651,0.00310901,0.00023997226
Worklife balance Openspace office Learning opportunities Internal mobility,0.00018708549,0.004748867,0.9950641
Salary not matching the work done!,0.9989686,0.00088061654,0.00015074482
I loved working at CCL.,0.0122237345,0.038138393,0.9496379
Nothing I can think of.,0.0003027401,0.99909866,0.0005986513
The research they have done over the years,0.0014006846,0.997905,0.00069434196
Office politics Little mobility within the company They do not apply what they sell,0.99915135,0.00069571764,0.00015295624
work life balance people fringe benefits the content/products,0.00038004457,0.99853075,0.0010891695
Not everyone would fit in the org culture; if you are open minded and resistant to change you will enjoy the work environment as such.,0.0011241449,0.99739206,0.0014837305
Great brand within executive education;  smart intelligent people; lively multicultural environment; access to great research and reference materials,0.0001647333,0.0001739557,0.9996613
Doesn’t pay as well as its competitors;,0.99896514,0.00088922057,0.00014562786
Flexible worktime learning organization opportunities to grow within the organization.,0.0002129892,0.00020625381,0.9995808
Salaries are a bit lower than the rest of the industry,0.9987936,0.001077622,0.0001286585
A good place to work if you are interested in the Leadership area,0.00018258792,0.00027257774,0.9995448
Salaries are not very high but compensated with work/life balance,0.9954021,0.0044433363,0.00015444135
International environment diversity respect family oriented Leadership,0.015672391,0.64590925,0.3384183
Rumour culture gossip  lack of effective communication meetings.,0.99896944,0.00089120166,0.00013934383
Difficult to get fired if you are an incompetent,0.9973902,0.0024145832,0.00019523963
It's a sectefficient people is not welcome,0.99860424,0.0012285969,0.0001671955
Salary checques repas investment plan in house canteen,0.00042589262,0.9985178,0.0010562448
Quick pace or work complex subject,0.00048267888,0.9962685,0.003248829
Nice people Great network Great place to learn Good advantages,0.00018098087,0.00018454039,0.9996345
Limited opportunity to discuss salary,0.9990332,0.0008276077,0.0001391757
work life balance great benefits and salary overall friendly people,0.0009119606,0.0013377497,0.99775034
bureaucratic not easy to progress in your carreer,0.99906784,0.0007752043,0.00015703082
Interesting industry to work in complex policy challenges to deal with nice and supportive atmosphere in the office great location benefits and perks opportunities for professional developments (but rather horizontally than vertically). All previous reviews were correct for the situation several years ago but the organisation has done a really impressive transformation under the most recent leadership over the past 34 years. More young and dynamic people were hired better management processes developed the organisation has become more efficient in advocacy and communications both externally and towards membership. Granted there are still issues and the situation can vary from department to department: some are modern dynamic and try to be on the edge some are still managed by dinosaurs. Good worklife balance employees are really taken care of.,0.000527026,0.0028033417,0.9966697
Upward mobility is difficult but this is the case for all trade associations. If you wan t to move up a ladder every 2 years join a consultancy this is not a place for you. But if you stick around build relationship with key people there are always ways for professional development and horizontal mobility or moving further to a member company.,0.9968424,0.0030075458,0.00015007821
It's a good organisation to start if you have a background in chemistry.  Nice canteen and good location easy to get there by public transportation,0.00017141235,0.00018070926,0.99964786
It's a mature environment. People are working for the same company for many year and they lost motivation.,0.9804034,0.019308913,0.00028766535
good networking and visibility to outside fairly good training packages independence in carrying out your work,0.00023071184,0.00031190342,0.9994574
individualism office politics slim chances of promotions or salary increase,0.99883956,0.0010234736,0.0001370097
This is a great university to work.,0.0002624623,0.00026945572,0.99946815
The weather is cold in winter.,0.96903485,0.030423775,0.0005414701
Amazing Culture in company Brilliant staff,0.00028474894,0.0002763297,0.99943894
Long work hours for part time workers,0.99918133,0.00064010196,0.00017857592
International workplace very nice people to work with,0.00019927332,0.00021560973,0.9995851
Job itself doesn't require heavy/technical skills.,0.001692976,0.9959448,0.0023621586
Mission driven colleagues and an interesting impact driven goal,0.0001858855,0.0004823053,0.9993318
Lack of leadership and career progression,0.9991148,0.0007338915,0.00015122107
Salary conditions general benefits package,0.001074327,0.99582183,0.003103801
 Working atmosphere (verbal abuse by the Director Director overwhelmed by her functions cannot separate work and private life)  no clear administration of tasks,0.99885654,0.000995434,0.00014804689
Good culture collaborative enviroment and opportunity to grow,0.00016856822,0.0001809691,0.9996505
Honestly there isn't anything I can pin point as a con,0.0003879128,0.99925596,0.00035622512
none at all for them,0.00033464725,0.9991842,0.00048110634
wage is low and much lower each year,0.99910504,0.00074169145,0.0001532305
A great learning environment and a positive working environment.,0.00017915726,0.00018853716,0.99963224
None at the moment will comment on this in the future.,0.0002651754,0.99910945,0.0006254444
Good collegues I've learned alot I've enjoyed my work.,0.00049373694,0.0044473335,0.9950589
You're just a number.. we've worked 12 hours a day instead of 8. We didnt get to take our breaks because it was so busy. We had to do work with 2 people instead of 4 or 5 because people got sick all the time.. it was a mess. Got a Burnout and when i got back from a month abscense they fired me.  Wage was low for what we had to do every day.,0.9990681,0.00076528406,0.00016660304
Greenpeace has an open business culture easy to use informationsharing platforms and a transparant policy,0.00031758723,0.00031359517,0.99936885
Two main types of managers are working at Greenpeace. One's that promote status quo and old management practices and Ones that promote growth and selffulfillment within their employees.  I loved the second group and because of that the first saw me as a potential danger for their positions and fired me.,0.18182549,0.8150503,0.0031242208
 Non profit  Global mission and activities  Pays well  Progressive HR  Takes care of employees  Great diversity in potential activities inside organisation,0.00047398507,0.0003730874,0.9991529
 Federation not always easy to manage  Distributed (decentralized) work force can sometimes be a challenge,0.9990158,0.0008289247,0.00015527013
Dedicated and committed people with a strong community feeling,0.00020200317,0.00027308203,0.99952495
Poor management small budgets lots of burnouts,0.9992093,0.00062398193,0.00016670863
 Opportunities to travel globally and connect with people from different countries and cultures.  If you like a job that you do not mind doing the rest of your life this is 'the perfect' place.  International travel  if you are one of the lucky ones.  Company match 401K.  Generous vacation policy.  Company provided mobile phones.,0.00026234577,0.00027205131,0.99946564
 Great place to end your career: if you are the kind who wants to ride into the sunset and really do not care about what you do.  Great place to end your career: if you are young ambitious and stupid enough to think you can make a difference or enhance your career here or that the company cares about you. This place is a career killer.   Great place to end your career: because stress and the general lack of any normalcy will eventually kill you.  Leadership style and culture straight out of the 80s and the company hasn't evolved in decades.   Company is rife with inside politics at every layer and the few people of note hold all the power traveling all over the world in business class fare attending superfluous meetings.   Leadership lacks vision and execution and nothing of note has been achieved in years.   The company is run like a dictatorship and the churn at the leadership level is mind boggling.  Incompetent people managers and a non existent and dysfunctional HR has created a perfect storm for abuse and harassment.     Promotions are nonexistent. Performance / Exceptional abilities does not get you a promotion at this place.  Benefits package is very poor for a nonprofit organization. Nonprofits have no profit sharing plans / ESOPs however they do have excellent benefits and perks. This place has neither.  My advice … stay away and work for an actual for profit / product company that makes a real difference in this world.,0.9988349,0.0009867448,0.000178361
Financial benefits Flexibility and nonformal environment,0.00019538499,0.0003660371,0.9994386
Little opportunity for career growth,0.99916565,0.0006998233,0.0001346513
good university and good professors,0.0005101868,0.0006919772,0.9987978
small university with few international students,0.0021922803,0.99727494,0.0005328275
Great culture and values  flexibility  smooth communication with hierarchy,0.00037186398,0.00040427787,0.9992238
