Comment,Negative,Neutral,Positive
Foi uma conversa para me conhecerem melhor e avaliarem minhas habilidades e encaixar em alguma vaga foi tudo muito tranquilo. Como é uma organização voluntária a entrevista é mais uma etapa para te conhecer!,0.0003133128,0.9942472,0.005439498
Pergunta sobre como sou com gestao de tempoTrabalho em equipe trabalho voluntário e como sou lidando com pressao. O entrevistador é top e muito bacana! Me deixou confortavel o tempo todo e muito aberto a me ouvir,0.0002905038,0.99352115,0.0061883405
Me inscrevi pelo Linkedin e depois me cadastrei no site oficial. Preenchi um formulário de Fit Cultural depois fiz uma tarefa dinâmica e então recebi o convite para a entrevista.,0.00040134104,0.9925498,0.0070488486
It was good and the people were great. Overall I loved the experience and the environment of the work culture. AIESEC is a great organization for students who want to know more business opportunities.,0.00028784474,0.00078528444,0.9989268
Ótimo.  As entrevistadoras foram diretas e me deixaram confortáveis para responder. Além disso eles são muito compreensivos e pacientes para que você tenha tempo de formular uma resposta. Espero a resposta.,0.00076394976,0.99734664,0.0018893599
É feito uma dinâmica depois existe um teste e por último uma entrevista em uma sala em grupo posterior individual depois a gente apresenta um slide para toda a equipe.,0.00042109203,0.99722594,0.002352939
muitas perguntas simples. Em torno de 10 perguntas curtas focadas em voce. duracao de 15 min. entrevista 1 a 1. por video ( meet). no geral e simples e facil,0.00038855404,0.9973519,0.0022596263
Muito atenciosos e prestativos. Adoro essa equipe de marketing! Voluntários incrivelmente enriquecedor. Sempre inovando e marcando presença na vida de cada membro tratandoos de forma muito cordial. Jovens talentosos cheios de garra e força de vontade,0.0006924139,0.96805364,0.03125396
A entrevista foi bem descontraída e tranquila com perguntas pra entender melhor sobre o interesse na organização a disponibilidade os planos e o modo de trabalho. Nada muito complexo. O processo contou também com uma dinâmica de grupo.,0.0008227201,0.99416757,0.005009695
rápido fácil todos foram muito educados e prestativos. Gostei bastante do conceito da empresa e de como ela funciona  e de como ela nos acolhe desde os primeiros contatos na entrevista.,0.0009038933,0.99036634,0.008729797
Bem tranquila e dinâmica. É um bate papo. Perguntas básicas como: o que voce faz como conheceu a aiesec perguntam qual a sua motivação e disposição em estar na empresa se você está alinhado com as perspectivas.,0.0004990035,0.99317014,0.006330825
O processo foi bem simples. Tivemos que responder uma série de perguntas e enviare depois teve entrevistas individual para os recrutadores conhecer um pouco mais sobre nossa personalidade e habilidades.,0.0007715842,0.9956929,0.0035355242
Processo 100% online sem complicações videos explicativos  grupo no whatsapp para tirar algumas duvidas sobre a ong nao é nada complicado mas como o cargo ja diz voluntario voce nao recebe nada e o trabalho é puxado.,0.00039316269,0.99739265,0.002214119
A entrevista foi bem tranquila. Eles me perguntaram sobre eu mesma. Defeitos qualidades o por que você merece ser contratado e perguntas pessoais. Eles perguntam também sobre a sua rotina e é mais uma conversa do que uma entrevista.,0.000576019,0.99561584,0.003808123
O processo todo durou mais ou menos um mês passando por fases de apresentação da aiesec dinâmicas de grupo  apresentação em grupo de uma task (essas duas demoraram duas semanas) e por fim a entrevista individual.,0.0005149518,0.99666923,0.002815804
foi bem tranquila pediram uma tarefa e depois fui entrevistada por mais duas pessoas. só fizeram perguntas normais. uma tarefa era fazer um projeto sobre algum intercambio baseado nas resoluçoes da onu,0.00061099627,0.9967085,0.0026805215
A primeira etapa é um questionário para eles conhecerem sobre você mas tem algumas perguntas sobre os valores da empresa a segunda etapa é o case que você deve responder em 3 dias e a ultima etapa é a entrevista individual com 2 responsáveis,0.00044180747,0.9977297,0.001828469
o processo seletivo consiste em 3 fases na primeira fase tem a dinamica em grupo na segunda voce deve resolver uma tarefa com um grupo de pessoas e na terceira tem a entrevista que eu nao participei,0.00050080573,0.99692196,0.00257717
A entrevista a ultima etapa havendo antes dela uma dinamica em grupo em que cada grupo tinha que vender uma experiência diferente e apresentar para todos. Na entrevista senti que foi para que o entrevistador conhecesse sobre mim e as minhas experiencias profissionais e de trabalho.,0.00059682835,0.9964743,0.0029288733
O processo de entrevista foi facilitado por diversas pessoas ao longo do processo de maneira tranquila e respeitosa. Os feedbacks ocorreram de maneira constante durante e após o processo. Pontualidade nas fases.,0.0009197263,0.98018676,0.018893462
O entrevista consiste em perguntas relacionadas aos seus objetivos de crescimentos profissional e pessoal. O processo consiste em explicar o modo de atuação da empresa na sociedade para que o entrevistado saiba se o que ele busca vai de acordo com o proposito da empresa.,0.00045270287,0.99666566,0.0028816462
Eles dividiram em três etapas. Durou cerca de duas semanas e deram resposta no prazo proposto. As duas primeiras etapas ocorreram em grupo e houve capacitação nesse momento também. A última etapa foi a entrevista individual. Todas as etapas erram classificatórias.,0.00065160525,0.9973022,0.0020461252
Após me cadastrar na vaga pelo site processo acontece a cada 6 meses Recebi o contato e confirmei meu interesse por telefone posteriormente foi feito uma dinâmica online na qual foi necessária a apresentação pessoal depois apresentado dois cases e tempo para aprestar sugestões foi super tranquila. Alguns dias depois houve a entrevista.,0.0005412252,0.99520785,0.0042509097
São dinâmicas em grupo feitas para que haja discussões entre os participantes. É importante dar opiniões e se mostrar interessado.  E depois são feitas perguntas individualmente em relação ao horário e áreas de interesse.,0.0006777729,0.99690276,0.002419417
É um entrevista descontraída diria que até divertida. Fazem perguntas interessantes algumas mais pessoais e perguntas profissionais que são relacionados a sua experiência querem saber também qual o cargo de interesse por que quer fazer parte da AIESEC. Também fazem perguntas que você precisa pensar mais pra responder.,0.0006229235,0.9961578,0.003219256
foi muito bom o processo como um todo consegui me perceber como pessoa e também minhas habilidades pessoais e profissionais além de ter que criar uma apresentação sobre os pontos para o ano de gestão e foi incrível.,0.0006121655,0.9972773,0.0021105846
A entrevista foi ótima as recrutadoras foram super compreensivas e abertas para que eu expusesse minhas ideias. Tive a oportunidade de mostrar um pouco do que sei com a dinâmica de venda bem como falar de mim do que eu esperava da experiência na ong e das possibilidades para meu futuro lá,0.00040606828,0.9957551,0.0038388604
O processo seletivo foi tranquilo a maioria das pessoas que se inscreveram junto comigo passaram não tem peneira ou dificuldade bem dinâmico,0.0006386987,0.99263954,0.0067216964
Difícil e desorganizado. Acredito que o objetivo da AIESEC é que você mesmo procure sobre o processo seletivo pois são poucas informações necessárias que eles dão e quando você vai tirar dúvidas com eles eles demoram para te responder. Eu por exemplo procurei exmembros para tirar dúvidas com eles. O processo é difícil pois são muitas perguntas que devem ser respondidas muito rápidas.,0.0007238798,0.9970606,0.0022155792
AIESEC Mackenzie  Primeiro teve um quebra gelo onde as meninas explicaram sobre a empresa em seguida já teve uma dinâmica de grupo na qual foi pedido pra escolher uma peça de roupa ou acessório seu e depois explicar o por que depois teve outra case onde vc teria que resolver alguns problemas hipoteticos da aiesec. No final montavam um grupo com quem tinha passado pra próxima fase marcando a entrevista (30 mins de duração mais ou menos) e depois outro com os finalistas já incluindo com os managers da área. A entrevista são com cases reais então o tempo todo vc é colocado e tirado de situações bem legal porem difícil.,0.00039156468,0.99805164,0.0015567995
Existe uma dinâmica em grupos uma entrevista com a equipe de gestão de pessoas e uma entrevista individual com o diretor para explicar. Por final tem o contrato com os termos para assinar,0.00040361503,0.99724495,0.0023514442
Foi bem tranquilo perguntaram  sobre alguns projetos que fiz parte pediram para fazer uma análise SWOT perguntaram sobre a minha organização e sobre o que eu mais gostei e menos gostei das tasks anteriores do processo seletivo.,0.00036270384,0.99722266,0.0024146554
Processo seletivo completo consistindo em uma etapa para resposta de um questionário de perfil e conhecimentos técnicos. Etapa com entrevista online depois apresentação e entrevista individual.,0.00041508194,0.9956108,0.0039742077
Processo seletivo longo tivemos que fazer um ppt com apresentação pessoal e resolvendo cases relacionado ao cargo além de contar sobre a sua trajetória porque quer o cargo e como você se imagina nele.,0.00043429775,0.996682,0.0028837444
Fiz dinâmica de grupo em Salvador e eles deram um case com problemas reais da AIESEC para a gente resolver. e os aprovados fizeram uma entrevista bastante tranquila foi mais um bate papo com perguntas sobre você e as coisas em que você ja participou e fez.,0.00046279354,0.99635774,0.0031794403
Muito bem elaborado. Na primeira semana houve uma apresentação sobre a empresa e um case em grupo para resolvermos e elaborarmos uma apresentação sobre ele na semana seguinte depois de mais uma semana teve a entrevista individual.,0.0004797025,0.9974722,0.0020480459
Primeiro apresentaram a organização. Depois teve uma dinâmica em grupo sobre como lidar com uma situação caótica no aeroporto e por fim a entrevista,0.00060524826,0.98938996,0.010004732
É um processo seletivo como qualquer empresa que é voltada para trabalhos em grupo e jovens tem dinâmicas em grupo e entrevistas individuais.,0.0004865721,0.9956514,0.003862091
O entrevistador conduzio a entrevista de modo que eu me sentisse super tranquila e todas as perguntas foram pertinentes.  No começo eu tive que me apresentar e no final da entrevista tive que vender um produto.,0.00065537315,0.99647456,0.0028700887
Muito bom! Te força muito a se autoconhecer suas forças e fraquezas e a ter um propósito claro! Recomendo a todos pelo processo seletivo de grande aprendizado,0.0006953076,0.5361448,0.46315995
O processo foi realizado com uma entrevista individual feita por um funcionário em cargo de liderança e em seguida foram realizadas dinâmicas de grupo variadas com os pré selecionados da entrevista,0.00044547755,0.99645597,0.003098509
O processo foi tranquilo e interessante. Pareceu mais uma conversa mesmo. Perguntou  se conhecia a empresa e explicou como era a vaga. Foi explicado na entrevista que se tratava de um trabalho voluntário e por isso sem remuneração.,0.0010013093,0.9557254,0.04327334
Após o anúncio das postulações é necessário preencher um documento com as perguntas relacionadas ao cargo almejado. Após isso se você for selecionado passará por uma entrevista com o Presidente do Comitê Organizador e/ou um membro da Direção Nacional. Em seguida alguns dias depois o resultado é divulgado nos canais internos oficiais.,0.00071016396,0.99645364,0.0028363196
"2 steps: a group interview and an individual interview.Group interview: we had to deal in group of 4 people with 2 cases and then present our ""work"" to the others.Individual interview: questions to learn more about us and in which area we could be.",0.0008410725,0.99871135,0.00044755466
Entrevista amigável pesquise sobre a organização antes da mesma ocorrer. Ótima experiência para se ter em um ambiente universitário eu diria particularmente que é melhor trabalhar dentro da organização do que realizar um intercâmbio pela mesma.,0.0007034109,0.9246586,0.07463805
O processo não é muito igual depende de CL pra CL. No meu fizemos dois cases. Um do buck e dps tivemos que nos reunir em times e visitar ongs na cidade,0.00049799774,0.99842167,0.0010803868
Barely had any because they were in need of people. They basically just selected the people because there were not enough applicants. The interview was done online through skype and it was very unprofessional,0.9983498,0.0015441985,0.00010604941
The job interview was by email with someone that works in AIESEC. I did not  get to know someone that works in the company before I went to India. I had to show my design portfolio and prove my experiences in this field of work.,0.9226039,0.07708526,0.00031080176
Usually the interview have 6 steps personal motivation organizational knowledge soft skills technical skills politics and economy cultural knowledge about the country. The ideia is basically understand if you can keep your high performance in that environment. In very important study the political situation and also try to understand if this can create problems for the organization. The cultural behavior are also something they will use the put you on the wall is important study before because you need be sure if this is the best step for you and how you feel about the culture of that place.,0.0031131562,0.99664485,0.0002420227
