Comment,Negative,Neutral,Positive
Good work environment high quality work exciting work experiences a lot of travel strong international profile dynamic organization allows employees to study.,0.00022279803,0.00021809859,0.9995591
Relatively low salaries for medium/lower level staff large salary discrepancy between coordinators and medium/lower level staff insufficient focus on career growth heavy work load.,0.9990808,0.00076159224,0.00015755159
Great work atmosphere. Dynamic leadership. Reputable organisation.,0.0002589991,0.00022998037,0.999511
Small team with little fundraising experience.,0.998486,0.0013973141,0.00011681712
Fast learning environment great for growth,0.00017584437,0.0001789673,0.99964523
Not so many boundaries between personal and professional lives,0.0006057216,0.99869436,0.00069990533
Commuter Checks & Assistance. Company Social Events. Employee Assistance Program. Employee Discount. Free Lunch or Snacks. Gym Membership.,0.00046808965,0.00053823536,0.9989937
Bastante puxado para quem faz faculdade,0.0005403794,0.99605006,0.003409606
AIESEC in Brazil is a good place to start a corporate experience it is a place with people looking to collaborate to do a good job. It also helps to develop skills and leadership in young people.,0.00015808734,0.00020589276,0.99963605
AIESEC in Brazil is not neutral in relation to ideologies it has a lot of indoctrination and with that it does not become an inclusive place.,0.99879265,0.0010426035,0.00016467932
AIESEC is the world''s largest student driven organization and people who gets involved with this global organization has a unique opportunity to develop themselves and make a positive impact in the world. As a member of AIESEC’s Outgoing Exchange team I had the opportunity together with the other members to create and implement a marketing plan to promote AIESEC and to convince higher education students to go on an international internship; participate in recruitment and selection process for potential exchange participants; mediate the dialogue between the students and the companies; organize activities to prepare culturally the students who is going abroad; stay in contact with them during their internship and develop strategies to stimulate them to get actively involved with AIESEC.,0.00014810782,0.00031740998,0.9995345
There are some immature people.,0.9984843,0.0013367045,0.00017902508
The best thing about working with AIESEC is the international networking you acquire. You will meet a lot of people from all over the world and have the opportunity to practice other languages learn other cultures..,0.00017445757,0.00046460106,0.999361
It's a lot of work and you are not paid for it so be sure you really like your job. Sometimes it can be quite stressful.,0.99853826,0.0012525202,0.00020920507
Good room for innovation you learn a lot and can get skills that are hard to get if in the private market if you don't have precious experience,0.007258923,0.020902468,0.97183865
Thins change a lot and not always for better and a there is still a lot of room for improvement in quality and organization,0.99772507,0.00214742,0.0001274667
Good environment great people best platform to learn,0.00019217175,0.00018519064,0.9996226
Sometimes it depends on yourself more than your leader,0.0071047246,0.99265516,0.00024013376
Great place to develop leadership skills. Strong purpose driven NGO. Great place to learn language,0.00018330765,0.00016971775,0.999647
It’s not so professional yet,0.9740762,0.024951596,0.00097215927
Free to manage time and good payment,0.00038721398,0.00030217515,0.9993106
Follow the instructions and procedures,0.0028165642,0.9953263,0.0018571118
Fast personal growth challenging and fun environment.,0.00080789125,0.0044234334,0.99476874
Slow company regarding changes.,0.99887246,0.0010049982,0.00012249603
Personal development team work ability to work with different companies,0.0027155227,0.3786738,0.6186107
They treat all people as interns. As you to work 10 hours a day and pay you like an intern. The salary is VERY low and the demands are huge. I don't think the management is good very machistic place and there is no possibility of growth. At least at the Curitiba office.,0.99908614,0.0007429223,0.00017096514
people are nice and the environment as well,0.0023769708,0.1176553,0.8799677
the salary is a joke,0.99903846,0.0007834425,0.00017815067
Great place people and a lot to grow inside the company,0.00051827234,0.00052601646,0.9989557
disorganized bad remuneration high turnover,0.9991511,0.00067015976,0.0001788125
Exposure to key executives in more than 500 companies.,0.002327446,0.7785889,0.21908364
Employees are very low paid,0.99919826,0.00063466607,0.00016711986
The company offers some great opportunities to know the business environment.,0.00026003976,0.00030165713,0.9994382
The salary is low,0.9990846,0.0007435179,0.00017190707
You'll meet amazing people doing great work you'll have many smart conversations with interesting people and you will also meet a few great coworkers.,0.0002832549,0.0005792093,0.9991375
The cons outweigh the pros for every single aspect of working at Ashoka.  You can meet the same or even MORE amazing people doing great work elsewhere.  You can have more impact elsewhere. You can have better life work balance elsewhere. You will feel more valued and more respected elsewhere.  Ashoka is not a place for change makers and the hierarchy structure of decision makers is difficult to work with.  I was so proud to work there and now I regret having stayed so long in a place where I had no room to thrive.  Salaries and human resources practices are shameful and borderline illegal.,0.996822,0.0029560188,0.00022199117
Flexible hours. Great people to work with.,0.0002495054,0.00023022498,0.9995203
Handling children get tedious. Pay isn't great.,0.99914825,0.0006807743,0.0001709673
Welcoming environment 36h working hours Extra days off (year),0.00032144657,0.0052775405,0.99440104
Work / Life Balance No Career Plan,0.0048189065,0.99498546,0.00019559948
Good pay for a parttime; good environment; opportunities to get involved in committees;,0.00022732628,0.00019433255,0.9995783
the work in the reception can be a bit isolated from the rest,0.14552395,0.854053,0.00042299798
Flexible working hours location salaries are above average for assistants health insurance is good regular followup about professional development. It is a good start for young professionals.,0.0005509487,0.00042684778,0.99902225
Heavy workload for which the HR department will always blame the employee. No career plan and very few opportunities to grow in the organization. They don’t pay extra hours.,0.9992243,0.00060603675,0.00016957903
Good environment interesting projects worklife  balance,0.00019828821,0.00040589715,0.99939585
low salaries few opportunities for Interns to grow,0.9989833,0.0008641609,0.0001525761
the flexible hours help to work and study,0.000451991,0.0004670491,0.9990809
only paid if have students,0.0035552795,0.99548763,0.00095712143
Good environment and other thing I like,0.000506888,0.008526412,0.9909667
Nothing to say it very good place to work,0.0007347094,0.9983285,0.00093671336
Very good ambiance at Unicid IT department lovely people and a relaxed atmosphere. My skills and work have always been recognized and respected. I had an excellent opportunity there where I could work from home and have a better work and life balance and I am very thankful to the company for many opportunities they gave me to grow.  But I understand that it is not a common practice to everyone. Location: very close to the subway station (5 min) but on the red line (east zone) which is the busiest one.  So depending on where you live it can be a great location easy to access or very far.,0.0009886102,0.0019626266,0.9970488
For those who are CLT contract at the IT department usually people work 9h instead of 8h per day and the benefits are very low.  The IT department is groing very fast but the general mindset of other departments tends to be   old and out of date which can be a problem sometimes depending on which project you are working if you need to interact with them.,0.9989415,0.00090832077,0.00015020517
Nice ideological company with good working relations,0.00024196814,0.00029427014,0.99946374
May work overtime there is no bonus and sometime 13rd salary may delay.,0.998692,0.0011914315,0.00011650552
Flexible and motivating environment Collaborative friendly and easygoing staff Above the average salary for economists and sociologists Well located offices,0.00025101777,0.00019734241,0.9995516
Lacks more organized management and human resources Doesn’t have a good career path it’s hard to get promotions and go up,0.9991365,0.0007033494,0.00016020957
Great team very focused to results learned a lot about softwares like adobe photoshop corel draw adobe illustrator Lightroom etc,0.0003376425,0.0008459134,0.9988165
We had a lot of reunions that were not actually necessary so it would cost us a lot of time that could be better used to work in other issues.,0.99819344,0.0016835583,0.00012300078
The company has a great structure as well as many opportunities for the employees to grow its an amazing place to work,0.00019633688,0.00018474634,0.9996189
hard to tell maybe the distance from downtown but that maybe a plus if you live in the nearby cities.,0.00028594496,0.9940502,0.0056637707
I've worked there for one year in a parttime basis. The University although not that big is very traditional has very good facilities and a quite efficient supporting staff. Every need I had was answered almost immediately. Nice and clean atmosphere cool colleagues and free espresso! The infrastructure was always improving and expanding. Differently from other private universities Feevale also develops research and it might help you funding your project if you present an interesting and sound proposal. It seems that the University is seriously committed with respect to its future.,0.00046906772,0.0014421782,0.9980888
It is quite Ok to reach the University if you live in Novo Hamburgo. However the access can be a little difficult if you live in a nearby city specially in rush hours due the busy traffic.,0.018369738,0.9813238,0.0003064586
Very well organized and clean. Entire staff understand professor role in the company so they works hard to make professors' life easier. Considering the medium of salary for this position I can say that Universidade Feevale pays well.,0.0015081275,0.0023147028,0.9961772
"Students don't respect hierarchy because there's a cultural problem related to ""open doors policy"". Location is a problem if you live in another city because you need to take a crowed highway (BR116).",0.99728477,0.0025305427,0.00018463338
Estimulating work environment good facilities and money support for research.,0.00029867445,0.00029420914,0.9994072
Managers of institutes and rectories are not qualified to deal with international level research. You should be as quiet as possible to survive and live in shadows. It is not a good place for long therm research career.,0.9988366,0.001022433,0.00014100905
Good environment. Nice People. Good space to growth,0.00018245321,0.00018984203,0.9996277
Dealing with students are hard sometimes. They do not want to listen.,0.9988206,0.0010419141,0.00013738067
There are different locations around the country the company is seriously compromised to give opportunities and transforms lives.,0.998381,0.001479707,0.00013925965
Has only one location for the IT team.,0.0010775096,0.9985576,0.00036488182
Really brilliant people! Faculty Back Office all teams,0.0015776482,0.002550537,0.99587184
The strong Culture from 'Minas Gerais' that trust is build based on relationships instead of the task / role,0.008834731,0.38305673,0.6081085
A great and challenging environment. Lots of opportunity to learn all the time.,0.00038662893,0.00045849156,0.9991549
No feedbaks at all. You never knew what was necessary to get a best position. A very mineira culture,0.71689105,0.28245276,0.0006562094
Benefícios competitivos e salário acima do mercado. Funções desafiadoras. Novas ideias são bem vindas. Segundo maior fundo de pensão da América Latina.,0.00015783937,0.0010703991,0.9987717
Burocrática e quando muda presidente muda diretoria e modelo de gestão. A Gestão anterior cortou muitos benefícios e tratava funcionários como números. Forte opressão ao movimento sindical.,0.0005153498,0.027132088,0.97235256
Great engagement with the objectives a lot of knowledge exchange and great space to innovate.,0.00018538763,0.0001971355,0.99961746
Need to improve some of the methodology to implement projects and campaigns specially thinking in recurring donations.,0.8120221,0.18666062,0.0013173055
Working to do good great people very good work environment.,0.00024994538,0.00029590065,0.9994542
Overall low salaries being a nonprofit. Too much internal political strugle.,0.99912924,0.0007058295,0.00016491716
Bons benefícios e boa cultura de trabalho.,0.002517352,0.9490012,0.048481405
Nenhum contra sobre o hospital são josé do avaí.,0.0003891291,0.9980829,0.0015280099
Horizontal Hierarchy  All voices are heard  Great variety of offices location  Open offices  Multicultural young and energetic staff Good communication from senior Management Junior staff are expected to take ownership of own projects Learn as you go environment Opportunity to work with different markets Growth Opportunities Start up sprity within Multinational structure,0.00021017487,0.0002010685,0.9995888
Training to new hires is still under development Bonuses structure is very below Market´s reality Little/No participation from Junior Management on establishing sales targets Mentorship program is little explored,0.9989728,0.0008745532,0.00015261465
Great environment and an innovative law firm.,0.00020422912,0.00020359847,0.9995921
Salary and bonus below the market.,0.9989311,0.0008988939,0.00016990946
"The institute has flexibility with the working hours we have a ""laidback"" work place the team is connected to other areas and the localization is really good""",0.0004314628,0.0010980855,0.9984705
A few plannings the team create for the brands end up not being approved as a familiar NGO sometimes is very difficult to approve something when talking about one person (Ayrton Senna),0.99783164,0.0020528438,0.000115487506
You learn a lot and it is a merithocracy.,0.90921545,0.0903576,0.00042693774
The rewards are not well aligned with the intensity of work.,0.9989675,0.0008977109,0.00013478751
Good salary and benefits Flexible work time International Enviroment Carrer,0.00030675848,0.0002355566,0.99945766
Work life balance sometimes the communication is missing,0.14884186,0.8507571,0.00040103932
None available for local personnel.,0.000294121,0.99926704,0.00043880616
Local personnel are subject to humiliation by foreign personnel i.e. foreign delegates accumulating functions and responsibilities at all times. The institution lacks regulations and procedures to protect local personnel from abuse of power or authority. Salary updates are always below inflation rate in local currency while foreign personnel are paid in Swiss Francs. Donations for programs are never applied in the country but sent to Switzerland in order to be applied elsewhere. ICRC locations in countries devoid of conflict use these units only to gather funds. General public are not informed of this.,0.99885094,0.0009923318,0.00015667143
Good job recognition; teamwork; multidisciplinarity; good benefits policy; possibilities for career advancement; investment in personal and professional training.,0.00021310663,0.00019095886,0.99959594
Highly hierarchical structure; significant salary difference between foreign and local employees; little ethnic racial and gender diversity; resistance to change.,0.99906117,0.00078413234,0.00015474706
Good payment excellent education trainings.,0.0007190678,0.00051832094,0.9987626
Some process too much burocratic.,0.5203151,0.4791312,0.00055368105
Great inperson and online training opportunities. Excellent organizational climate. Transparent and inspiring leadership. Coherent with its principles. Focus on the security and wellbeing of its employees. Great balance between tradtion and innovation.,0.00017859829,0.00017159487,0.99964976
A few projects have not been implemented yet due to the conoravirus pandemic.,0.9979911,0.0019250865,8.39289e-05
Possibility work with an international atmosphere.,0.000683604,0.009081844,0.9902346
Sometimes your tasks may become boring and repetitive,0.9983656,0.0014760359,0.00015844467
Work close with foreign crews and worldwide TV industry demands.,0.10684211,0.8927661,0.0003917587
having to live away from home for a long time,0.9991003,0.0007552958,0.00014430533
An organization where you can learn teach and change the world!,0.00025115086,0.00030409987,0.9994448
JCI has to promote much more the organization!,0.075203724,0.92391074,0.000885539
Muito aprendizado ambiente maravilhoso e acolhedor.,0.00073749723,0.9900474,0.009215048
Não vi pontos negativos nessa empresa,0.0005362433,0.9985032,0.0009605565
Experience  kids. Knowledge of how to implement follow and execute behavior plans.  Makes you appreciate what you thought to be a crappy childhood!,0.92201835,0.07527645,0.0027051996
The staff gossip make things up about new staff and are the ones getting appreciated.  Consistency is key for these kids and it's not provided through staff or how about moving a kids room and not telling them.  Way to precipitate crisis. ABA is commendable but doesn't deal with a whole person.,0.9982419,0.0015950939,0.00016305574
Great environment. Friendly people there,0.00019027246,0.00018895495,0.9996208
No motivation for IT professionals. No carrer plan,0.99908364,0.0007591296,0.00015720159
Mercy For Animals has been growing stronger than ever. Since our current President steeped in she clearly focused on building a team of superstars improving culture diversity and inclusion and with an amazing strategic mindset providing clear and meaningful direction for the organization. The current leadership embraces kindness and transparency. And team members are positive and all amazing to work with. I feel extremely proud to work for an organization that is driven to cause an impact on ending the greatest cause of suffering on the planet and at the same time does everything that is possible to provide a healthy workplace and value the team members.,0.0002923734,0.0003940927,0.9993136
I have none to offer at this time.,0.00028304567,0.99918836,0.0005286749
Great environment amazing and friendly staff. Mercy For Animals is full of dedicated and collaborative people – which makes work so much more enjoyable. Salary and benefits are good.,0.0002086364,0.00019672552,0.9995946
When you work doing something you love it's easy to get caught up and suddenly find yourself working long hours in a way that can be unhealthy sometimes.,0.9904467,0.008787014,0.00076629955
I feel like I can be myself and still be respected at MFA. I can also see  that the leadership is always trying to find ways to improve internal policies and take the organization further.,0.9403469,0.059269194,0.00038389993
There are internal policies that still need to be improved but I feel like the leadership is already working on that.,0.0017186151,0.9978496,0.0004317706
The office it`s amazing also the company executive has a lot of experience at technology market,0.000820371,0.0034875795,0.9956921
To be honest i don`t have cons,0.00040699219,0.9990128,0.00058021053
Company encourages in courses education salary within the market.,0.99883026,0.0010009294,0.00016882486
There is not much room for growth even with Mosaic growing.,0.9986941,0.0011786119,0.00012723533
Working from home intercultural team.,0.00046921254,0.9861472,0.0133835925
The job can become very monotonous.,0.9991743,0.0006559829,0.00016978574
Great environment and challenging actions on a daily basis (but good ones!!) !!,0.0003640142,0.0004812996,0.9991547
Total lack of Administration Knowledge!!,0.99898773,0.0008607444,0.00015145208
