Comment,Negative,Neutral,Positive
Meet with the team in a panel/networking style group. Get to see what different teams within the org do on a daytoday basis Panel interview at the end if you're selected past networking,0.00025188836,0.9975189,0.0022292556
The interviewer was really nice and friendly it felt more like a conversation rather than an interview. She laid down the position details and asked if I had any questions at the end of the discussion.,0.0013592466,0.98741794,0.011222866
Rigorous process which included  multiple steps: video resume case submission interviews (1 with the incoming president and 1 with a board member). Its important to display how you've been able to leverage your past AIESEC experiences.,0.92237127,0.076854765,0.000773925
Smooth and nice I would say that the atmosphere of a runbystudent nonforprofit worldwide organization is inspiring. I enjoyed it there.  You could grow there as well—it's a nice place to start your career as a junior.,0.00017213738,0.00039067384,0.99943715
The interview process was fairly easy and the interviewers were really nice! They mainly want to get to know and understand why you are trying to join AIESEC and how you will fit in. Some interviews they might ask you to pitch something to them however I didn't have this question!,0.00078464206,0.9940487,0.0051667094
you have to apply via their website they will have an individual interview and group interview  they will see if you have the traits that they are looking for. You don't need to have fancy working experience they will train you later anyways.,0.00050110393,0.9988636,0.0006353666
i applied online during the recruitment. the whole interview process was pretty relaxed as the interviewer (I believe they're vice presidents or something) were really nice and friendly. they asked personal questions related to my previous experiences future goals as well as why I applied for the position. got a phone call a few days later telling me that i got accepted.,0.0025138103,0.13311644,0.86436975
There were two interviews. The first one was a nearly onehour group interview and the second one was an individual interview. After the group interview you need to fill in a feedback form online including what you learned through the interview and why you want to join Aiesec or something like that.,0.0003641765,0.9992483,0.00038744134
Individual interview since I did not have time for group interview. Took place in our university. The manager is younger than me and he was super nice and friendly. Many hypothetical questions was asked.,0.0013593525,0.97731155,0.021329056
1. Online written application 2. Individual interviews  3. Final group interview  The interview was quite lengthy the interviewers asked me behavioural questions with many follow up questions to understand whether if I am capable of being a good team player.,0.9961008,0.0037956275,0.00010360317
Online Application Individual Interview then Group Assessment. Passing all three stages is required to be recruited. Both interviews are done in person. Individual interview lasted for roughly 30 minutes and assessment lasted 3 hours.,0.0011836607,0.9979656,0.0008506961
1. Application: fill out a questionnaire with multiple questions on AIESEC the portfolio we apply for and ourselves 2. Confidence Vote: give a 5 minutes speech (all candidates) answer a round of questions from members in the local committee (2 groups that have to answer questions during 45 minutes each) 3. Interview: lasts around 45 minutes mostly questions about team management the portfolio we apply for and our reactions to certain situations,0.0004967702,0.9989969,0.0005063232
