Comment,Negative,Neutral,Positive
great teamwork atmosphere lots of learning,0.00045638587,0.00074140733,0.9988022
it takes lots of time and energy and no pay,0.99918574,0.0006119581,0.00020225474
 I got to travel to India and Egypt to work with two different projects at NGOs.   I help AIESEC participants match with projects all over the world creating a great experience for them.  You get to meet people from all over the world travel host others.,0.000185698,0.00059612084,0.9992181
 Not payed.   Very disorganized since its managed by students.  Pretty bad accommodation when doing my exchanges.,0.9991732,0.0006770064,0.00014973125
Worldwide connection. In AIESEC you could have a wonderful exchange experience where you could visit many countries as you want. You could experience different culture there.,0.0007321746,0.017732421,0.98153543
sometimes without consideration. Since it is a student organization they will do something purely derive from passion instead of rational.,0.9962269,0.0035688113,0.00020420746
1.Excellent culture and environment 2.International team and energetic people 3.Working efficiency 4.Develop with the improvement of society 5.Professional team,0.00030396134,0.00035594509,0.9993401
The company's update too fast.The longest duration for a position is about 1 yearwhich is not good at the stability development of the company but meanwhile it can provide opportunities for new genration,0.998774,0.0010546092,0.00017130464
It offered us the chance the experience leadership strategies. It also give us enough input to level the organisation up.,0.0018179055,0.015382393,0.98279965
Working at the organisation is quite time consuming during the peak period you have to work overtime. People are too passionate sometimes.,0.99886334,0.0009075419,0.00022911224
Develop human potential and contribute to my careers development. AIESEC can not give you anything but you can get a lot from AIESEC .,0.12001276,0.8453575,0.034629833
No salary  no support from our schools (as a student associationdo not have this support) sometimes also questioned by other people,0.99911934,0.00073057925,0.00015003105
1.have business exposure to different industrial knowledge 2.have access to talk to Clevel contact,0.00046156434,0.98776174,0.011776713
relatively chill environment not well structured SOW,0.9981085,0.0017009277,0.00019065254
achieving and fulfilling. solid practicing experience. access to the world.,0.00026322438,0.00029696044,0.9994398
you will always miss the days working there.,0.9679979,0.031796362,0.00020578194
provided excellent opportunity to travel abroad,0.0002321315,0.00022407822,0.9995437
there is huge difference between communities in different countries,0.0020108714,0.9973671,0.00062201446
interesting ease many things to learn,0.0005618216,0.99794525,0.0014928881
not mature and structure needed improved,0.99285525,0.006982821,0.00016186852
Ameson is a great foundation to work for. They are helpful knowledgeable and their focus is really on building meaningful international relationships.,0.00019278243,0.0002285293,0.99957865
You are expected to figure a lot out on your own which I personally loved but can be stressful at times.,0.97698385,0.022581272,0.00043483946
you get to exprience local high schools' intl divisions usually go with the local schools' work time and u get to hang out some cool high school kids if lucky.,0.00044705445,0.03630355,0.96324944
the pay is pretty low and no raise for many years and based on the Chinese age & hierarchical traditions its also depending on whether you are liked by your team leader or whatnot. In the long run not very recommending cuz' of the low pay and no raise or promo. And many times you have to deal with crappy parents and their impudence.,0.99903,0.0008255315,0.00014448726
The HR department here has always been quick to respond to problems and most will find ways to solve problems.  Since they have hired American deans dedicated to specific areas (Humanities Math & Sciences) teacher support has improved. The Chinese management team at my school is very responsive to teachers needs and will offer all the assistance possible within their abilities to provide.  The Chinese teachers are all extremely professional and coordinate well with the foreign teachers.,0.009223625,0.10287219,0.88790417
The schools tends to hold on onto marginal students who have difficulty in grasping the curriculum or those students who are just lazy refusing to do any homework and having terrible test scores (but somehow still manage to get into top universities).  Schools tend to focus to much on TOEFL prep for Senior 1 & 2 reducing available class time for classes such as American Studies History Literature and the sciences.  For Senior 3 the first two months is completely dedicated to SAT prep thus delaying AP classes beginning around the time of midterms The Chinese staff and parents tend to look at the US News and Business report ratings of colleges as the official rating of American universities.,0.99833655,0.0015156807,0.00014774577
Full immersion in a foreign culture terrific opportunity to improve conversational Mandarin proficiency greatly satisfying work very engaging work community at school and at HQs in Shanghai and DC.,0.00027144988,0.00031224743,0.99941635
School leaders are reluctant to give ambassadors full autonomy (as most Westerners are accustomed to having) and may ask or require ambassadors to report on all movements around and outside of China. The ambassador position also does not require much of  ambassadors and thus free time is overwhelmingly much. However for those able to find other productive projects to keep themselves busy this is an ideal setup.,0.7466286,0.2525519,0.00081953924
Ameson is a great option if you are looking for a job teaching in China as a foreigner. Also Ameson's different programs offer many career development opportunities. Also the people here are really great my Chinese coworkers help me with all aspects of living in China including learning the language.,0.0002210376,0.00049452524,0.99928445
Ameson is a Chinese company and operates with a Chinese culture. A lot of problems Westerners have with Ameson stem from this one simple fact. It can be very hard to adjust to the Chinese style of work communication and overall company culture and some people really won't succeed in this kind of environment. It's not just about crosscultural awareness but also exercising tact and serious adjustment.,0.997663,0.0022104196,0.00012654772
The Ameson Foundation: Year in China Program has changed my life. I have had an opportunity to travel to Beijing Guangzhou Changsha Foshan and an occasional trip to Hong Kong. The Ameson Foundation has been there whenever I needed assistance with any issue. I think living abroad should challenge you and should help you grow. China is a dynamic country but it is also the largest developing country with a history of over 5000 years. It has been great,0.0048149307,0.53273386,0.4624512
I honestly can not find any fault. All of my issues were intial culture shock which is a given for living in a foreign land.,0.000612405,0.99905473,0.0003329274
Good salary with a low cost of living.  Students are (mostly) dedicated and hard working.,0.003972372,0.0026735007,0.9933541
Some host schools have good support for foreigners who can't speak Mandarin.  I was lucky enough to be at once such location but many other schools don't have adequate support.  If you see in the recruitment flyer that they will give free Mandarin classes and give your kid free school they are wrong.  It's never included in the contract it's just a gimmick.  Reimbursements for travel or professional development are highly inefficient and complex.,0.9933931,0.0062553324,0.00035142578
It seems they are trying to add some ethnic and cultural diversity to the population of recent grads coming to China from the States. This is a really good because not only does China needs to be exposed to more diversity but there is also a current lack of opportunities in the U.S. for minorities to travel and work abroad.  helped get me through the Visa application and TEFL accreditation process paid for TEFL course and certificate found me a job in a good city that suited my interests  very open to feedback will probably see a lot of improvement in their second year there are a few individuals in the organization who worked their butts off to try to make life better for the Ameson teachers they offer cool prize and cash incentives to help them advertise they help you find jobs after you finish your first year contract! weekly newsletter is nice you get to see what the other Ameson teachers are up to and you get some helpful tips about living and working in China.,0.0034636266,0.01470793,0.98182845
