Comment,Negative,Neutral,Positive
 You'll meet a lot of new people  You'll learn about different cultures  You can practice a foreign language,0.0006308881,0.9951551,0.004214055
 Disorganization  Lack of commitment from some volunteers,0.99908173,0.00075266015,0.00016559772
Its a nice organization that has great people working on it its a nice comunitty.,0.00017353555,0.0003201148,0.99950635
its a volunteer but it demands a lot of work,0.97904825,0.02067947,0.00027224925
Huge opportunity to learn and lead,0.00048271054,0.00045261908,0.99906474
A lot of work to do everyday we ended really late,0.9990368,0.00080993964,0.00015328829
Leadership development Multicultural environment Personal growth Learning experiences,0.00020840319,0.00045689102,0.99933463
Working in an NGO is not for everyone,0.99869746,0.0011614148,0.00014119163
AIESEC is a global organization that helps you grow in many different ways while volunteering abroad. whether you are a paid or unpaid volunteer you'll experience a different culture meet great people and make a lifelong bond with locals.  It gives your resume a plus because apart from working abroad you are working with a great global organization which would help you expand your horizons. Most of the members are super enthusiast and cheer you up to achieve what you want and to be a change wherever You go! I loved that part of it! Most of them are awesome people and you'll find friends on them too.,0.0002162433,0.00043730377,0.99934644
In my experience my local area coordination was pretty disorganized my visa paperwork was not on time for my arrival there was nobody to pick me up at airport and tell me howcto get to town. I never got my payment on time it was always held by the bank for more than a week once it was held by 23 days!!!! It was horrible because I had bills to pay and had to borrow money from third parties. I was on my own and didn't have support until I complained. I had way more assistance from the company who I was working for.,0.9990796,0.0007564324,0.00016395134
There are no pros. Horrible program. A bunch of lying/thieving Hispanics.,0.9990196,0.0008413832,0.00013899409
Extremely  unorganized . Low pay. Staff is difficult. Everyone  is always  trying to cheat you out of money. Teachers are overworked. Staff doesnt care about teachers. Dont work there you will regret it!,0.9991511,0.0006825607,0.00016630942
incredibly motivated organizational culture it is a joy to work with the amazing talent one can find in this organization.,0.00024402508,0.00022826322,0.9995277
very time consuming the work life balance in complicated to maintain for an extended period of time,0.9991665,0.00066182564,0.00017174319
 Multicultural environment   Working with partly remote   Working with people from different nationalities   Very challenging environment,0.9984297,0.0014345611,0.00013569373
 Sometimes communication issues between AIESEC international and regional offices. Just in specific cases but overall is okay.,0.0006634964,0.9989184,0.0004180371
Development of value based leadership skills extensive traveling working in diverse and multicultural teams.,0.0002914265,0.00045080314,0.99925774
There's not work life balance. Only AIESEC.,0.99892884,0.0009195992,0.00015154861
Able to work in social projects and meet new cultures,0.00016890126,0.00019146834,0.99963963
Organization has to be improved,0.26463047,0.73372984,0.0016396813
Challenging experiences with several activities,0.0003569952,0.10295215,0.8966908
There are many opportunities but the process to access is not clear,0.951266,0.048505332,0.00022857777
A great Experience networking leadership,0.00019297466,0.00019583553,0.9996112
none no apply  is the best organization,0.0023255628,0.9847781,0.012896288
Americares has been one of the best experiences of my life. It is a global organization that always cares about its employees and about having a pleasant and respectful work environment. It is currently reaching 10 cities in Colombia to serve migrants especially from Venezuela. The social cause is beautiful and the impact that its programs have alleviates the already difficult living conditions that they face when migrating. The staff who attend the clinics have a beautiful vocation for service that patients always appreciate and that they express in congratulatory notes that they leave anonymously in the different media that are available for quality effects. The suggestion box and the anonymous lines to make comments to Head Quarters are valuable tools to find out their opinions they all account for this type of expression of gratitude and affection and in any case they are always a primary source of information to monitor the operation and implement their suggestions in the permanent improvement of services to the population. I must say that salary is very competitive and is even above market conditions in Colombia. Thank you Americares for all the great things you do every day and for everything you have given me.,0.0005142912,0.00071995804,0.9987658
Being a global big size organization we are still facing challenges in triyng to keep all countries more close from each other. There will always be space for improvement and we are working hard to get it.,0.94915324,0.050500013,0.00034663954
conocer de cerca las necesidades de las personas en estado de vulnerabilidad,0.0010196598,0.98722667,0.011753764
"para empezar quiero dejar plasmada mi experiencia debido a que fue una de las mayores decepciones laborales que he tenido está empresa es norteaméricana pero tiene sedes a nivel mundial para ayudar a personas en condiciones de vulnerabilidad mi experiencia fue en la sede de Colombia donde se atendia población migrante venezolana sin seguridad social (el servicio brindado al paciente era gratuito más entrega de medicamentos ). 1. el contrato es para atender migrantes en primer nivel de consulta externa se supone lo más básico pero todo cambia cuando ya estás en el carro pues te incumplen el contrato y empiezan a meterte pacientes que son de urgencias (infartos gestantes con dolor abdominal y/o sangrados crisis asmática traumatismos alterados en estado de conciencia y no tienen las herramientas ni la habilitación para ese servicio lo cual siempre complicaba la atención y sobrecargaba al personal médico y al final te exponias ante cualquier complicación del paciente porque culpaban a los medicos y si no los atendias era falta de ""vocación"" 2 el horario de trabajo no era respetado ya que no respetan la hora de almuerzo xq en ese espacio te agendan pacientes y los tienen q atender porque de nuevo juegan con el tema de la culpabilidad y la falta de ""vocación"" 3  tiempo de atención a pacientes: la consulta promedio era de 8 minutos si léase bien 8 miserables minutos y 12 para gestantes a las cuales tenías q leer resultados diagnósticar transcribir la hc y dar recomendaciones en ese corto tiempo es lo más inhumano que he visto debido a que no les importa la calidad en la atención sino la cifra el porcentaje de pacientes atendidos y si te quejabas o te demorabas más en la consulta dicen q estas negandole la oportunidad a los pacientes de ser atendidos . 4 como los medicamentos son regalados por donantes extranjeros te presionan horriblemente para q envíes los medicamentos que el donante necesita que sean sacados por encima de comtrindicaciones 5  muchos fraudes administrativos que perjudican tu trabajo como médico y si t quejas la queja no permanece anónima sino que se inicia una cacería de brujas para desprestigiar tu trabajo porque no haces parte del combo del fraude 6  PÉSIMO AMBIENTE LABORAL: donde los coordinadores médicos son tratados como sultanes que su palabra es ley volandose incluso normas del código del trabajo colombiano si pones queja a recursos humanos te catalogan de trabajador ""problema y conflictivo"" 7pretendo ser lo más sincero posible con respeto en mis palabras pero es frustrante estar en un empleo donde ademas hacen públicos y visibilizan tus problemas de.salud solo para hacerte bullying como trabajador. 8 conclusión: es un trabajo donde te contratan bajo unos términos los cuales cambian drásticamente te sobrecargar laboralmente física y mental con jornadas arduas de brigadas dodne no te dan ni agua y lógicamente tampoco tiempo para tomarla ni ir al baño. no recomiendo este trabajo a quien verdaderamente tiene vocación humanitaria porque al fin y al cabo los perjudicados eran mayoritariembte los médicos y los pacientes.",0.00046482938,0.9985109,0.0010243118
Really enjoy my job wonderful environment,0.0005125372,0.00047286894,0.9990146
Can't really think of any,0.00031813033,0.99927706,0.00040474808
You can work in a multicultural organization with a presence in more than 100 countries around the world.,0.004317062,0.15831171,0.8373713
Due to transformation expect heavy workloads.,0.43555683,0.5640219,0.00042131415
Great benefitsWorkLife balanceEquality diversity and inclusion policies Great place to workExcellent Facilities,0.00021083107,0.0001788694,0.99961036
Few Permanent job positionsExternal stakeholders,0.0012559349,0.9985176,0.0002265702
Full health insurance extra holidays yearly bonus worklife balance.,0.0013671338,0.0018687234,0.9967642
Bureaucracy dependant on UK funding,0.99897194,0.0008609339,0.00016719343
Meaningful purpose educación is their DNA.,0.000741623,0.99642617,0.0028323138
Very slow professional growth in terms of promociona.,0.99881685,0.0010420914,0.00014109128
Great employers fair conditions tons of professional development,0.00034805908,0.0002942291,0.99935776
Low salaries for high profiles,0.9988954,0.00092330447,0.00018126026
Good employer and good employee package,0.0005043543,0.0004621006,0.9990336
slow processes and a lot of bureaucracy,0.9991617,0.00066349405,0.00017483064
Lots of benefits. Good reputation. Help with visa,0.00023640714,0.00027224363,0.99949133
Teaching kids is compulsory for large sections of a semester,0.99853873,0.0012729072,0.00018828135
Salary benefits career culture  mission,0.00036692625,0.0015374292,0.9980957
If you are not British you might feel at disadvantage.,0.0058667357,0.9938235,0.0003096449
Good work balance  Excellent network Friendly atmosphere,0.00018163651,0.00020871256,0.99960965
Requires good strategic skills,0.009710813,0.97977257,0.010516629
You meet lots of interresting people you manage your time.,0.0018542139,0.16776106,0.83038473
It would be better pay,0.0055089444,0.9939761,0.0005149954
flexible agile joven customer centric tecnologia,0.00021692306,0.0003127057,0.9994704
burocratica bajo crecimiento sin recurrencias,0.0007534022,0.9959485,0.0032981562
