Comment,Negative,Neutral,Positive
You can manage your own teams and projects and really learn a lot,0.005092979,0.9139734,0.08093367
It is not paid but your salary is all the knowledge you get from the organization.,0.99894387,0.00088464556,0.00017146373
There is absolutely no better way to understand the workings of international refugee law without seeing it first hand and no better way to learn to appreciate the strength and resolve of a refugee without hearing their story in person in their native language. I was so proud of my supervisors my work and my colleagues. I was stretched and challenged in ways that are very uncommon for recent law school graduates; working for Asylum Access was the perfect way to launch my legal career.,0.0060022,0.015052029,0.9789458
It was financially difficult to work abroad without compensation but well worth it. By it's very nature the VLA position is one of in depth training and onceinalifetime experiences. It taught me a great many lessons and skills that helped me find the right position after returning from my time in Quito. I also think it is wise to require a 6 month commitment but not to encourage a stay much longer than that (as a VLA).,0.010278333,0.9684314,0.021290254
I've worked with Asylum Access Headquarters (HQ) for four years now and in that time I've witnessed an impressive growth spurt as the organization's expanded to several new countries. Through the process I've never seen a team work so hard to offer its employees the highest quality support and benefits possible.  I'll admit in the beginning the pay was low and benefits were few. But the organization's model and strategic approach is solid. The people I have had the pleasure to work with are honest downtoearth dedicated communicative and extremely professional.  After sticking with Asylum Access HQ for four years it's really paying off. My job description and salary have been improved significantly based on my interests and needs. I can work remotely and still feel like I'm part of a team. Finally I feel like there is still a lot of room to grow within the organization in the years to come and I definitely can't complain about the amount of paid time off we get.,0.010756247,0.04286007,0.9463837
 It can be hard to feel connected with staff and volunteers in other countries and their achievements.   In my line of work and likely because I work remotely there is a lot of computer time which is exhausting.  Late night meetings with our team in other timezones sometimes make it difficult to maintain a work/life balance. That said there is flexibility around work schedules.,0.9986161,0.0012069221,0.00017698131
This internship offered me the chance to gain experience and skills in a wide variety of different tasks in communications and development.  My managers were friendly and supportive always providing clear guidance on what was needed and were available when I gad questions. They provided constructive and encouraging feedback after I completed work. The work environment is professional but relaxed and I had tge chance to meet and work with people from diverse countries.  Its a great place to meet friends. Also with the alumni network you can get updates about upcoming job vacancies in the field. Overall I think it is an internship where you can get hands on experience in a growing international organization doing very worthwhile work.,0.00020538087,0.00026660282,0.99952805
Quite a lot of independent working is required so using your initiative is necessary. As a growing organization many staff are very busy causing strain and difficulties in retention. Some systems are not fully consolidated so there are inefficiencies but as an intern you may be asked to so work on this which gives an interesting insight into the fundamentals of the organization.,0.99233764,0.0074039428,0.00025852266
a wellorganized institution with professional career development help,0.00027760616,0.00031626582,0.9994061
low salary but above average,0.9986815,0.0011143025,0.00020416472
 Offer $ additional opportunities beyond the classroom (e.g. you can sign up to evaluate prospective students etc.)  Help with visa process  Usually rather accommodating of what ESL levels and/or age groups you want to teach  Contract position for 34 cycles (~912 months) with ability to extend for as long as you want  Material is given to you (i.e. tests and books that you have to follow) but you have the freedom of planning the activities you want inside the classroom,0.0094420845,0.89167804,0.09887987
 At the time (20172018) help in visa process was not fully fleshed out so I ended up providing some documentation/guides myself to them that hopefully helped future teachers  Salary is OK for the area/job but definitely not high with little in place for growth after ~a year of being there,0.9970794,0.0027934886,0.00012717835
Flexible hours and understanding team,0.00069769117,0.00050838053,0.99879396
Unorganized and lack of training,0.9991592,0.0006803437,0.00016047545
CEDEI is overall a decent company to work for. They offer remote online teaching work and in person classes as well as volunteer visa sponsorship. Basic health insurance is also provided if you are in Ecuador.,0.00034296777,0.00075053604,0.9989065
The only problem is that some teaching cycles they don't give you a lot of classes and they require a minimum of 2 classes per cycle so plan whatever other work you require around this requirement.,0.9980635,0.0017756537,0.00016082346
Health insurance provided for volunteer visas,0.0019617563,0.0042482046,0.9937901
They don’t appreciate the staff,0.99819535,0.0015656971,0.00023899668
 Deliver as promised.  They are truthful upfront with their employees about pay hours and expectations.   Good working environment with adequate facilities   Supportive working environment and support from administration.   Cuenca is a beautiful city and an excellent place to live.,0.0004005628,0.00030067936,0.9992987
