Comment,Negative,Neutral,Positive
I had a phone interview it was fully conducted in English and I passed it on the spot. she offered me to go to their main office the next day. I went and two members conducted the interview they were taking turns in asking me. it's also was conducted in English it took around half an hour.,0.0011315172,0.998621,0.00024751748
so stressful and I felt most of the time I would be out of this place once I finished my selection process but as you know easy comes easy goes.,0.9963051,0.0035063834,0.00018844836
I think  it was pretty good  they were very easy going and direct  when they accepted me they told instantly. Was        very helpful.,0.0009156053,0.027407186,0.97167724
It was a virtual interview with one of the project's coordinators. Questions were very expected and extremely easy. Mostly about why you want to join aiesec why this country why this project and what you know about SDGs.,0.00060237676,0.99724436,0.0021533254
it was easy  they were corporative  helpful and friendly . some of the questions were high average that makes you think a lot and some of them were pretty easy  remember they wanna know you better and they wanna know how much you're serious in joining the organization .,0.0011801877,0.99362963,0.0051901178
it was a good experience they focus on good english speaking confident  goodlooking respectful and intelligent people.  As I moved up the process became more refined depending on the needs of the entity and depending on the roles I pursued. With greater responsibility comes greater attention to the selection process and I felt that all of the selection processes I was apart of were handled fairly and democratically,0.00047984946,0.00403209,0.9954881
introduce yourself. what is your greatest achievements? tell me 5 uses of the bottle.  persuade me to travel with aiesec ?why to hire you? why did you choose aiesec?,0.0006738697,0.9988918,0.00043438232
You fill in the application then wait for response then go to the interview they ask personal and technical questions they are very straight and easy The interview lasts for about 40 mins,0.017859265,0.8297603,0.1523805
it went well as it counted as a student to student interview the interviewer learned to do it right and it's a NGO after all so wasn't expecting much  but I had fun in the time I spent there,0.0024736992,0.9710566,0.026469825
I filled out the application form which consisted of simple questions. After that I was contacted by phone to make an interview and then I was added to one of the teams through a WhatsApp group.,0.00033275393,0.997629,0.0020383103
i think it was pretty easy because i have a backgroud of the topic of project managemen so it worked well  it was a positive thing and i loved being there,0.0054506827,0.65916604,0.3353833
They called me on a phone Interview to test my English then they accepted me at the end of it and i'd been invited to 1 to 1 Interview they were two and it was all about personality and situations and i'd been invited to group discussion,0.00038463564,0.9980102,0.0016052063
I applied online. I had to answer some questions about the  role that I applied for and do swat analysis for the role. I submitted the application Then the HR VP sent me  the  date and place of the interview.,0.0006816637,0.9988733,0.00044499975
Interview was easy they were concentrating on how well is your English.  Basic questions on why you chose us and discussing about the roles and experience from your CV. It was a phone interview,0.00064446393,0.9985719,0.00078365154
I had the opportunity to selfreflect on my past experiences within a onehour intense interview. The panel focused on my personal skills more than anything else and it's been a very rewarding journey applying for the position.,0.00080856413,0.0016857968,0.9975056
I applied online then I received an interview phone call it was testing my English listening and speaking proficiency then they told me about the next interview (facetoface) and it was really amazing and positive experience,0.0004985036,0.0068753525,0.99262613
it starts with a local interview with the local committee in your country  then you start applying for opportunities and after that you should pass  the international   interview and then sign the contract,0.00051278505,0.99876785,0.0007193987
It was 1 interview and I had to fill an application and look for more information to catch up with it the Tm were just fun but one of them look like he is drunk,0.0050364225,0.994276,0.00068757636
This is for AIESEC Egypt Cairo University LC Phone interview ask you few questions to make sure you are a good english speaker Face to face interview and its alls about the personality,0.00029752954,0.99850094,0.0012015165
they called me and make 1 interview face to face to be an aiesecer it was in english . the place in madenet nasr the interviewers were very nice and friendly,0.0010093506,0.15722744,0.8417632
after filling the application online if you're accepted they call you for a telephone interview it takes about  5 minutes if you passed this they will specify the time for a face to face  interview  it takes from 30 to 45 minutes,0.9855999,0.014212751,0.00018742125
Went to two interviews in hr building not in actual hospital..then recruiter said she'll set a zoom meeting with manager and never heard from her again.... Wasted my time and energy for nothing,0.9987275,0.0011453704,0.00012717287
The process was normal and easy the interviewer started to ask questions and she was friendly and at the end she told me that I’m accepted. But honestly i got confused and surprised regarding salary wise,0.00093274325,0.99804604,0.0010212302
interview started good with easy questions but started getting unexpected questions kind of not related to the job role offered but overall needs good preparation and to expect the unexpected,0.0010083395,0.9984647,0.00052688067
The interview was online on zoom and after the inerview i asked the interviewer to took me a feed back  she didn't answer me at all She told me that she will answer in 2 weeks and i didn't get any answer,0.0032684433,0.9965653,0.00016627542
Phone Call > First technical > Second HR > Third Final interview with the CEO A lot of waiting and repetitive questions with no structure. This position was a trial and no one exactly knew the job description so it was misleading,0.998906,0.00096205354,0.00013192954
Good and the HR wad respectable and did the technical interview and the HR interview at the same day  so they save our time it was a good experience overall but I didn't hear any feedback again,0.0030500754,0.9912288,0.005721172
Very Bad  There is no organization  I was given an appointment at first but no one came in for the interview Then they called and set another appointment No one has responded to me.,0.9987404,0.0011417111,0.00011803463
recruitment negotiation with recommendation offer then technical interview with creative director and talking about what I'll support with some questions about how I create my designs and full prosses to make creative campaigns finally with marketing manager and questions about KPIs and management process,0.0038199886,0.9959312,0.00024884212
phone interview ask me to introduce my self and why i ideal to this job and why i left my job....if the customr becomes inactive how make them active...and tell me i accepted to make next interviw and tell me the salary ....umm and asked me about my place,0.0014657646,0.9981521,0.0003821957
The interview process take so long because you do a lot of interviews with senior team leader head manager  manager of your speciality and regional manager of your departmentIt's good they want to see every shortlisted candidates  but the problem that interview process take so long,0.99719584,0.002611015,0.00019312902
They keep contacting me and offering jobs then never call me back. Each time they say I am accepted and go for a final interview then they never call back unless I call and then they say they offered it to another candidate even though they already told me I am accepted.,0.9852742,0.014569451,0.00015630217
