Comment,Negative,Neutral,Positive
The atmosphere of work is excellent,0.00068236666,0.0023035358,0.99701405
There is no leader who is accountable to everyone.,0.99853706,0.0013135565,0.00014942001
satisfying job with direct access to beneficiaries Modest benefits,0.00030733418,0.00023228288,0.9994604
No opportunity for carrier development,0.99899906,0.000876554,0.0001244572
The team in Ethiopia Country Office are very well committed to their work. The doctors pharmacists lab technicians and others work with passion. Management is good and caring,0.00038341663,0.00054509775,0.9990715
Benefit package is very low. No education allowance and medical insurance doesn't cover dependents. Financial management is complicated with the involvement of an external accounting firm. Head quarter lack trust in the country office staffs in management of finance.,0.99921596,0.00061947334,0.00016450923
Great learning space. Best way to discover your calling so to speak.World wide exposure and increases your network.,0.0001853974,0.00018643143,0.9996282
Has very low work/life balance.,0.99910444,0.0007467636,0.00014875243
professional skill networking public speaking consulting  problem solving,0.0003137304,0.01769254,0.98199373
covid remote working language issue internet acsess online less people,0.99789965,0.0019852505,0.00011508922
To have me NGO Work experience,0.00037518275,0.9953289,0.0042958753
Almost no challenge except the salary,0.002416401,0.99714065,0.00044306516
i am very glad to word in the company which motivates the workers to upgrade their expertise and professional experience. As a result I am very eager to work in the environment which demand process engineering process scheduling process optimization skills. One of the most valuable things that initiates me to work in any company is the team spirit that would build during my stay in the company as a result i would focus on it deeply.,0.00080541504,0.0023117203,0.9968829
At normal circumstance Every jobs has its own good sides and short coming. there are so money factors  that can be tolerated even if they cause inconvenience to me.such as harsh working environment risky working conditions can be tolerated. But Jops with less incetives for workers can't be tolerated.,0.75583524,0.2434654,0.0006994117
You have more time to work on your own research.,0.0036431581,0.9954405,0.00091633067
Very low salary no respect for lecturers the city is not peaceful and so on.,0.9991171,0.0007153265,0.00016755053
Freedom of research and academics,0.0024000849,0.0063478616,0.991252
Very meager salary and no bonus,0.999035,0.0008079902,0.00015713877
Ambo university is one of known institution in Ethiopia.,0.0010089001,0.6757379,0.32325324
My constitution of is ruled under the legislation of the company employed me.,0.0016125262,0.9977755,0.00061199017
it is more or less growing,0.00036955616,0.9984124,0.0012180413
managers must motivate themselves to participate on research activities,0.13557251,0.85212636,0.01230107
lots of free time near to the capital AA,0.0023418455,0.680764,0.31689414
No instruments and funds for research,0.9986168,0.0012716606,0.00011149877
Best staff team work eager to work and to learn,0.00036792317,0.00030575678,0.99932635
The hospital is not well equipped,0.99914205,0.00070742215,0.00015053365
Work with freely no problem,0.0007571575,0.9942721,0.004970779
examinations held lately that's why,0.00037974297,0.99913317,0.00048716215
Efficient relaxing fast amazing learning,0.00021121743,0.00028047463,0.99950826
It is such a busy environment,0.9771688,0.0222745,0.0005566725
Good for professional development and carree flexible working arrangements and good place to learn intentional and globally accepted systems and processes.,0.0001551102,0.00017392934,0.999671
Systems & process complications are some of the cons which hinders ability to perform with full potential.,0.99785835,0.002005442,0.00013614843
It's a good place to work with a positive organizational culture flexible working arrangements and a diverse staff culture. The right place to learn and develop with multi tasking and multi purpose roles assigned to individual,0.00015688728,0.00017577916,0.9996673
Often can present a challenge on work life balance due to simultaneous delivery requirements and short deadline to meet specific program objectives,0.9987942,0.0010527233,0.00015299041
Work from home (tele working)Amazing coworkers life long supportive envirnoment,0.00023268064,0.00043554622,0.9993318
Terrible pay does not even take into consideration the inflation or cost of living adjustment into considerationLong hoursUnderstaffed No work life Balance,0.99920756,0.00062003784,0.0001725343
Great team work. Good support system.,0.00028829626,0.0002467627,0.9994649
Fixed term contract which leads to Job insecurity.,0.99911684,0.0007293744,0.00015380254
Work freedom and great transparancy,0.00023730754,0.00031596844,0.9994467
Lot of  field work in very remoteareas,0.9937465,0.006111832,0.00014162614
Humanitarian organization tackling health and nutrition problems,0.008940431,0.013017118,0.9780424
Low staff benefit for those working at remote area,0.999166,0.00066943164,0.00016462844
You will get an International experience.,0.00034584175,0.9977823,0.001871858
More attention is given to GBV when compared to WASH,0.0014565348,0.99805534,0.00048812383
Professionally challenging working environment in a good way.,0.0080204075,0.9244586,0.06752096
I do not have any thing to say.,0.00032375468,0.99915326,0.00052295096
Vast organization with opportuinity to exert your potential.,0.99714017,0.0026005157,0.00025932508
Trying to be its best version through continous learning and improvement.,0.0014706363,0.996393,0.0021364144
Nice Environment surrounded by great people.,0.00018659199,0.0002311783,0.99958223
Limited technical growth fixed job grade with usually no room for growth.,0.9991208,0.00073219807,0.0001469356
Best staff considerate management very concerned about values,0.013232595,0.008496086,0.9782713
Salary is not competitive the salary should be in USD,0.9987471,0.0011093104,0.0001435584
Difficult Work Environment  Nonsupportive regional office. too much office politics,0.9991115,0.0007177207,0.00017082067
Great salary lots of self learning.,0.0017091794,0.001132135,0.99715865
Employee care Inclusive Serving the poor,0.9989993,0.000845996,0.00015464968
Low salary Work life balance,0.9990539,0.00079067575,0.00015538713
 stable relaxed work environment  good health care  meaningful work,0.00020804677,0.00022078727,0.99957114
 national staff salaries don't match actual  living cost. big difference in payments between similar positions and JDs across countries,0.9987901,0.001073333,0.00013659979
good opportunities for professional progress and growth strong M&E system good reputation,0.00020903,0.00018839532,0.9996026
big difference in salary between same positions in different countries even in the same region,0.021536693,0.97764605,0.00081724225
opportunity to learn and grow with a fair salary,0.0010678659,0.0007210769,0.998211
Complicated/too much politics and not appropriate for someone who has integrity,0.9983175,0.0015327041,0.00014978516
friendly environment great mission and cause,0.00017799954,0.00019262903,0.9996294
Low paymentlow staff turn over,0.99910694,0.0007023865,0.00019073099
medical insurance medical insurancemedical insurance,0.00064007315,0.9973272,0.0020326623
working environmentworking environmentworking environmentworking environment,0.0004737538,0.9910255,0.008500734
Work environment and Ethics strong sense of Purpose,0.00088193285,0.0009044537,0.99821365
Poor use of technology to facilitate management,0.99912876,0.00070443476,0.0001668318
the environment is good and attractive,0.00024932678,0.0010438998,0.9987068
short contract time minimal donation,0.9988318,0.0010202829,0.00014783964
Transparent and gives chance for decentralized Decision making,0.0002604397,0.00035334838,0.9993862
Little Check and Balance in the Logistics Section,0.99815935,0.0016902697,0.00015037743
good for promotion for the future,0.00087395974,0.0031449199,0.9959811
does not pay well enough,0.99912757,0.00070827705,0.00016417325
Proper policy and procedures are in place great team and a place to grow.,0.00040831004,0.00030924645,0.9992824
No remote work allowed during that time.,0.9776664,0.021988703,0.00034497475
It is among the leading organizations in Protection.,0.00084689114,0.001524026,0.9976291
it do not dress complains early employment focuses in previous relation than competence managers abuse their power during shortlisting staffs internal staffs are discouraged for promotion.,0.9985287,0.0013146013,0.00015662
Good for the safety of the staffs,0.011409758,0.16738304,0.8212072
Poor salary and benefits package for national staffs.,0.9991744,0.0006598703,0.0001656344
Danish Refugee Council (DRC) works with internally displaced persons (IDPs) in different parts of the world.  I have worked with them in two different countries in Africa and the good thing is that you can get to work directly with the displaced persons talking to them to find out their needs.  You also can take on the responsibility you want and implement ideas if agreed with other team members.,0.0002513642,0.0023802656,0.99736834
DRC is a key members of the humanitarian community a leader of groups of International NGOs.  As such DRC is a leader of determining standards and advocacy.  This can mean that going out alone to address issues or to take the government to task may not be the way to operate. DRC is not into unilateral denunciation for example. Protection an area in which DRC is an undisputed leader requires a fine balance between different operating principles depending on the context and this can be frustrating to some staff members.,0.995707,0.004120597,0.00017250833
Great relations with UNHCR good reputation overall without significant fraud. It has a very good presence in all countries in conflict.,0.00067224115,0.004010659,0.9953171
Unprincipled professionally shallow parochial in their management. I started working with them attracted by their reputation. However what that reputation does not mention is the skyhigh turn over of expat staff due to poor management frustration with decisionmaking processes at senior level and the clear protectionism exercised by the Danes in the team. Very nontransparent and all good Scandinavian principles about equality participation worker rights etc. went through the window the moment DRC step out of Denmark. I still wonder how donors keep giving funds to this organization although I understand why serious ones like DFID USAID etc. would not entertain the idea of dumping their funds on that bottomless pit.,0.99840635,0.0014108804,0.00018283642
Very clear and easily understandable handbooks and guidelines though it demands too much paper work.,0.031200152,0.8596243,0.10917555
Absence of succession plan and training opportunities. Low staff retention strategies. Very limited funding and very few donors.,0.9992066,0.0006385101,0.00015499083
