Comment,Negative,Neutral,Positive
Established university and is increasing in popularity locally and regionally.,0.0008975833,0.83717406,0.16192831
No international ranking yet but currently they are working towards several accreditations in key area which should give them a ranking in 2 years' time.,0.0002846268,0.99538136,0.004333967
Friendly colleagues. close to amenities.,0.0001593813,0.0002934153,0.9995472
hostile work environment. poor senior management and leadership. limited to no technical support. Staff do not have conducive office space. Limited classrooms. Racial discrimination. Nepotism. Favouritism.,0.9992011,0.00062089774,0.00017796771
Great place to start a career,0.00042231992,0.0004886273,0.999089
Few ups and downs overall good,0.00049323414,0.99801564,0.0014911081
Dynamic workplace for a truly meaningful value adding experience.,0.0001808951,0.00021425949,0.9996049
Can be a great workplace.,0.0022266116,0.0036268448,0.9941466
great working environment and workmates,0.00028701447,0.0002553234,0.99945766
long hours lots of duplication of reports and unnecessary procedures.,0.9992299,0.00060043024,0.00016963303
Great learning environment and excellent experience,0.0002202679,0.00019667597,0.99958307
None to mention. This is a good university,0.0018075434,0.99170786,0.0064845853
Good working environment with friendly colleagues,0.0001813245,0.00018016617,0.99963844
Limited scope for career progression without postgraduate degrees.,0.9990723,0.00078302214,0.0001445408
educational sector good learning flat form,0.00022054334,0.0005315393,0.99924785
redundant due to restructure at university,0.0021840276,0.9974782,0.00033777638
Opportunities for studies and Growth,0.00019977354,0.0003821385,0.99941814
MQR differences and lack of opportunities for growth,0.99867994,0.0011910356,0.00012908468
new challenges new things to learn and implement,0.0013644763,0.98811984,0.010515643
Head of the Department should be well educated to handle the courses.,0.21493861,0.78352374,0.0015377282
Very conducive working environment.The university has a lot of scope and is very learner friendly,0.00039045245,0.00045198086,0.99915755
Not any that I noticed.,0.0002992889,0.99908316,0.0006175289
Flexibility and offers a learning opportunity for those who are new entrants into the market,0.00021306594,0.0002958839,0.999491
The compensation and benefits can improve.,0.99595886,0.0038419554,0.00019923288
Good Company and Effective Environment,0.00022089639,0.00023647,0.9995427
Needs more exposure in international countries through various programs being offered.,0.001814523,0.9972428,0.00094276445
environment is worth working,0.004223597,0.6187294,0.37704694
no progress on job market,0.52025557,0.4793001,0.00044431922
Studying this field I want to gain work experience and help grow and develope in this field,0.0011905273,0.9922496,0.006559858
Lack off resorces and experience in this field,0.9987174,0.0011181716,0.000164472
currently under review for benchmarking,0.732778,0.26694417,0.0002778285
contract is review on yearly basis  uncertainity of job security,0.9991635,0.000683935,0.00015262951
good programme overall and enriching,0.00049473933,0.004702339,0.99480295
salary not enough and i am looking for a better one,0.9970812,0.0027703394,0.00014839995
Organisation with a great mission. Great organisation to work with supporting the Pacific Island Countries in different capacities and sectors.,0.00017252337,0.00019439397,0.9996331
Cannot think of any downside,0.00033384853,0.999316,0.00035024178
Great vision and mission meaningful work wonderful colleagues a very good work life balance and a fascinating place to live.,0.00021727057,0.00022794682,0.9995548
Compensation is a bit lower than other international organizations in some areas but in balance the trade off is worth it. The location in Fiji is very remote if your home base is in the EU or North America.,0.9866344,0.013217794,0.00014785788
Decent salary and benefits leave,0.21913242,0.123440854,0.65742666
Suva doesn’t have much to offer,0.8680717,0.13131303,0.00061529694
Supportive work culture Great mission and vision  Good remuneration,0.0002854189,0.00020869188,0.9995059
Top heavy structure (well over 12 Directors for and organisation with under 700 employees).  Systems and tools could be improved.,0.96617246,0.033592477,0.00023508158
SPC has an excellent mandate and is well respected within its member countries,0.00031153808,0.00033202078,0.99935645
Current travel restrictions make building relationships across member countries difficult,0.9990102,0.00084901246,0.00014075825
Health Insuarance policy is great at SPC,0.00023303827,0.0005920601,0.9991749
Technical Positions dont get paid much as compared with professional positings.,0.9984579,0.001406886,0.00013517405
 Great team work and multicultural environment.,0.00022284315,0.00021864576,0.9995585
 Difficult to apply for jobs or ascertain whether recruitment process is transparent.,0.9988176,0.0010593846,0.00012296344
Interesting colleagues from around the world Most people travel heavily with opportunities to visit unique places Work can be really interesting but this largely depends on which division you work forthe organization operates as 7 related organizations at times Pretty transparent processes in terms of hiring compensation etc Good benefits compared to the US,0.00022640699,0.00035254614,0.9994211
Very disorganized at times without a clear vision Most people are on a 3 year contract so you can't get a promotion during that time unless you apply and are hired for a different position. This is rare as there are few relevant openings No support for spouses (who aren't allowed to work) Poor customer service from support areas (admin IT finance) For Americans: This company bases it's salary on the SDR and pays in local currency. This can have adverse impacts on your finances. i.e. I wasn't able to refinance my mortgage because of the combination of being on a 3year contract and being paid in foreign currency.,0.9991523,0.0006918025,0.00015592098
They have excellent technical experts whom are willing to assist and support the Pacific Island Countries and Territories and whom are willing to put Pacific Countries on the map with developed countries.,0.00038209333,0.00064386294,0.9989741
There is a need to assist developing and small island nations but the drawback is availability of funding and maintaining the technical and support staff. in other words chances is slim for the renewal of contract.,0.9973145,0.0025649269,0.000120564495
Owned by member countries Scientific and technical expertise for achieving members development goals Leverages relationships and regional insights to scale country based development solutions,0.00028620107,0.00034738827,0.99936646
Development issues in the Pacific are complex numerous and therefore country demands on regional organisations are great.   Breadth of projects can stretch SPC too thinly to be effective in delivering sustainable development outcomes,0.99881387,0.0010408658,0.00014530962
Teamwork and collaboration within each department.,0.0038950096,0.0032350542,0.9928699
There is room for better crossdepartment collaboration.,0.007085981,0.9917303,0.0011837843
Work life balance remuneration benefits,0.016741274,0.4739977,0.50926095
Work load appreciation job title,0.00059644185,0.9972765,0.0021270248
Health is about life in all aspects and we need that to go from one day to another.,0.0007039803,0.9985341,0.00076189265
Bureaucracy that may hinder achievement of objectives efficiently and effectively,0.9988564,0.0009981674,0.0001454474
International Organization.  Very close relationship with Ministries of Health,0.0005258489,0.024556885,0.97491723
Looking for funding. Difficult to retain staff.,0.9990809,0.00079400616,0.00012510574
Teamwork Fun Community work Environment and Marine adovate.,0.00018468972,0.00026532696,0.9995499
No allowance limited job opportunities volunteers are least priority.,0.99911743,0.00072009576,0.00016251554
Good employer. Great work culture,0.00031678885,0.00025651406,0.9994267
There are no cons about WWF,0.0016467365,0.9972312,0.0011220658
Large organisation with ready access to policy makers,0.000246394,0.00023630146,0.9995173
Massive amounts of funding wasted,0.9991922,0.00065653626,0.00015123076
