Comment,Negative,Neutral,Positive
The interview process is mostly asking about my past experiences my understanding about the course I applied to be a teaching assistant and the salary expectation. The overall interview lasts for 20 minutes,0.9962872,0.00359902,0.00011379496
You need to take an Online interview and face to face interview. Then they will test how you work in the laboratory your ability to work independently and as a team,0.0010280645,0.9986248,0.00034708445
3 weeks after deadline I had interview. The interview period was about one hour with the director PhD program in Finance and three other professors they asked me several technical questions about finance,0.0028748554,0.9969157,0.0002094304
Good interview process and I had two rounds of interviews. The first one was held remotely and the second interview was held in face to face. Good experience ann basic interview for trainee position.,0.0008898765,0.0035762198,0.99553394
Easy application quick and smooth interview process. Friendly discussion with the project leader. Presentation of former experience and questions about your future plans. Some relevant prior experience is a plus also extra courses taken in the topic helps.,0.00025837147,0.00032695744,0.9994147
Questions about interests and experince in research problem identification statistics and multivariate Optimization. Design thinking frameworks and their application and their evolution with time . Data driven decision making in design. Real time decision making.,0.0054762755,0.99366367,0.0008601233
You have at least two interviews and one interview is more about yourself and one interview is more about your research. In general the whole process is very friendly and professors are usually very nice.,0.0011015425,0.9900906,0.00880787
The position was posted on Aalto website. I applied for it and afterwards there was only one interview and on the basis of that interview and other academic credentials final selection was done.,0.0003163208,0.99914515,0.0005384386
Very smooth and easy due to the high matching of my background and position gave technical description to show the presentation skills and communication also describing my studies to emphasis the relevance it was friendly and my future boss informed me about university  project and recources fot the project,0.00065864343,0.007221376,0.99212
After sending out the CV and motivation letter I received the email for interview. I think the process is usually flexible and not so formal since on that day all professors who were hiring RAs were out. I did the interview for twice one on skype and later meeting in person (not for two round just separately).,0.000430909,0.99888307,0.0006859388
There was only one round of Interview. It was Easy and comforting. It lasted for 50 minutes. General questions were asked about study background and expectations from the position such as where did you work before what kind of industry what did you learn what are your future goals  etc.,0.00065909803,0.9901327,0.0092082005
it was based on submitted application i just had to communicate on emails no formal interview. I first got the position as visiting researcher and after couple of months i was offered the full time position at the department.,0.00064971205,0.998708,0.00064226065
Presentation of my master's thesis work infront of broad audience. Onetoone interview with professor with very few technically demanding questions  it was mostly description of my work and questions about their work.,0.0005261504,0.9989624,0.0005114382
Straight Forward...Discussion on my skill set...and project to be carried out. Courses that are taken in the university. My thesis goals.. Thesis topics that I have in mind...Past projects...Availability in Finland.,0.00024464665,0.99788433,0.0018709055
There was no real interview  I just went to talk to a professor about any master's thesis position opportunities. This is also an indication of how relaxed the environment is. The professor's project still had some budgeted funding left funding provided by the National Innovation Funding Agency of Finland (Tekes). The professor apparently checked my grades in the University system and reviewed my CV. He then decided based on our discussion that I was sharp enough for the research group.,0.0010570219,0.9937784,0.0051645883
I contacted the teacher who leaded the research group to ask for any open position. I had an interview with him and a phd syudent who would have been my supervisor. We had a relaxed chat in which we discussed my studies and my interests (they had my cv that I previously sent them). The also described me the project and the job. A few days after the interview I was contacted by e mail to agree on the starting day.,0.00037964917,0.98628545,0.013334936
Skype conversation or personal meeting where your potential supervisor asks some questions about general knowledge of the topic. It was quite friendly and even though I did not reply some questions I got a positive feedback. It’s important to show your motivation and interest. Then the bureaucratic  process starts,0.006288371,0.91906774,0.07464387
One deatiled interview with the Professor asking majorly about the technical skills and background knowledge and relevance to the research topic. The Professor told me the details of the research topic and analyzed from the discussion if it fascinates me or not. There was not technical test or so. My grades in Masters degree and relevance to the research area was convincing enough for him.,0.0009242375,0.9983518,0.0007239702
Only a telephonic interview after I sent my CV and certificates. The interview was with the professor who would be my advisor later. He asked me some math puzzles and 1 or 2 technical questions. Also why doing a phd etc. It was overall very friendly.,0.0006281495,0.9919661,0.0074056955
I applied for the AScI Internship program that offers the position of Research Assistant. The application included writing a motivation letter along with attaching your resume. Then there was CV based shortlisting followed by an interview on Skype. The results were declared within a month.,0.00054295495,0.9643713,0.035085756
shortlisting then presentation and a final interview and assessment of candidates will be sent transparently and open for an appeal afterward. the interview is very friendly and nice with free stress. Most of the interviewers are calm and conserved,0.00064420985,0.007890311,0.9914655
Easy going and friendly. Asked normal questions like experience and all. Shame I did not get the job though. Too focused on subject matter experience. That was shame.  Easy going and friendly. Asked normal questions like experience and all. Shame I did not get the job though. Too focused on subject matter experience. That was shame.,0.005665554,0.99346995,0.0008644914
a small interview by professor about background education and elective subjects. it lasted only for 30 minutes. Just prepare tell about your self very clearly including the necessary subject related to the current requirement.,0.00042475466,0.9987268,0.0008484563
I was asked personally if I wanted to apply as I knew the employer personally and as I wanted to enter the project I answered yes to the email. No further information there.,0.00029706102,0.9992188,0.00048412764
I was asked to be in a research project about green care. My CV asked for and was helping in the application process for funding from Norway and had my professor and dean to sign the contract.,0.0005815033,0.9974855,0.001932968
