Comment,Negative,Neutral,Positive
Friendly and laid back environment and colleagues. Close community of researchers. Understanding and patient place for students learning and studying while working. Good first job for a student,0.00016457168,0.00016197698,0.9996735
None that comes to my mind,0.00027097663,0.9992555,0.00047356114
 A supervisor can make or break a PhD but mine is great so far.  Staff and other students are thoughtful caring and fun.  Relatively low bureaucracy lots of breathing room to do your research lots of trust.  Very good salary for PhD students even if it is low compared to industry.,0.00060396554,0.00067827426,0.9987178
 Not much effort is made to integrate new students into the culture of the school you have to take the initiative and do this yourself.  General unhealthy culture of overworking among supervisors depends a lot on the supervisor can also add pressure on the students.  Admin systems are fragmented and not streamlined.  Having to expense sometimes very large things out of own pocket before having them refunded by department.,0.99898046,0.0008595405,0.00015990401
It has an international environment,0.00265691,0.9868217,0.010521434
The pressure for a PhD Researcher is really high,0.998372,0.001482248,0.0001458237
Plenty of time for research and personal interests,0.0029923015,0.6834814,0.31352627
Low salary compared to commercial projects,0.9990983,0.0007316696,0.0001700337
the inclusive and supportive community.,0.00020133163,0.00023053747,0.99956816
Sometimes Language would be a problem.,0.005075209,0.9945884,0.00033641336
Very good salary. very flexible you can have everything that you need as a R.A not too much bureaucratic problem very good assistance by the stuff.,0.0011986139,0.0008842072,0.99791723
Work environment was not super cool (At least in the group where i was) but over. They require training for basically everything and this can be time consuming. They don´t check about their intern very much Not big assistance in term of finding an accommodation,0.9988263,0.0010175467,0.00015615266
Hybrid work and working environment,0.00050853554,0.0012090731,0.99828243
Sometimes work goes overtime in the evening,0.19720073,0.8022822,0.000517076
Great working place with a wide variety of facilities and resources to use for your own research. Possibility of being a teaching assistant for multiple courses is also granted.,0.000217542,0.00021988204,0.99956256
Disconnected and poorly managed research group. Low collaboration between different groups. . Absence of courses for PhD candidates to approach advanced modern research learn new techniques. Low international collaboration.,0.9989837,0.00086736435,0.0001489802
Flexible work and remote access to everything.,0.00026158046,0.0002788267,0.99945956
There are more high salary opportunities in the corporate sector.,0.006663552,0.9912533,0.0020831397
Interesting & diverse colleagues Achievements in research & education Nice campus Great students,0.00016685047,0.00024762613,0.99958557
Some unpleasant internal politics and lack of communication Unclear strategy stated strategy and reality are quite different Rather poorly salary and employment conditions for nonpermanent staff (most of them!),0.9989838,0.0008731088,0.00014307133
Small teams. You can get good visibility soon.,0.00093705126,0.9696344,0.029428445
Small teams. Lack of experience/challenging environment.,0.9990969,0.0007565988,0.0001465418
Relax area Great facilities Clean city,0.00035767557,0.0004598904,0.9991824
Cold people the weather is mostly bad.,0.43858907,0.5607477,0.0006632168
Lots of flexibility in the schedule,0.0038074008,0.19468796,0.8015047
The salary was a little low for a full time position,0.9987294,0.001127682,0.00014288943
Working with smart people from different backgrounds,0.0003629338,0.99574935,0.0038876673
Finnish is a must if you want to move up,0.0011167076,0.9980167,0.0008666211
international diverse culture supportive team,0.00019847545,0.0002544126,0.99954706
whether is cold most of the year,0.029206855,0.9691993,0.00159389
