Comment,Negative,Neutral,Positive
Interesting to share to transmit technique knowledges to others,0.00020213546,0.0060825814,0.99371535
Too many students for a single classroom,0.9921037,0.0076485896,0.00024769816
Energetic professional well known   organisation in the globe..............................,0.0013699898,0.13845202,0.860178
Good and developing organisation   in the globe ..............................................................................................,0.00021508122,0.00051095843,0.99927396
 fantastic country and HQ colleagues  variety of tasks,0.0009350936,0.0023824305,0.99668247
 low decision making capacity  intrusive senior management  values,0.9990539,0.00078634144,0.0001597312
Good team good people to work with,0.00024018777,0.00023198329,0.9995278
Sometimes disorganized and often deadlines not met,0.9988279,0.0010271111,0.00014505372
Autonomy fast paced and rewarding,0.0006636175,0.00385628,0.99548006
A little chaotic at times.,0.0015497227,0.99762255,0.00082771736
You can go from intern to country director in 2/3 years if you understand how to navigate the organisations systems and deliver to its expectations. Often there are a core team of good staff you can suffer together with.,0.9747785,0.0246434,0.00057815097
Extreme focus on growth/money poor compensation for staff lack of focus on programme quality or impact on the vulnerable misrepresents terrible projects to donors to trick them into continued funding (this is also the donor's fault). A large portion of senior management is terrible  they come off as egotistical and growth oriented and without true interest in humanitarian principles. Overworking is the norm HR is basically forced to erase any evidence of overworking on time sheets. Many practices forced upon staff are borderline illegal and definitely unethical.,0.9990608,0.00078360236,0.00015558054
A good learning opportunity a lot of responsibilities and decentralized organization. Colleagues are young flexible and energetic. Very high level of log admin/HR and finance procedures especially for procurement. Easy to make career isnide the organization.,0.00030087263,0.00030521836,0.99939394
High staff turnover also at senior incountry level support from HQ and country office cannot always be ensured because of understaffing. At the beginning offers only 6 months contract but I would say 95% of people get extension and/or a promotion. They are also flexible in accomodating individual needs in case of meaningful one.,0.9982868,0.0014663085,0.00024690354
Tons of autonomy in each role with lots of crosscutting experience available; the team of people is great to work withlots of young intelligent workers; opportunities to transition into completely different fields is possible with a little time and some networking,0.00031415327,0.00038042178,0.99930537
No strategic planningmore focus on 'money hunting' for donor funds to keep operations afloat; excessive hours (long hours are looked favorably at..but sometimes work is overwhelming) staff is often burntout before leave; lots of firefighting,0.99909484,0.0007310512,0.00017407032
Lots of opportunities provided to inexperienced and motivated people. Great autonomy in field missions.,0.0005164509,0.00048464144,0.99899894
