Comment,Negative,Neutral,Positive
The people there are welcoming and willing to share,0.00018998787,0.00037944183,0.9994306
Cannot remember any right now,0.0003038553,0.9993098,0.0003862976
You get a great network develop employability skills gain intercultural experience get to manage a lot of projects and if you do it right people too. The social life within the community is excellent and the organised events are so as well.,0.00032368748,0.00050351373,0.99917275
It is highly unorganised sometimes and a lot of time is spent on formalities which are not really necessary and hinder the progress of the daily work routine.,0.9991379,0.0006986176,0.00016353908
I loved working for AIESEC. I started as a volunteer and quickly moved up because I loved the competitive yet inviting atmosphere. I became a paid employee and worked in NYC and Germany.,0.00082962646,0.0027925624,0.99637777
Every year you have to move up or out pretty much.,0.5348375,0.4646022,0.0005602929
Can experience different Culture Can get an idea how a Company works Can have lot of contacts in different fields of the professions,0.0006609772,0.9982572,0.0010818379
Can take much of your time,0.9990288,0.0007710018,0.00020018117
Develop leadership and sales skills,0.3526927,0.61149514,0.035812143
none professional environment  not organized,0.9990313,0.00080479647,0.000163904
practicing English multicultural working environment,0.0002979948,0.0014605979,0.9982414
hard to balance life and work,0.9989492,0.0008738803,0.00017691191
Red cross gives you the opportunity to get practice on your field.,0.00063061883,0.0043800366,0.99498934
Some of the jobs site people got a little scare when you are willing to do anything you are ask to do. Job security..,0.021133699,0.9786633,0.00020297315
Uncomparable to any... there is a reason why Clara Barton put this organization together with the inspiration and assistance of Henry Dunant.,0.90782624,0.09175388,0.00041977558
By far no cons...everyday there are more and more ideas that come to mind from all volunteers around the world,0.0004971356,0.9990171,0.00048573487
The Red Cross is a great way to get your foot inside the door and make connections. Because they are a volunteer organization there are countless opportunities to get involved no matter your skill level or experience.,0.00018330217,0.00019290553,0.9996238
Occasional lack of communication not enough paid positions overseas lack of appropriate support from NHQ.,0.99914694,0.0007015915,0.0001514492
Very friendly environment with a great cause. Diverse working tasks keeps the work fresh.,0.0001952462,0.00021463344,0.9995901
Sometimes unclear of what is to be done or too many projects at once.,0.98097205,0.018854573,0.00017330555
The team I work in is very nice,0.0004415629,0.0030322745,0.9965262
The Payment opt. are very low,0.99888605,0.00097147474,0.00014256687
They give chanse to the beginners and you can learn a lot about job and people.,0.0077907545,0.99168277,0.0005264038
They will use you as much as they can. It is very hard to work as nurse in the Asklepios Hamburg hospitals,0.9988403,0.0010284157,0.00013131759
Good working environment and social benefits secure jobs,0.00020647986,0.00019109584,0.9996025
Low wage compared with private enterprises,0.9988379,0.0010012282,0.00016081968
Unterkunft essen ubd Hessen Ticket,0.00043593434,0.99785465,0.0017093377
Wenig Taschengeld wäre besser wenn es mehr wäre,0.0005835082,0.99676764,0.0026488812
Big company nice teams good values,0.00033298795,0.0004353149,0.9992317
Bad payment too conservative too impersonal,0.9990652,0.00077496027,0.00015988677
Must love working with kids. Playful and relaxed environment. Freedom to create activity structures.,0.00028392684,0.00031675448,0.9993993
Very little guidance or feedback from leadership.,0.9988576,0.0010117879,0.0001306522
Students are interested in learning Modern classrooms Professional support from staff and colleagues Friendly atmosphere Free continuing education for staff (such as seminars in instruction or online teaching) Free parking Access to library Excellent food in the cafeteria,0.00018396063,0.00019623092,0.99961984
