Comment,Negative,Neutral,Positive
Enjoyed working there it was really amazing,0.0006951387,0.0029223927,0.9963825
Very beautiful place to work at,0.00037420393,0.00037005567,0.9992557
I enjoy talking to customers,0.0010303537,0.005774359,0.9931953
Less salary given and it delays,0.998917,0.0009215218,0.00016147328
1. Exposed to different project dynamics with a diverse team experience 2. Great learning with global teams such as experiences with global finance meetings,0.00023220076,0.00073131575,0.99903655
Very little chance for career progression within the company. So people have been at the same position over ten years in the company .,0.99910957,0.0007574379,0.00013287271
End is Service benefit But if your salary is below you wont really enjoy this,0.9486118,0.051166736,0.00022155471
Most staff currently employed are not happy,0.9989035,0.0009706296,0.00012588139
A lot of challenges on the job,0.99877506,0.0010965187,0.00012839516
Low pay and living conditions,0.9992011,0.000608834,0.00019016392
I dont think any other organisation in the world champions youth empowerment like AIESEC does,0.26490074,0.397015,0.33808428
Nothing comes to my mind right now,0.0002975201,0.9992161,0.00048634523
Condusive environment for students who just graduated to be able to impact knowledge and also learn .,0.99547124,0.00430357,0.00022523537
Salary however is not good,0.998618,0.0012285255,0.00015342553
Flexible work hours Minimal supervision  Relaxed environment,0.0002771243,0.00025164688,0.99947125
Lack of structure  Lack of strategic planning and implementation  Lack of accountability,0.9991773,0.00065788283,0.00016488766
Great company culture and vision,0.0003590925,0.00035491533,0.999286
I don’t really have a con to share,0.00048329533,0.99866366,0.0008529489
Great on your Curriculum Vitae.,0.0008657381,0.005356333,0.993778
Pay not commensurate to your work.,0.99902236,0.000811055,0.00016663992
They are very serious and disciplined,0.0019084979,0.99468225,0.0034092825
everything work for meno doubts,0.00060471107,0.9983944,0.0010008609
It good to work there because it a good place for future prospects,0.00016313985,0.00020522355,0.99963164
You need to be ready for everything,0.0014920466,0.9960957,0.0024122866
Amazing work culture and opportunity to develop,0.00021761133,0.00019873367,0.99958366
Salary is not competitive compared to same role in other organizations.,0.99871683,0.0011393325,0.00014377502
Culture & environment Skilled and diverse colleagues Range of career paths and opportunities,0.0002755786,0.00031311033,0.99941134
Widely different quality in line management. A few very poor senior managers lacking objectivity people management and development skills operating with bias,0.99896836,0.0008861259,0.00014551614
British Council is very effective in exam delivery,0.0013894862,0.0019308786,0.99667966
Long waiting period of salary for temporal staff,0.9991217,0.000707652,0.00017067147
There are Great learning opportunities,0.00021191595,0.00026187397,0.99952626
Opportunity for career advancement in country operations are scarce,0.99911994,0.0007399627,0.00014008534
Good organization international exposure Education sector,0.00017303019,0.00018737325,0.99963963
Pay is way below average for experience,0.99902296,0.0008152251,0.00016184841
Timely reporting culture and best goal delivery,0.009569073,0.035369344,0.9550616
projects were short in nature,0.82255286,0.17718044,0.00026668713
Some great people. Flexible (but only when it suits them),0.0004075249,0.0014912657,0.9981012
Toxic Clueless Senior leadership team. Senior Managers from retail and energy backgrounds without a clue when it comes to maintenance and property repairs. They have no grip on reality. Too many' Yes' men at the top who are all afraid to challenge each other. Poor HR allowing Nepotism to thrive. Jobs for their mates. Remove cars from middle management as they didn't want them to be a status symbol yet Senior leaders all driving round in Teslas. Hypocrits. No respect of middle management. Steer clear of this company for your own mental wellbeing. They only look after the engineers and that's because they struggle to employ them. Great places to work...talk about a joke.They hound everyone to fill it in until they get their results. A sham and a scam of a company. Company has got too big and doesn't have the infrastructure to support it. They give jobs to their favourites without advertising when it suits them. Then others have to jump through hoops to get a role. No consistency and HR know about it. Shocking. I could go on and on.,0.9988403,0.0009860912,0.0001736559
Career growth is encouraged and promoted,0.0013685905,0.0032402028,0.99539125
Short project duration does not allow much innovations,0.9989724,0.0008884133,0.00013922922
Employee HEalth Insurance Employee welfare Built employee capacity in financial integrity Expose employee to skills development at work Team spirit,0.00028780344,0.00093897345,0.99877316
low salary compare to similar companies,0.9984321,0.001458021,0.00010990558
Excellent human resource development  Good people management,0.00040162937,0.00030026765,0.9992981
Not any I know of.,0.00029942303,0.99912196,0.0005785803
Good 401K plan benefits mental health supports  During COVID they added 2 wellness days/quarter  Lots of online opportunities for additional training mentorship programs if you look for them,0.00017984373,0.00018677049,0.9996333
Lots of hierarchy (as with any large organization)  Not always transparent w/ salary (show bands but can't give you exact amount)  Still a lot of work to go w/ DEI recently hired Chief Diversity Officer but starting to work towards improving efforts resources and having necessary conversations,0.9984451,0.001416473,0.00013844135
Good career progression Inclusive and Equitable HR policies Possibility to be based in a number of locations International/ Expat benefits,0.00018305473,0.00017359725,0.9996433
Very political National Vs International Benefits,0.0036101623,0.9961403,0.0002494559
