Comment,Negative,Neutral,Positive
International environment intradepartmental cooperation friendly environment,0.00017627433,0.00024145393,0.99958223
It takes time to take decisions as several departments are involved.,0.9978258,0.002035708,0.00013849502
Working for an NGO with a long presence in Greece,0.35402825,0.64482206,0.0011497228
Mediumlow salary compared to iNGOs Only Greek speakers hired,0.9972486,0.0026171603,0.00013427458
An environment friendly to employees open to creativity and new ideas and proposals.,0.00017271127,0.00019748433,0.99962974
Too much beaurocracy difficult to make plans and decisions.,0.99887246,0.00096110377,0.00016643199
You can make a change in the world. Lots of travel,0.0036112312,0.91748995,0.07889889
too disperse and very difficult to apply changes.,0.99883527,0.0010282082,0.00013653161
Inclusive no background restriction knowledge development personal development challenging environment opportunity to acquire multiple positions,0.0007685573,0.0020481127,0.99718326
Intensity responsibilities and responsibility distribution recognition upper layer management,0.0014636498,0.99642676,0.002109541
No XP is neededEducation and training providedYouth environmentAccommodation covered,0.13936083,0.52923906,0.33140016
 Workload Salary Limited working contract (1 year),0.9989341,0.00094495533,0.00012103077
Nice for personal development Good opportunities for networking mainly in the business sector,0.00016601355,0.0001968326,0.9996371
A lot of drama and lack of professionalism (probably because it is organized solely by students) which often leads to a toxic environment.Quite difficult to keep a balance between your studies and your work. In many cases volunteers are required to work after leaving office. In many cases superiors put pressure to new team members to do things (e.g. host people) that they dont want to forgetting that this work is ENTIRELY VOLUNTEER!!Many volunteers care only about bringing results to their supervisors and they dont care about the quality of work.,0.9989072,0.0009373167,0.00015548083
Multicultural environment innovations opportunities gaining skills on fields you like regardless of your background.,0.00028246155,0.0006599992,0.9990576
It really deoends on every person and position you choose to apply but huge workload a lot of responsibilities and stress.,0.9988951,0.00092851254,0.00017635671
Fast learning environment  Take ownership & responsibility Work within a team  Impact,0.0002341751,0.0002498955,0.9995159
You may be consumed from the work  because you find meaning to what you are doing,0.0041182367,0.9954318,0.00044992327
 Ideal environment for someone to meet new cultures and cooperate with people from all over the world.  Great  Team Experience especially when you move up in hierarchy because you have to manage a team of students that work voluntarily like you   Many AIESEC events take place where you can meet members from many other territories  Companies share knowledge with you and help you become more professional on your work  You gain valuable experience on fields such as Sales Marketing HR Finance Customer Service   You take responsibilities that you probably wouldn't have the opportunity to take if you would have chosen to work on something parallel to your studies.  Fast promotions to higher positions (Executive Boards of AIESEC change every year)   Constant Support and lifetime friends.,0.000379605,0.00039864331,0.9992217
