Comment,Negative,Neutral,Positive
Long process with various group tasks and individual interviews aimed at assessing your interpersonal skills as well as finding out where your passion truly lies. The eventual result is determined by the student interviewers.,0.99815184,0.0017219465,0.00012619335
Some group discussion and presentation with groupmate to interviewer. There will be 5 steps of the whole process each section hold 2 test examine your collaborations skills or persuasion skills or leadership skills.,0.0004998195,0.99895954,0.0005406039
there are four tasks to complete during group interview lasts for around 2.5 hours in total and then an individual interview if you get through which lasts for an hour.,0.0006902447,0.99900013,0.00030960346
Consists of group and individual interview. There are a few group tasks which is in groups of 24 depending of task. Tasks include marketing tasks pitching tasks. Individual interviews include topics about world peace.,0.00030123472,0.99853563,0.0011630867
It was conducted through zoom where the HRs are all present.  We moved into breakout rooms. The whole process is rather long and timeconsuming my phone has run out of battery during the group interview.,0.9989513,0.0008976584,0.00015102683
Recruitment talks then candidates are invited to Group interview(each with 6 people) then after filtering there was a final round individual interview with managers and vice president. General interview questions are asked in individual interviews. In the group interview the form of question given was more creative and interactive.,0.0005405252,0.9899541,0.009505413
Firstly the interviews were asked to fill in a form to schedule the interview. Then after some days the HR gave me a Skype call and asked me something about my resume. The interview is very short and the HR does not seem to be very active.,0.99879444,0.0010797045,0.00012584831
2 rounds of interview group & individual. There will be multiple tasks in group interview which requires you to share your opinion in a specific situation. There are also task on collaborating with others.,0.00040119255,0.9991341,0.0004646992
The application form is long and I got contacted in a few days on the interview. I first attended a group interview which was quite challenging. I was a case study and the interviewers are quite challenging towards the interviews. Afterwards I attended an individual interview with two managers from my desired departments. It is more of a workfit and generic competency concerned interview.,0.9985757,0.0013026533,0.00012160611
I know the organisation on campus and they were very proactive. Then I went to their sharings lectures and websites and got very interested. So I went through Online application(CV&Cover letter) Group Interview Panel Interview One to One Interview and Offer!,0.000456189,0.97435623,0.025187489
The interview lasts for 30 minutes and there are 3 interviewers. The interviewers are nice both cantonese and english questions are including in the interview and usually ask about problem solving question.,0.0024878413,0.9347007,0.06281146
There would be a 45 minute written test (format unknown) with a 10 minute individual interview. As I am a student applying for changing the major my experience may not be the same as the others.,0.985408,0.014489976,0.00010197109
2 interviewers asking about why you want to have the job and provide some scene for you to react Provided detail explanation on the job nature and what possible opportunities,0.00045386315,0.99909437,0.00045176872
First interview written test with four to five questions in English and Chinese then panel interview with five interviewers from the Faculty/ Department. Shortlised candidates will have second interview with the direct report supervisor.,0.00033755667,0.9989831,0.00067932584
The written test was easy. There was a 1020 mins interview after the 1hour written test. It seemed that many people applied for this job. No response after the interview.,0.0015848011,0.9967944,0.0016208272
good experience. the process is great. nothing to complain about recommended to the others. Welcome to join. the process took a day very simple question. quick follow up after the interview,0.0031674213,0.89464474,0.10218784
1hour written test with four questions in Chinese and English. The task is not so hard and ask about planning an event. 30mins face to face interview asked in Mandarin and English.,0.0014219201,0.97909856,0.019479489
