Comment,Negative,Neutral,Positive
good company nice people with kind heart,0.00020463028,0.00021309455,0.99958223
i cannot think of nay cons for now sorry,0.00035467488,0.99927574,0.00036966326
Salary working hours and benefit,0.019810023,0.0136853065,0.96650463
Management daily operation supervisor level,0.0020427154,0.99428105,0.0036762517
Well funded and very experienced,0.013723962,0.27120438,0.7150717
Disorganised and very short term,0.9990758,0.0007765549,0.0001477179
Able to lead large teams and promote products. Sales skills learnt and product skills developed.,0.0005125804,0.0004923917,0.998995
Unorganized across regions especially admin.,0.99856144,0.0013086919,0.00012985559
good networking in a crossuni environment,0.00016039298,0.0003134687,0.99952614
stress unpaid and toxic working culture,0.99914837,0.0006908108,0.0001608221
People there are very nice,0.0021847559,0.7594574,0.23835783
Students run organization you may not really be engaged in that,0.97556096,0.024233185,0.00020589968
Enthusiastic Youthful Energetic and Entrepreneurial. You will just miss the fastpaced working team environment there with young people!,0.00049001456,0.0005959593,0.998914
Sustainability remains an issue as every year the management team shift and strategy might not continue that easily.,0.9990594,0.00078952615,0.00015117634
1. Exchange opportunities (mainly Europe and Asia) 2. International network (you can meet ppl from around the world mainly undergraduates),0.00019839867,0.00110513,0.9986965
1. Heavy workload (sometimes)  It depends much on which team you are in. If you are in a team and you are not interested that will be an awful experience.,0.9969875,0.0029097865,0.00010265106
AIESEC has a very positive culture. It provides opportunity for leadership development and global exchange.,0.00015462554,0.00018821094,0.99965715
As a student it takes time to complete AIESEC work.,0.9984006,0.0014478199,0.00015153943
Purposedriven learningdriven practical experience leadership teamwork,0.00021709358,0.00076696946,0.9990159
Not that I can think of.,0.00027851574,0.9991603,0.0005612224
Good compensation good working environment,0.00051358,0.00036778147,0.9991186
No obvious shortcoming for the company,0.9970847,0.0026922864,0.00022297636
It's an international work environment and helps to expand your network and horizon; Worklife balance; Supportive colleagues,0.00016198566,0.00018333267,0.99965465
Bureaucracy; lack of collaboration with the local officer,0.9990363,0.00080118485,0.00016258945
You got work life balance,0.0016438968,0.9956196,0.0027364045
It’s bureaucratic so it takes time for decision making,0.9988193,0.0009916363,0.00018906813
Stable working environment good for those who likes to work in a very organisational environment yet not a suitable place for those who would like to make a impact to human rights causes.  In short it is a good working environment for bureaucrats (yes... it is so big and that it developed a working culture very close to governments!) but not for real activists and NGO workers.  Good work life balance for those who does not need to deal with  ad hoc work very tough working hours for those that needs to.,0.01632647,0.8761712,0.10750242
Crazy politics both interdepartmental and intradepartmental disrespectful for expertise disrespect talents does not value intelligence little ownership of projects whether you will actually enjoy your work heavily depends on your line manager there are good line managers out there but they are not the majority.,0.99747247,0.0022921932,0.00023535409
great benefits and friendly dynamic,0.00015120363,0.00020023891,0.9996486
growth for career is limited,0.9982291,0.0016595157,0.00011134604
Good colleagues and can travel a lot,0.00027402307,0.00053544436,0.9991905
Top management is messy and restructure frequently,0.9990214,0.00081496045,0.00016359598
Small team so interns really do take on responsibilities and learn a lot. Managers are easy to approach and downtoearth.,0.033478256,0.6019645,0.3645573
Sometimes communication between teams are not very smooth due to office design.,0.9989078,0.00094588345,0.00014629487
The workplace is cozy locating at the hilltop.,0.00045187146,0.01950184,0.9800463
For internship it was hard to say one can really learn something useful.,0.00088708475,0.9985455,0.00056743104
You can get much experience,0.0005146359,0.99855345,0.0009319207
You can only get a low salary,0.99897444,0.000847755,0.00017775317
Clear guidance and follow up,0.0011537725,0.99460214,0.004244036
No Job rotation so cannot experience other HR function,0.99468476,0.0052082497,0.00010701973
friendly environment to work in,0.00021557626,0.00021820376,0.99956626
work benefits are not great,0.9991059,0.00074220827,0.00015180968
easy to handle the job,0.012450913,0.92228335,0.06526577
tired for working for hours,0.9991486,0.0006748415,0.0001765228
Good colleagues and friendly culture,0.00016294123,0.00019150399,0.9996456
long working hours without bonuses,0.9989711,0.00086692587,0.00016190685
 Work life balance  Friendly culture,0.0009278106,0.8545825,0.1444898
 Poor salary  Poor career path,0.9991879,0.0006602402,0.00015184982
Good pay and good training,0.007373139,0.00361965,0.98900723
Long hours and hard to get holiday,0.99919087,0.00065245613,0.00015665899
Nice work good environment easy to travel,0.00025667372,0.00022852537,0.9995148
Can't think of any cause i am force to write this columns,0.0005019325,0.9991679,0.0003301311
no any pros of this job,0.08274885,0.916638,0.0006131102
free and can go to shopping anytime,0.0003996742,0.0017498262,0.99785054
Relax environment flexible working hour have monthly bonus,0.00050838746,0.00042475344,0.9990669
Computer too old directly report to boss,0.98579204,0.014007469,0.00020047193
good people and nice culture,0.00017639493,0.00029373777,0.99952984
stressful sometimes lack of exposure,0.9987494,0.0011099237,0.000140749
It is a great hospital,0.000537318,0.00077339704,0.99868923
It seemingly is a hardship company,0.9979226,0.0019423531,0.00013499199
it is ok a good company,0.0018749584,0.99340457,0.004720483
too many people working in there,0.9983973,0.0014317501,0.00017086859
Good coworkers and flexible work environment,0.00019872928,0.00019105923,0.99961025
Account department works very slow,0.99912566,0.00072782714,0.00014646765
Stable work environment and convenient transportation,0.00027762464,0.00027064496,0.9994517
Small and aging works facilities,0.9978775,0.0019861273,0.00013647602
Efficient administrative staff and friendly colleagues,0.00027934936,0.00023090288,0.9994898
I can’t think of any,0.00054845394,0.9988122,0.00063940097
WorkLife balance Friendly Environment Good for freshmen,0.00015745284,0.0008563691,0.9989862
If not for PHD it’s not the best choice as a job,0.98970747,0.010012334,0.00028022737
Good environment and work is not too hectic,0.0007107193,0.00080067804,0.99848855
"Work performance and appraisal often rely on ""personal"" relationship with the administrative tea",0.9949588,0.004914468,0.00012673528
working experiene depends on the team and your boss,0.0005900056,0.99761343,0.0017965664
not much career prospect if you are not walking toward the resaerch field,0.99347657,0.006385732,0.00013778197
Good facility nice professor and nice working colleagues,0.0002044547,0.00021714416,0.9995784
sometimes you may feel boarding,0.0009113957,0.997449,0.0016395566
You can learn a lot from the position project management especially (research project),0.0013666552,0.99678886,0.0018445035
Too many adhoc duties; you need to be selfdriven,0.94068485,0.058694202,0.0006208795
nice enviornment with fresh air.,0.0002138947,0.00036597063,0.99942017
Too many slope far distance between class location,0.99824643,0.0016071087,0.00014648004
Resourceful helpful and good working environment,0.00017614012,0.00017379373,0.9996501
so far no specific cons,0.00034455155,0.99880934,0.00084608607
Beautiful campus comfortable good office with nice colleagues,0.00018167973,0.00017977778,0.99963856
Not very high salary increment,0.9977016,0.0021480804,0.00015031562
Very Very Big Campus with good professors.,0.0013951944,0.012853299,0.98575145
The food is really not good.,0.99904174,0.00082791597,0.00013030281
Clear salary range align with government yearly increment,0.13393757,0.18194832,0.6841141
Medical welfare too basic or not up to standard,0.9977229,0.0021275408,0.00014948042
colleagues are nice. environment is good,0.002202258,0.2670873,0.7307104
cannot think of any at this moment,0.00029556264,0.9993261,0.00037833117
Highquality training and resources from the university,0.0037492476,0.0018742048,0.99437654
Terrible supervisor and lack of supervision to supervisor,0.9991399,0.00069807225,0.00016197113
Stable job friendly working environment.,0.00020562041,0.00024594384,0.9995484
Less promotion chance some underperformance senior staff blocking your way.,0.998599,0.001262977,0.0001381477
chill work nice colleagues leave on time clear career path,0.0017684122,0.04113994,0.9570917
low paid kind of boring less promotion,0.99903464,0.00081609574,0.00014923836
good environment and nice colleagues,0.00019692042,0.00020345346,0.99959964
low salary and far from downtown,0.9990088,0.0008115244,0.00017973891
Flexible good working environment and benefit,0.00016587751,0.00017644776,0.99965763
Not good for career path,0.9990169,0.00083436794,0.00014872804
Positive Working Environment with nice colleagues,0.00017173873,0.00017873372,0.9996495
Low Salaries and bland administrative work,0.99918646,0.0006451684,0.00016840291
Easy work and friendly supervisor,0.000584266,0.0006671254,0.99874854
Highly repeatable work and boring,0.9990277,0.0008230655,0.00014920146
gain some money for living,0.73597205,0.2634701,0.00055778824
hard to find job like this,0.9989355,0.0008966935,0.00016783447
Stable usually havd 10% contractend grautity after 2 years,0.00045266244,0.9990061,0.0005412124
No bonus review payscale every year,0.99801,0.0017839567,0.00020611809
Reasonable salary Good working environment,0.00092934765,0.0005349646,0.99853563
Low salary not easy to be promoted,0.9991258,0.00071040465,0.00016382431
Inclusive and supportive working environment Provide space for promoting growth and generating new ideas,0.00016416554,0.00016422519,0.9996716
Haven't experienced it personally but my colleagues claim the UHS and dental service to be unsatisfactory.,0.99682546,0.0030816514,9.294313e-05
Worklife balance; experience in different projects and writing skills,0.00041201868,0.9986123,0.00097567897
low salary; no future development,0.99907744,0.0007700679,0.00015244893
Please make sure you are under employed by the academic department but not the private company the research PI host.,0.041879755,0.9574471,0.0006730506
Research related jobs are very depends on your PI and your own interest.,0.00043651852,0.99882895,0.00073458604
The pacing is good. Not too stressful,0.00093169,0.9897371,0.009331138
We could have some more pay la,0.005191801,0.9942525,0.0005555907
Can have flexible working hours,0.025361987,0.03507401,0.93956405
Pay may not be enough to compensate your workload,0.9991216,0.0007066589,0.00017173678
the working environment is free,0.0010556675,0.002728647,0.99621564
the work is repeatedly boring,0.9989324,0.00093708787,0.00013055874
good team on the job training,0.0004646252,0.00040606884,0.99912935
low wages small team no work from home,0.99916184,0.0006706638,0.00016742786
Very rewarding and fun job nature Colleagues were welcoming and helpful work life balance,0.00029082753,0.00023807115,0.9994711
low salary not a long term job because of salary work experience of job of this nature isnt widely appreciated ( MEngRA specific),0.99897695,0.0008798397,0.00014329537
worklife balance nice environment friendly colleague basic medical insurance,0.00035604512,0.00063685904,0.99900717
limited development space projectbased not stable for career path,0.99916744,0.0006870288,0.0001455811
nice coworkers and flexible working hours,0.0003026664,0.0002472662,0.99945
so far no cons ...,0.00038697498,0.99884534,0.0007676294
Free staff parking and medical substidies,0.0017075489,0.0019035464,0.9963889
Professors tend to bully you,0.99842846,0.001413232,0.00015835842
No OT good colleagues nice work environment,0.0011228467,0.0011051118,0.99777204
It takes time to go to work as it requires take shuttle bus inside campus.,0.9988318,0.0009553455,0.00021289679
Good on CV chances to learn,0.017047243,0.6293781,0.35357463
Heavy workload no pay raise,0.9990176,0.000802194,0.00018024188
