Comment,Negative,Neutral,Positive
The whole interview process was transparent and fair. The questions were part of a competencybased interview and at the end I was also assigned a task (Excel  Pivot table).,0.0025009338,0.3468887,0.6506104
We had to pass a written test to get selected for the personal interview with 3 managers. The written test contained various logic questions and had an attention span test as well. We had to write a formal email in Word and calculate some benefits in Excel. The personal interview was easier I felt no pressure.,0.0010243693,0.9936035,0.005372189
It was for a temp position therefore the interview process was short. They experienced some technical issues so the interview itself started  with 15 mins delay.  Two interviewers  tell the truth they have not left a mark…,0.9936644,0.006205106,0.00013048125
Typical competency based interview 3 panel members each asked questions. Interview was preceded by a written test. Was not a bad experience but it took ages to hear back from them by that time I had two other offers.,0.9913765,0.00844348,0.00017998992
I have not had the interview yet once I do I'll definitely come back to edit this.But for now I applied on their official website and they email me to come for an interview.The job is as a procurement intern in the headquaters,0.00048005153,0.9990989,0.00042101234
Phone call. Online application(very long process). Interview with 3 interviewers. There was a written exam on the same day as the interview with basic tasks: answer an email so some calculations in excel etc.,0.99446785,0.0053917947,0.00014040903
It was a phone interview with 3 representatives of the organization from the local office and headquarters via Skype conference call. Prior to that I applied via UNHCR Talent Pool. The waiting time was about one month after which I got an email with the invitation to the interview.,0.013165071,0.98662543,0.00020943246
Very long and overly complicated process the interview questions are designed for multinational companies rather than a humanitarian organisation and were very generic. This is specific to my duty station but the interviewers did not seem to care too much about my answers and I was chosen based on my CV as I learnt later.,0.9989918,0.0008647246,0.0001435151
It was a lengthy selection process which started with psychometric assessment followed by competencybased interview (few months later) and then followed by functional test. Only candidates that passed each stage of the recruitment process were invited to the next.,0.9984363,0.0014350597,0.00012867984
Very standard combination of competencybased and technical questions. Not easy and not too difficult either. General questions on background why interested in the position why the best candidate what would be challenging what I would do in the first month positivenegative traits etc. Other questions focused on the specific tasks in the position and how I would approach them.,0.00072332355,0.9989165,0.00036023956
Basic interview questions about qualifications future career plans skills then specific questions about issues pertaining refugees. Interview was in English and in the country's language. It was also followed by a test regarding the skills in social media.,0.0006118876,0.99904007,0.0003479992
Since I lived in Texas at the time of the interview process we conducted our conversation via Skype. Also since it was just an internship the process was very easy and straightforward. My skills and educational background were the most important aspects of the interview. After landing the internship I was required to undergo a physical and sign a contract for the 3 month duration of the internship.,0.0025248835,0.13245787,0.8650173
I applied for an online job advertisement completed a special form available at UNHCR website and attached a cover letter. I got a phone call about 1 month later than was invited for an interview and test. The interview was about 1 hour long three persons an assistant an HR officer and another lady. Fully english competent based interview just their questions nothing being asked from my CV. It was devastating so to say but I felt it turned out good. They never called me though and two months passed since tried to call them but they mentioned technical problems..... They might call me but you know what this means...,0.00334984,0.99609214,0.00055792584
