Comment,Negative,Neutral,Positive
It is fun and you work with young and motivated people.  You learn leadership and team management.,0.00034809636,0.0005644884,0.99908745
It is about sales so you have to sell something to others besides all of the values goals and mission.,0.061349377,0.93814677,0.00050394057
Engaging community fast learning slope,0.0001495543,0.00048073445,0.9993697
Blurred line between personal and professional engagement,0.012403121,0.98730975,0.00028718007
Unparalleled place for leadership interpersonal and business skills development that also encourages and teaches entrepreneurship taking responsibility and learningbydoing while you can also have a massive impact on society by changing the lives of the young people that participate in the organisation's international exchange program. Companies are constantly recruiting from AIESECers and after experiencing the other side of human resource management you will hardly have any difficulty passing an interview or assesment center.,0.07063943,0.034910258,0.89445037
As AIESEC is an NGO you cannot expect to get money in return for your work and commitment (however some universities reward AIESEC activities with finacial support) so if you don't have a solid financial background you won't last for long. Also the alternative cost of doing AIESEC is huge as you won't be able to work study properly or focus on any other areas of your life.,0.9982482,0.0015431567,0.00020863074
Wide range of experience. You can get leadership positions very quickly. Professional attitude. Real valuable cooperations with companies. Huge professional network. The culture of the organization.,0.00044353097,0.00045232018,0.9991041
"Low effectiveness due to frequent change of leadership body (every year). Lack of HR functions (proper coaching ""career"" consultants) within the organization. Lack of organized informal events. No salary.",0.9991373,0.00070191367,0.00016078781
 you can see how a company works (because it is essentially a company)  really good opportunities at language learning  getting used to communicating in a professional environment,0.00020987519,0.00036560197,0.9994246
 empty phrases that don't mean anything when you hear them for the 1000x time  'all or nothing' mentality  very very hypocritical  all the backstabbing which can be expected in a company (good lesson in the end but WHY)  people in higher positions have huge egos  the teams and the LC is really hitandmiss there is no professional input you either find a good one or not,0.99693835,0.0028072305,0.00025442734
Fast young and dynamic environment where the results of your work can be seen and are at the same time contributing to the development of the community.,0.00018398887,0.00027243345,0.9995436
As the organization is student run and every year the leadership changes  sometimes there are GAPs in knowledge between generations which results in decresed performance.,0.9881378,0.011728949,0.00013327289
 development opportunities  diverse experience  multicultural environment  opportunity for innovation and implementation of ideas  language practice  cultural understanding  unleashing management and leadership skills,0.00018838973,0.00021187251,0.99959975
 no salary  it is a nonprofit organization and the members work here as volunteers so your costs are not covered  there are a lot of things to do so if you want to do it right you need to allocate a lot of time for this,0.9987915,0.0010039215,0.00020459558
Planning and strategic management skills Presentation skills Public Speaking skills Promotion skills  Interview and Selection skills  Communication skills  Leadership skills Contacts ( companies),0.0009719005,0.98264587,0.016382266
Time management  Balance studies work and friends missing some of your courses for conferences HR management during exams  Lake of strict and strategic oriented method,0.99502534,0.0048343795,0.0001403521
Leadership development in every stage. People can apply from the lowest level to the leadership body of the country within 3 years. Young and very international environment.,0.12229864,0.43001804,0.44768333
Members got no salary everyone is a working volunteer.  Only the country leadership board is getting a very low salary. Only people of age 1830 can be part of the organization.,0.9984633,0.0013661091,0.00017068004
 professional and personal development  team work experience  diverse multicultural experience  friendly atmosphere  practicing language usage  meeting new outgoing people  building a network,0.00017246592,0.00019854473,0.999629
 NGO => no salary  required costs for doing your work not completely covered  time consuming,0.9991629,0.00066630996,0.00017081934
