Comment,Negative,Neutral,Positive
General interview regarding yourself and few situation based questions to test your decision making ability and assess your personality accordingly to assign you a department based on your profile strengths and interests.,0.042230375,0.9574078,0.00036180287
The personality test was the first round based on that screening round with the Vice president. The assignment and last round were with the president. Each interview lasted for more than 30min,0.014714022,0.9851076,0.00017840764
It was great mostly they took from your previous experiences and wanted to know how you take initiative in a team setting. Don't talk unless asked a question. Make sure to be honest and expressive you are good to go.,0.0026120048,0.97656053,0.020827493
It was nice i was asked about puzzles and situation based question. I was happy with my interview and was finally selected for the role. in the end it was an amazing experience I worked there. Good work environment,0.0002752465,0.000563554,0.99916124
It was a thrilling experience! They talked about important topics and the entire process made me aware about my own self. The HR was super sweet and made me feel comfortable,0.00033861617,0.0018598315,0.9978015
My experience was great and i learnt a lot from the things  the experience i had. I got to explore my potential and creativity. The Interview process was very nice,0.0011115741,0.033926394,0.96496207
All in all it was a smooth interview process and had quite a good amount of psychology based questions also they judge you a little on your profile. Communication is judged majorly since the role requires that to be of a good notch.,0.0012123403,0.99628437,0.0025032589
Started with GD then 2 interview rounds. The final interview was with the president.  Not everyone is selected in the GD and there are more rounds if they feel you are suited for a certain department,0.3313509,0.6683222,0.00032687944
A simple interview on daytoday event management handling. Scenariobased questions to check your problem solving skills and confidence. They mainly try to gain your perspective on multiple topics to try and understand your personality and whether or not you have the capability to sell a product to an individual.,0.85948366,0.14017437,0.00034191107
It was a good process. They asked a lot of diverse questions and had assessed me on the basis of my technical and behavioural abilities.Overall the experience was a good learning.,0.0029507964,0.4462836,0.55076563
The interview process was based on 3 rounds1. Resume screening 2. Interview  interview for skill testing3. HR Interview  personal interview Post which we received a confirmation about the position.,0.00023654792,0.9990294,0.00073403906
The first stage was a group discussion with questions based on innovative ideas under pressure behaviour and speaking skills  the 2nd a personal interview where knowledge on sustainable development goals is checked along with information about your self and interest in the company,0.0038497245,0.48868394,0.5074663
It was good. They asked basic questions. Be confident honest and chill. Don't stress out. They might ask you to sell something. Strengths and weakness and what motivates you can be asked.,0.0010676659,0.9897002,0.009232202
be authentic they will ask mostly behavioural and situational questions. apart from that they might give a few conflict based questions which you will have to answer. know which department you want to go to too.,0.0004607597,0.99884474,0.0006944129
Online interview Two interviewers and two interviewees Chance by chance questioning One or both people may get selected Total interview time was thirty minutes Interview was followed by a QnA session,0.00022088714,0.9988757,0.0009033879
"Group Discussion on either current affair or abstract topics like ""red vs blue""' Personnel Interview mainly discussing your resume & profile related questions. There will be situations related questions as well.",0.00024075413,0.999027,0.0007322222
Group Discussion Personal Interview . They asked personal questions and then tested communication skills and asked professional questions. It was simple not that hard . I liked the way they asked the questions,0.0009918851,0.9893463,0.009661835
They test communication skills mainly and the passion with which you are willing to work in the organisation people might ask you weird questions but there's no right or wrong,0.9902104,0.009615995,0.00017364167
There were 3 rounds. First round was group discussion. Second round was an activity in which we were required to form teams and pitch for funding for a product of our choosing. Third round was an HR interview.,0.0007510736,0.99882954,0.0004194167
Pretty Good majority of the questions were about the technology that I have worked upon. The interviewer was also very friendly & he explained the problem in very easy words which helped me gain more confidence while answering questions.,0.00042329423,0.002075495,0.9975012
The process was very professional and very efficient  they give feedback when rejected as well. It was ensured that people are able to express themselves and pushes you out of your comfort zone.,0.0049627526,0.012042841,0.98299444
Aiesec in IIT Delhi. Threestage interview process. First is GD. In the second one we are put in a group and asked to find a business idea in 10 mins every participant has become CFO CEO CMO and HR.,0.18088101,0.8186515,0.00046755202
1st round was general aptitude and then the 2nd interview was of speech test and the last was 3rd round the personal interview in which you have to show that how can you convince someone of something.,0.006741684,0.9929842,0.00027410212
There will be 2 tasks given to you before interview .Interview is of 30 minutes and they ask you Basic questions and check whether your values match the company or not. Also They will give you various situations and you will have to answer them.,0.0036843673,0.99610066,0.00021494608
The application form consists of a questions that are about your plan as a TL. The interview has a pretty much the same questions with a couple of technical questions as well. You must be well aware of the product of the department you are applying for.,0.0036325157,0.99614173,0.00022579345
Asked a lot of reallife experiencebased and practical questions. Most of them were about selfreflection and work ethics. The interviewer was warm and forthcoming in nature. The process took about 30 mins in total.,0.0014118726,0.76996887,0.22861929
One round of interviews.  Basic questions to get to know you as a person your skills potential qualities etc. It ended with a small assignment. One suggestion is to be honest and confident. It's one and only way to crack the interview.,0.0015846408,0.99802005,0.00039537594
The process was that we had one round of group discussion and then a round of Personal Interviews.  After the interviews we were called for induction and were oriented into the entire organisation.,0.00057441596,0.99887484,0.0005507112
Asked a couple of common interview questions like tell me Something about yourself sell yourself to me   why shouldn't I hire you or tell some positive traits about you etc etc.,0.0010981382,0.99861264,0.0002891588
It was easy. The interviewee was very friendly. The questions asked were based on what you said. Very warm and welcoming. They even asked me to sing.  We have a sales pitch for any object they show.  It’s an easy interview to get through,0.0028327089,0.09564379,0.90152353
First Round is  Group Discussion then there is a Team Activity if you qualify both then you go through the Personal Interview. The results are announced after weeks it will take an entire day so be prepared. the GD takes 20 minutes then the TA takes 20 minutes and the final PA is for like 10 minutes but there is a lot of waiting time in between .,0.98427397,0.015505801,0.00022028961
 Highly Interactive  No rigid structure  Very friendly  The interview panel were very communicative regarding their wants and wanted to specifically know how my personal goals will align with AIESEC's goals in order to make sure I develop both professionally and personally?,0.0004024165,0.002701845,0.9968957
Easy with a few questions asked. questions asked were about my life  past experience  contribution etc and how i can bring a change to the world but i answred well,0.0004962733,0.99831474,0.001189046
General questions evaluating past work and skills  the spontaneity of the candidate was checked apart from the communication skill and personality of the candidate the interview was very formal and it was expected by the panel that candidate was willing to contribute towards the organization.,0.17333403,0.8262623,0.00040359903
