Comment,Negative,Neutral,Positive
Good company i loved it,0.001525778,0.0030777357,0.99539644
Staff was not that good,0.9979426,0.0019324581,0.00012487602
Overall friendly environment and supportive,0.0002869185,0.00042651573,0.9992866
difficult to reach management also,0.9986286,0.0012624065,0.000109035034
Good place for the Job,0.001273886,0.0019819145,0.99674416
Good place to a work,0.00027367906,0.0002567123,0.9994696
nice work  great  friendly and cooperative,0.00018685554,0.00020709806,0.9996061
bad environment lot of work load,0.999027,0.00080423104,0.00016872934
Good facilities provided by this.,0.00029717217,0.00032762656,0.9993753
Nothing in the cons about it.,0.00054373906,0.9984592,0.0009971341
Good Infrastructure departments and colleagues,0.00028652741,0.00043481338,0.9992787
Management is not very good and friendly mostly money minded,0.9990688,0.00077888725,0.0001522827
Good colleagues nice buildings and infrastructure,0.0002296845,0.00031154027,0.99945873
No incentives no increments poor leave structure.,0.99883157,0.001020832,0.0001476118
not good environment in college,0.9990043,0.0008221166,0.00017366737
Study focused students and teachers,0.0009410542,0.99329245,0.005766514
good and friendly working environment,0.00019142847,0.00019124488,0.99961734
in front of a carbon company,0.99886477,0.00096313184,0.00017210281
They are dedicated towards their work,0.00566575,0.00854655,0.98578775
On lower level they have some issues,0.9821539,0.017630473,0.00021564492
There are no Pros except that they give good food in functions,0.0010403708,0.99228865,0.006670954
everything...especially the management of college,0.0041718534,0.9954932,0.00033497033
1. Good yearly increment as per your performance.,0.0024571184,0.050179202,0.9473637
1. Located near a carbon factory so the atmosphere is toxic. 2. If you are not a buttering candidate you will be fired soon.,0.9989532,0.0008850437,0.00016165849
The only pros is the ac in the class rooms.,0.0004482952,0.99880254,0.00074920466
Placement facility and transparency with student and administration.,0.001775994,0.0012084148,0.9970156
student have a lazy mindset so you can relax,0.2145264,0.7843169,0.0011567179
student dont want to do anything,0.637973,0.36165524,0.00037180405
for far to some time from daily purpose,0.99477226,0.0051252404,0.00010251698
nothing is so special for working at vikrant only timepass,0.0004746286,0.998782,0.0007434881
good best nice comfy overall,0.0028433332,0.7322759,0.26488072
nthn bad should consider first,0.0012855215,0.99771786,0.0009966855
Good company to learn new things,0.00018715064,0.0002995514,0.99951327
There is No canteen No transport,0.849127,0.15038483,0.0004882163
culture is too good to work,0.048022136,0.67959446,0.2723834
no downside i see in here,0.00044430664,0.9984634,0.001092293
Good place to work with good work culture,0.00019421102,0.0001939458,0.9996119
None in particular. Salary should be more.,0.00050409214,0.999223,0.0002729321
Good Projects and good technical exposure,0.0002563638,0.0003841,0.99935955
no work from home and employee friendly leaves,0.41893363,0.3585969,0.2224695
You get to work with all the teams. Hence get to learn.,0.00050791464,0.99653685,0.002955155
You will be responsible for each and everything. Everyone else will throw all the blames on you if anything deviates from normal. If everything goes well then the complete team gets praise from the management.,0.05037072,0.9488272,0.00080204674
I WAS GUD BUT ENVIROMENT WAS NOT GUD,0.0003923336,0.9990835,0.0005242007
iT was gud company .. nut coligue was not gud .. gud for fresher .......,0.0008862351,0.9987295,0.00038418415
PerksNo programming knowledge required for most of the projects,0.0007953637,0.99870634,0.00049828034
