Comment,Negative,Neutral,Positive
online through zoom one on one in semiformal. You will ask about your self and how you deal with the condition and what global issue you updated. How we prioritize our activity and what our weakness and our strength. Oh..ya about what you know about AFL itself,0.00038886338,0.99904305,0.0005681065
The interview started with general questions and continued regarding AIESEC's knowledge. Real study cases have also been given during the interview and expected to analyze and give the best solution.,0.0005159633,0.99868304,0.00080093055
It was fun and reflecting on yourself also it was long and almost 3 hours of interview you need to think a lot about strategy and values. But you will get interviewed by LCP and formers LCVP and that will make it easier since you already know the person.,0.0033752443,0.9608013,0.035823505
Have an administration process such as recommendation latter CV strategy summary Vote of confidence and interview with the head of the team for the interview it would take around 6090 hours of talking deeply about your personal experience persona as an applicant and experience relate with the role you are applying for,0.0036719097,0.9960233,0.0003047395
Basic interview questions Done after you passed the FGD.  It is easy. After that they will give you a 3 to 6 months probation period to know wether you will be a good candidate or not.,0.0008303891,0.99706346,0.0021062286
It has the personal block question testing our knowledge regarding aiesec itself and our general knowledge about the role (maybe you can add some ideas or innovations that you would like to implement),0.005521598,0.99426657,0.00021177562
The interview was quite long and I mainly had to elaborate on various things because it was pretty detailed. I had a great time though having the interview. My interviewer was a very nice person,0.003324124,0.9897113,0.0069644847
AIESEC Interview process very details. It’s took about 1 hour to passed the process but I could help you for the future before apply the professional test. So prepare yourself before take the interview,0.0014247841,0.9979814,0.00059376314
The hiring process started with applying at AIESEC local chapter after got reviews from AIESEC local chapter then we are invited to the system.  In the system there are a lot of job posts with requirements and benefits and we are encouraged to apply independently.    After applying it is started with normal interview process showing our portfolio coding test etc,0.0011748599,0.8809576,0.11786751
1. Face to Face interview with local committee explanation of the program to be conducted Agreement for choosing and paying for a matching project Document screening  2.Skype Interview with foreign team  AIESEC team from destination country will contact you via Skype to ask you some question regarding your readiness in the project  They will help you in getting Visa and other document needed when you get there.  3. Notification via Email  Congrats now you are ready for your exchange experience.,0.00061218295,0.07491722,0.92447054
Filling application booklet filled with personal questions such as hobbies favorite cultures etc. and CV passed. The next step is Interview asking about organization experience and how we handle ourselves in some circumstances and in a teamwork and in organization and things about the latest international issues that interests us and what the solution of the issue could be. And I was nervous,0.025969444,0.9738166,0.00021390329
