Comment,Negative,Neutral,Positive
Nice people and workplace and staff,0.00082442653,0.0007631413,0.9984124
Not great benefits and pto,0.99877936,0.0010873502,0.00013320123
The organization's mission is extending the healing ministry of Christ. There is an overall great sense of belonging in this hospital. Most employees are genuinely caring and compassionate.,0.00019120042,0.0002456292,0.99956316
Struggle with staffing which leads to employee burn out.,0.99914455,0.0007034738,0.00015203594
Good Leadership Role Opportunity for me,0.00017841558,0.00024828286,0.9995733
Quite long working hours needed,0.9981604,0.0017147065,0.00012478813
Great experienceGood opportunities for networking and crosscultural engagementMay help you find the purpose of your lifeGood opportunities for skill improvement,0.00017777599,0.00018116165,0.99964106
Absolutely no worklife balance [this may not be the case in continents other than the Asia Pacific region]No salariesNot really worth it in the long run careerwise [no opportunities once you turn 30 and employees don't really care about your experience in AIESEC unless if you were a global intern],0.99902403,0.00083345815,0.00014257843
Best platform to acquire leadership skills needed for career opportunity,0.0002447893,0.00023926224,0.999516
Kinda overwhelm to maintain large amount of members who doesn't have commitment to do their task,0.99881566,0.001010676,0.0001737033
good environment good people good teamwork,0.0002212152,0.00026545042,0.9995134
no salary bad workplace but overall nothing serious,0.00080330553,0.9988423,0.00035450043
crossglobal experience for the member,0.0003236779,0.99762076,0.0020555432
the works sometimes get too demanding,0.9971138,0.002655583,0.00023059269
Improve yourself by learning and get opportunity,0.0037767775,0.9903707,0.005852523
Hard to say no to challenge,0.0014256594,0.99769884,0.0008754394
enjoyable nice supportive opennes social and fun,0.00015161096,0.00018158041,0.9996668
its pretty enjoyable and fun,0.0019131644,0.18715905,0.8109278
helps you to grow learning by doing friendly environment,0.00018004187,0.00029954585,0.9995204
local comittee is not paid since we are volunteering,0.99908364,0.0007614342,0.0001550025
Work in AIESEC represents how to work in real life,0.0011856237,0.59190804,0.40690634
Work in a different way perspective.,0.00062642957,0.9973008,0.0020727601
1. Great leadership position you can actually learn when you take a higher role 2. Great connection 3. Recognized world organization 4. Brightminded people with wrong purpose. You will understand office politics early before get into your first professional job outside AIESEC. Considered this as your learning 5. Very competitive environment and lots of challenges,0.0005470571,0.0007211574,0.9987318
"1. Timeconsuming 2. Not paid for an abundance of hardwork 3. Cliche jargons. Basically AIESEC is just a moneymachine organizations. You need money to be a member attend local conferences do volunteering 4. Too many office politics to be considered 'achieved"" you need to accomplish all targets but to be considered as ""positionfit"" you need to know who's your support system 5. There is no fixed business conduct related to the membership. You could be cut anytime if you're not your team leader favourite  My advice to everyone who wants to join: there is no wrong to join this organization but always remember your value. You needs to be respected your work needs to be recognized you need to have a support system your works need to be rewarded (for example with certicate or salary). Always her your heart if this organization is not right for you then leave you deserve a better place. If you still a member who is struggling (love the environment but hate the people) thats ok if you think that you still need a learning just go for it but always remember that you need to be awarded in the end by earning a certficate and salary not just a personal development form a cliche jargon",0.99658406,0.003216796,0.00019911549
 Leadership  Empower Youth leaders  Organizational management,0.00033431262,0.00036340716,0.99930227
 Constantly changing Executive Board each year.   Expensive national fee given to AIESEC International,0.99911994,0.00069258304,0.00018741486
to explore and upscale skills open your networking,0.00042392907,0.98851556,0.0110606
only for youth and AIESECer members,0.00030149732,0.9977482,0.0019503296
Rewarded by the most democratic workplace AIESEC maybe a not for profit organization but run like a startup or social enterprise. You will learn a lot develop yourself a lot in only a year due to an intense experience.  You may get high stressed over your job because of the intense experience but you will gain an opportunity to know yourself discover your passion and purpose in your life.  A precious experience indeed to really kickstart your next career and excel yourself.,0.0011279094,0.0022431817,0.99662894
Minimum wage no bonus intense experience you can work 24hr.,0.40362495,0.59513336,0.001241649
very friendly environment everyone is so supportive and there are lots of opportunities to grow and go abroad to meet with hundreds of other members which is very good,0.00015779267,0.00019505931,0.99964714
consist of young millenials who sometimes not professional and making excuses do not really focusing on the result and just wanna have fun.,0.99673504,0.0029985907,0.00026638142
You get the best opportunity to work with people from different cultural background. You get to contribute working directly for the society.  You get the opportunity to work/volunteer abroad.,0.0003467843,0.00063132384,0.9990219
We need some money to actually get those opportunity. You need to pay at least USD200 for every exchange program. You shall bear your own flight costs. In some countries you don’t live for free with host families. You’ll be provided with a flat/house but you need to pay the monthly rent.,0.9904385,0.0092894705,0.0002720576
Trial and error is accepted because it is part of our learning Many field options to learn Supporting culture,0.0036912179,0.850973,0.1453357
A little bit too pushy especially it is only a voluntarily work and sometimes they only count the number achieved but it is okay to develop our personality.,0.0008033052,0.998459,0.0007377422
It has a very supportive environment to learn new skillset,0.0002108727,0.00021768402,0.9995714
Its development progress for each member is pretty hard to be implemented,0.9987986,0.0010783774,0.00012301517
 gain a lot of international exposure   handle a large scope of work   more integrated and project based,0.006199864,0.5745745,0.41922563
 lots of politics   chaotic environment,0.99857855,0.0012774047,0.00014406486
a dynamic condition you will get a lot of space to develop yourself yet developing the program of the org,0.0014072568,0.9796866,0.018906021
the network is quite tough,0.57574016,0.42389563,0.00036425912
Very helpful and gave me many benefits especially a new network,0.00019813169,0.00025252963,0.9995493
Nothing to complain about and very recommended,0.00045824426,0.99911946,0.0004223352
Learnt to evaluate the project,0.003021285,0.9964348,0.00054390804
