Comment,Negative,Neutral,Positive
Possibility to grow continuation internal mobility easy to move between departments,0.00048729562,0.0017548498,0.99775785
not the best paid in the industry,0.99897575,0.0008724632,0.00015185274
Not Many Pros to be shared about working there except some Job growth but it depends on who is your manager,0.00040205,0.9992281,0.00036987785
ACTED barely offers any benefits for employees who are under a national contract.,0.99906117,0.0007895475,0.00014932503
 good learning environment  good team,0.00019645001,0.00020265761,0.99960095
 very bad salaries  limited promotions,0.99917454,0.00066778465,0.000157674
Get additional per diem housing and education allowances,0.36787757,0.5644186,0.06770381
Work/Life balance is tricky to manage,0.9987987,0.0010623034,0.00013891274
Entry to NGO field.  Opportunity to work in diverse countries.,0.00026096165,0.0002884739,0.9994505
below average salary range. Poor inexperienced management. A PD lady promoted to CD!! non technical expat GF of DCD put in charge of WASH project over WASH Engrs. crazy.  Poor experience leads to poor project management waste of donor funding and sometimes poor beneficiary experience. Senior management to keen on taking selfies on project site rather than ensuring camp fit for IDP's.  3 months in operation and no fire prevention measures contributed to death of a 2 year old. Management didn't care or want to know. move along nothing to see.,0.999079,0.0007669813,0.00015399266
Great place to work everyone is very friendly professional and passionate about the NGO cause.,0.00020037816,0.00018726866,0.9996124
There are no team building activities understandable as this is a nonprofit NGO.,0.9957575,0.0041202344,0.00012226179
Good experience for fresh graduates or gaining NGOs experience the salary rate is acceptable and good donors like UNHCR OCHA,0.0005040989,0.0010672781,0.99842864
No system each department is independent they don't care about the work quality nor quantity no respect to working time hours,0.9991128,0.00072148844,0.00016568153
Much more freedom to develop your own projects.Great people to work with.Good reputation in the industry.,0.00021527047,0.00024374595,0.99954104
The salary is below average.Lack of support from Head Office.Workload can be very high sometimes,0.999204,0.0006193205,0.00017678142
Systematic and care about the staff,0.9968772,0.0029447153,0.00017810361
I don't remember any bad point in ACF,0.00038566097,0.9990639,0.0005504946
Offer benefit set for the Local and International staff and strong technical tools,0.00024109162,0.00024126364,0.9995177
you need to work hard and manage a big project with additional tasks,0.0034306075,0.9959099,0.00065952016
Place to grow. Respectful environment. Decent salary,0.00032235187,0.00025091268,0.9994267
working on weekends and holidays,0.94857883,0.051013205,0.00040794187
The campus of AUIB boasts beautiful greenery flowers and trees that provide a peaceful atmosphere away from the hustle and bustle of city life. The university provides free bicycles and buses allowing staff to take full advantage of these tranquil surroundings. Another unique aspect of AUIB is its architectural legacy. The campus includes repurposed palaces from the era of the Ba'ath party which have now been transformed into educational spaces. The exterior architecture of these former political palaces is visually striking. The aim to uplift the educational standard in the country is indeed a laudable mission undertaken by the owning family. The intention to provide an international standard of education in Iraq is an admirable objective which brings hope for the future of the nation's youth. The campus has serene lakes and an abundance of birdlife providing a serene environment conducive to reflection and creativity. The harmony of nature amidst the educational structures makes for a unique blend of tranquillity and scholarly pursuit. The institution's reputation and practices are rooted more locally diverging from those typically associated with American academic institutions.,0.00029641713,0.0012157867,0.99848783
Unfair sudden decrease happened in all salaries. The announcement of a 20% salary reduction due to new taxes was not only poorly timed but also unjust. Unlike many international organisations AUIB passed the tax burden onto its employees directly affecting their income. The lack of prior notice left many employees stranded unable to make timely decisions about their employment status.  At AUIB rumours and gossips often serve as the primary mode of communication rather than direct professional exchanges. It is disheartening to discover changes concerning one's employment status from hearsay rather than an official communication. This lack of transparency is bad planning.,0.9990503,0.0008002664,0.00014939762
Lovely location greenery lakes beautiful scenery,0.00025314378,0.00029942743,0.9994474
Not good staff relationships between academic side and site management,0.9988586,0.0009976475,0.00014381751
AUIB's vision is to transform education in Iraq This needs a dedicated and experienced team. The Founder and President are always supportive to any project that will realize the vision. What makes AUIB a wonderful place to work at is the that 99% of faculty and staff are committed to AUIB's vision they are team players and work with dedication. The students are the bright young minds of Iraq. Many times I hear  our students are fantastic from faculty and ELA instructors. As employee: no stone is left untouched to make life easy and enjoyable. The safety of expats are given priority always in armored vehicles and with wonderful security team. Traveling out of the country the security team take care of you until you are booked in. Everyone get VIP treatment. Health insurance: fully staffed clinic on campus insurance for outside and inside Iraq in times when emergencies happened the bill was paid by the Founding Family. Every employee is treated as a family member. Housing: top of the range modern housing. All utilities are paid for by AUIB. Maintenance issues are taken care of within hours of reporting. Furnishings and finishings are high end no costs were spared. Gym: excellent fully equipped gym with table tennis darts billiard tables etc. Airconned free water supply free membership. Food court: variety of food outlets traditional Iraq food fast foods. Grocery store: stocks everything you need from international and national brands. Fresh vegetables and good cuts of meat. Health foods organic vegan supplies as well. If you need anything the staff will gladly order and deliver to you. AUIB club: luxurious setting with swimming pool excellent food you get discounts of up to 45% theme nights quiz nights. This is where everyone meets after a long day. Management: as a start up changing educational landscape merging American Style educational style with Iraqi education is not easy. There are many challenges from legislative to logistics merging enrollment methods aligning curriculums hiring according to prescribed registration rules in Iraq etc. The management team has to be light on their feet to address external as well as internal issues. The team therefor has to be well educated global experience team players and team builders. Not everyone that was hired could adapt to these challenges. Add covid and world recession and only the best will survive. The President is the Founding President the Founder and his family is the sole supporter of the project  they have what it takes not only to make it work but to make it success. The business structure: policies and SOPs are in place the Iraqi labour is followed to the T. Several approval steps have all checks and balances in place. Personal development is encouraged many events are held on campus for participation. Further studies are encouraged supported and approved. The success of AUIB is possible because the Founder and President has a balanced working relationship they compliment each other professionally. To have a good sense of humor is very important. The President keeps the team in a light heart the is excellent for creating a good work environment. You always leave a meeting at the President's office with a smile on your face.,0.3298889,0.42429742,0.2458137
There are always a small group of people that could not make it at AUIB. These are the ones that did not have what it takes to operate in a fast changing high pressured environment. Your work place is your choice: not a good fit find a good fit.,0.9988563,0.0009928389,0.00015091241
Great People Beautiful campus! Great experience!,0.00019939458,0.00019469169,0.99960595
As a new institution there are still times of confusion and duplicaiton,0.99713314,0.0027492237,0.000117710246
Exceptional environment AUIB will get Iraq back to its golden age. Very promising for the Iraqi students who will definitely be the greatest leaders in the future.,0.00027858146,0.0009370553,0.99878436
Everything is great so far,0.0007991632,0.9983621,0.0008386763
New and challenging environment. The chance to really make a difference.,0.04740136,0.77868855,0.17391013
Any new university will have growing pains at times.,0.99591076,0.0039767874,0.00011246308
Due to my current work in the American University of Iraq Baghdad I have seen that it is one of the best innovative university in iraq which is focusing about Extracurricular activities. Research facilities. Financial aid. Campus size. Campus location.,0.00018575625,0.000331327,0.99948287
I donot see any negative sign.,0.00039611463,0.9990363,0.00056755624
Beautiful campus great security who were polite and friendly as well as the  head of security very nice garden and construction workers very skilled colleagues who were quite helpful a couple of great IT staff that were helpful and of course the students!!,0.00023436398,0.0002187748,0.9995468
"Rude colleagues disorganized upper management that confused you rude President no medical facilities disaffected sponsor who seems to be out of touch as after a colleague supposedly died on campus suggested they take staff to a museum to get their mind off of ""negative"" thoughts. It was an incredulous and unbelievable atmosphere. I would not advise anyone who wants to keep some morals and positivity in their life to go to work there. I am glad for the experience as it was nice to see Iraq and meet a few people at the shopping mall but the University does not seem safe in many ways. Enter at your own risk!",0.98933864,0.0100984005,0.00056305766
 Friendly Environment Supports Iraq's young students 100% one of the best Universities in the middle east,0.00020415196,0.00022111382,0.9995747
Nothing bad to say! really good place,0.0016815315,0.98133355,0.016984966
A new university with outstanding facilities. Very attractive campus. Helpful people. Good academic programs.,0.00018889047,0.00019001393,0.99962103
I really can't think of any!,0.0003962302,0.9992607,0.00034305785
This reported income is free of Income taxes so it has the buying power of over 100K. A fabulous new apartment is included with all utilities that would be likely be $2500 a month if one rented it in the New York area. Contrary to popular opinion it is very safe here Security is like having the secret service protect you. (and a thousand soldiers),0.0062068566,0.04931573,0.94447744
The medical benefits are next to nothing here. They currently have a middleeastern insurance company that pays for nothing stateside.,0.99875784,0.001098345,0.00014384017
Pay when they managed to pay it on time,0.08160365,0.90307194,0.015324422
Quite literally everything else. That place is a dumpster fire who treats their employees awfully! The great salary wasn't worth it.,0.9987674,0.0010778758,0.00015476707
IntelligentHard worker Team spriteWorking under pressure Problem Solving English proficiencyMS proficiency,0.00044907728,0.9969921,0.0025588092
Helping others often makes it a burden,0.9983333,0.0015091072,0.00015764419
A professional environment collaborative staff and faculty. A management that goes out of its way to make sure employees are taken care of. Very engaging community,0.00030774408,0.00024541467,0.9994468
Personally there is nothing that is not good.,0.0006039202,0.99883515,0.0005609359
Great environment an amazing addition to your resume,0.00020390344,0.0001928747,0.9996032
brand new University it will be tierone University in Iraq and Middle east,0.00030203833,0.9984876,0.0012102798
Strong vision for the future clear mission goals dedicated team of Iraqis and Expats strong commitment from the sponsors and an amazing campus.,0.00024648494,0.00024858522,0.9995049
While the campus is still under construction it gets better every week! COVID is making planning difficult but that is true everywhere. Summers are very hot but you now that before coming here right?,0.033389673,0.963039,0.0035713224
It was a wonderful organization and it was great honor for me to working with them and gained many experiences with them,0.00024126207,0.00023143715,0.99952734
There was a lot of risk because of terrorist acts,0.9985266,0.0013516977,0.00012162692
Many great colleagues wishing to make a difference. If company values are actually guiding HQ leadership it could be a nice place to work.,0.0057301465,0.9651635,0.029106269
