Comment,Negative,Neutral,Positive
The interview process was lengthy spread across several days. They conducted the interviews online which required applicants to record a video answering 10 questions make a powerpoint presentation and several oneonone question and answer.,0.99890864,0.0009456637,0.00014572256
Tricky but friendly good easy system from start to finish I understood all the steps. I didn't get the job but I would apply again I think I can do better the next time. The offices are nice and I did find the process good. Bad coffee but not sure I'd that matters! The hiring and interview process was overall OK and I couldn't really complain about it except of course i didnt get the job I wanted,0.0017401298,0.9936824,0.004577449
CV sent online then receive an email requesting a interview. First a video interview with machine with around 5 questions. Then a task to be completed prior a panel interview with managers. It's all managed in a website system.,0.0010392349,0.99726176,0.0016989744
Applied online through their website. Application included full cv and cover letter. Received a call from HR approx one week later. First round interview was panel based on competency based questions and looking at previous experience combination.,0.00032389702,0.9986285,0.001047616
Customer service working with a team. How to deal with upset customers and how would you deal with people on a team and how to keep pushing forward as a team,0.81896406,0.18070126,0.00033463907
First an online video interview with more technical questions followed by a skype interview with questions on management and code of conduct as well as some technical. The questions were asked by an HR person and a desk officer,0.0038747347,0.9958468,0.00027850026
Interview by way of computer programme. Not a skype phone call as I initially thought. Instead I was asked to record short 3 min answers. Unusual but not awful. A bit nerve wracking.,0.013011638,0.9867258,0.00026256737
I applied online and then received and email saying I was to complete an online interview with Sonru. It was my first time using Sonru and it was quite hard I wasn't fully prepared for the more 'technical' questions. Then I had a facetoface interview with two members of staff which went well also.,0.022444665,0.97657436,0.0009809094
Two panel interview was quite informal and just seeing why I was interested in the organisation and what I felt I could bring to the role. Quite quick turn around and I received offer after confirmation of references.,0.0004285122,0.9988881,0.0006833735
I applied in December and was called to interview within two days. The day following the interview I was called with an offer. The contract took another couple of days to draw up and I started in January. The process was very easy and the hiring manager stayed in contact throughout.,0.005667721,0.28497607,0.7093562
The interview was mostly competency based nothing too difficult once a variety of examples are prepared. It was conversational with a very warm and friendly panel. Process was quite formal overall but declined due to remote working policy.,0.00062642054,0.9957444,0.0036291406
Although it look a while to hear back one I submitted my resume I was informed that I had been shortlisted. The interview consisted of one panel interview with 4 interviewers,0.0004893569,0.9991454,0.00036513264
Very enjoyable process nice welcome from interviewers. Informative about the company and the role. Would apply again if a role came available in future. Seemed like a nice place to work,0.00019936923,0.00039323312,0.9994074
Very thorough but warm and professional experience. Interviewers were well briefed thorough and engaging. There were three stages of the interview an initial screening a first interview and then a final interview with a presentation,0.000700934,0.021278756,0.97802025
Quick yet thorough smooth comfortable. Interviewers were friendly and clearly wanted applicants to feel comfortable. Some questions needed some extra thinking but all questions were fair. I think that they approach the interview process well and would love to interview again for the position in the future.,0.004780226,0.3653205,0.62989926
I was interviewed by two project leaders. The interview lasted approximately thirty minutes. General interview questions were asked (e.g. tell me about yourself why are you interested in the project).,0.0005957025,0.9990722,0.00033202732
2 very basic interviews. No presentation required. Questions based simply on the CV and Job Spec. Both interview rounds were almost identical second round was just slightly longer. Pretty easy process.,0.0009938058,0.9973003,0.0017059126
The interview is very chill and nice questions from the recruiter.  The interview took place online.The interview is based on the role of the student t ambassador and I was ask on how would I cope with certain situation,0.00075187784,0.9886902,0.0105579635
The application form is outdated and in MS Word format. Waited a long time to get any confirmation and then very short notice about the interview date. The external person on the panel was not an academic and couldn't ask reasonable questions about research. Two members of the panel didn't bother turning to the research and teaching presentation.,0.99907625,0.00076622533,0.0001574064
Panel were unfriendly and made no attempt to put me at ease. I felt rushed through my presentation and  the questions.  Kept waiting for weeks for answer then ignored my requests for feedback.,0.99899656,0.00083490496,0.00016855854
The Interviewers were very nice and created an open atmosphere which allowed me to feel comfortable when answering the questions asked.  I was asked rolespecific questions and they were curious about my previous experience in an academic setting.,0.0003070794,0.0033601753,0.99633276
Only one round interviewed by instructors you will be working with.  Your interviwers are kind the totally process wasn't stressful. You will be go through with your cv and also express your personal interest in acadmia and be friendly.,0.0025186567,0.90320826,0.09427312
The interview itself was fine and professionally conducted.  However the overall process was very poor and they did not keep to their own timelines around communications at any point in the process.  There was a 2 month gap between the job application deadline and a phone call from HR to inform me I was shortlisted for an interview.   At the end of the interview I was told by the HR panelist that they would make a decision within two weeks and asked me twice to confirm my referees' availability. I was told they wanted someone to start straight away which I could.  But they never reached out to my referees nor did they have the courtesy to let me know if they made a decision or not.   It has been two months since my interview for this senior level role within the university network so this lack of communication is a serious flag.  It is quite disappointing as the project was very interesting and I supported it's social objective.   I'd suggest Glassdoor widens their options for the 'Did you get an offer' question. Not getting an offer could mean  you were formally rejected or just got ghosted and never heard back. I think this is an important metric for candidates.,0.99333465,0.0061748466,0.00049047335
Standard application form with supporting documentation shortlisting process  interview panel 5 members one extern. Interview duration 45 minutes.  Powerpoint presentation required topic given a week in advance. Medical examination. Took a month to revert with offer. Did not give candidate much time to think about the offer before it expired.,0.99826175,0.0015919524,0.00014620303
Applied for the job via email. Got a call the next day about the interview. The interview took place the following day.  Got the offer the day after the interview. The interview was short and the supervisor was very friendly and helped me with questions that I stumbled on.,0.0015050762,0.97091764,0.027577288
first interview was a one on two situation which was rather casual and relaxed. the second stage was a presentation followed by question session. Overall experience was friendly and positive,0.0007910201,0.98585784,0.013351083
A standard interview format two people conducted the interview they were very fair in there questioning and engaged with my answers throughout the interview.  They were fair  and professional in the manner they conducted the interview in.,0.0029934708,0.79304755,0.203959
The process consisted of one interview and one interviewer. It was a very professional interview however the atmosphere was relaxed. Questions were mainly experience based. It lasted for approximately 30 minutes. Interview was conducted in a meeting room.,0.00052875123,0.98728883,0.01218241
I applied after hearing of the position through my personal network. I had an interview with a PI and a few other team members. Fairly informal high level questions nothing very technical. The interview lasted 1.5 hours and I was offered the job the next day.,0.00038517066,0.9984534,0.0011614398
Panel of six one external asked scholarly (but not well informed) questions the other seemed to think she was the 'bad cop' in a 'good cop bad cop' scenario. Actually she didn't know really what she was talking about but that didn't stop her being unpleasant in a manic fashion. Otherwise questions seemed a bit oblique and I'm not sure they didn't have a candidate already in mind. Bit surprised I was asked to go at all given this institution (the 'entrepreneurial' university of Ireland) had employed my business partner on a temporary contract and had made some arrangement with him to become independent of the partnership and carry out the business wit them in their facility. All bad form isn't it?,0.2912543,0.7081539,0.0005917758
I had my interview online via a Skype call. It went very smooth I wasn't asked any hard questions and was offered a job at the end of the call.,0.0026591257,0.9788188,0.01852213
Attended an interview @DCU. Interview process was fine. Panel of 4 academics and 1 HR person. Questions were all to the point and none that were difficult to answer. The interview lasted about 45 minutes if not a bit shorter. The panel were all friendly and interested in what I was saying. There were no really hard questions or very technical questions.,0.00087051006,0.9941884,0.00494109
Casual 2 on 1 interview assessing my enthusiasm for the job and a review of my academic results. I was asked simple broad questions about the field and whether or not I had enjoyed the experimental section of the related module during my college semester.,0.0052704886,0.994504,0.00022565754
I was interviewed by an panel of 4 people; comprised of a HR person the PI the senior scientist and an external scientist with expertise in the area of the project as the group were branching out in to new territory with this project.  The PI arrived about 15 minutes late but was apologetic. The interview was approximately 45 minutes long and took place in the HR department.,0.98987633,0.009905171,0.00021848368
Just conversational about studies and previous jobs. It consisted in a chat over a cup of coffee first and then a full day visit to meet with some members of the lab.,0.00025070045,0.998133,0.0016163046
A panel of three people interviewed me they each asked a selection of questions. National Director Counselling service Personnel person and independent person They marked each answer out of 10 and I was informed that a panel would be chosen based on the scores I received at the interview,0.00029848874,0.99919635,0.00050513516
Interview was setup with a waiting area and the interview was punctual on the day. Technical knowledge and competency questions were assessed. Excellent structured interview. Was timed to be concise & had time to answer the questions well.,0.0012557862,0.0019414376,0.9968028
45 minute call with line manager and HR. Competency’ based questions. Scenarios provided to show how you would prioritise ill patients It was over the phone in covid times. They ask you preference for area of work whether its medical or sugrical,0.9614229,0.03835702,0.00022004185
The interview process is comprehensive. Experience and qualifications of candidates does not matter. The interview procedure has something wrong in selecting individuals. Sometimes  people feel candidates are preselected already.  Some questions are given to the staff and some others do not even know what would be ask. Managers give answers to candidates so there is a huge room for biases.  Candidates need to answer specific examples not just concepts.,0.9981772,0.0016632983,0.00015960318
Made feel very comfortable. Interviewers very friendly and reassuring explained the job description in detail and asked how I would fit each aspect asked about working under pressure. I applied online and was called for interview a week later,0.0015028391,0.04400111,0.9544961
Interview process was pretty straightforward..submitted cv had formal interview with HR and other managers..very friendly and made the whole process less daunting. Overall I felt very comfortable and quite supported.,0.0040926817,0.77063566,0.22527163
Applied online got interview invitation after around 3 weeks. The interview panel of 4 people all very nice and wanted you to do good interview results only after 34 weeks after the interview.,0.0047336803,0.614765,0.38050133
Hiring is long  no funding towards the end of the year. Very few external advertisements. Most positions are usually lined up prior to interview. It's very much who you know not what you know here. Many people are related to one another etc,0.99820375,0.0016865447,0.00010969272
Interview went quite well. I was asked about my current job and describe what is it that i do. I was also asked how can i implement my current knowledge and skill to a new job. Last but not least i was asked certain skills i have learned during my college years.,0.00039355634,0.99829906,0.0013074474
I was interviewed by 3 People I found it intense A lot of Q's were asked quite quickly I was very nervous There were 4 others waiting with me to be interviewed A very brief introduction was made by the panel and I felt very unsettled and found it hard to concentrate,0.99405646,0.0058264444,0.00011709116
I applied for the job through the royal College of Physicians of Irelands website. I was given an interview time and date within a few weeks of applying. I was interviewed in Beaumont hospital along with other candidates. I was contacted by email with the outcome within a few weeks of applying.,0.0003201614,0.9988446,0.0008352168
The interview overall was easygoing and welcoming. There were three interviewers. One being the PI and the other asking more specific questions about the role. It lasted around 40 minutes.,0.00100356,0.96311265,0.035883836
Teaching demo in 10 minutes; Behaviour questions and questions related to a teaching demo............Grades are scored based on the criterion: Relevant Teaching and Assessment;	Administration/ Organisational Skills;	Teamwork and Communication Skills;	Fit with Cert TtT and MSC profile and requirements.,0.00034488918,0.9989561,0.0006990827
Online interview  questions about cv experience education skills train to work there and salary expectations.  They did not seen to be keen to pursue my application further and i felt there was no genuine interest,0.99888533,0.0009695174,0.00014518731
Very lengthy and unclear.  The atmosphere was rushed and felt like the panel is not interested. Was asked to prepare a presentation but it was unclear what the panel was looking for in the presentation.,0.99856323,0.0013135633,0.00012320146
I applied in late September and didn't get contacted until midNovember. HR communicated mainly in emails. I got interviewed online 2 weeks after the invitation.  It was pretty annoying the mails from Maynooth people go to spam all the time. If you apply for a job there remember to check your spam.  4 people on the interview panel for an executive job 3 people asked more than 10 questions within 30 minutes in total it was indeed a bit tense. The candidate really had to be prepared.,0.99796176,0.0019079082,0.00013035825
We did it in a group interview format where we worked through team exercises together as well as telling them about our previous experiences that we feel could help us with this job,0.002803037,0.6878545,0.30934244
