Comment,Negative,Neutral,Positive
Meaningful cause. Small team. Flexible hours.,0.0002911953,0.00029956162,0.9994092
The fundraising team works under a lot of pressure,0.99908876,0.0007491422,0.00016215263
Feminist agenda is front and centre,0.99402773,0.0058055506,0.00016677912
Very fundraising focused office  less emphasis on the team on programming,0.9987484,0.0011006016,0.0001510195
 Learn while you teach Get to communicate with people  Practice It skills while you teach them.,0.0012056985,0.98001194,0.01878244
It is a voluntary role and you need to show up only once a week,0.005981652,0.99328035,0.00073802564
Customers are amazing to deal with,0.03729915,0.11980483,0.8428961
Too many donations that are hard to sell and have no where to go,0.9991591,0.00069288246,0.00014800915
Good people and interesting work that allows you to mix with a wide variety of people and tasks. Great experience dealing with elderly people wanting to learn new skills,0.00016922501,0.00026079427,0.99956995
Can be quiet at times due and dealing with the public can be difficult as they can find subject matter difficult.,0.99783105,0.002042634,0.00012632292
Great Place to work and learn new skills,0.00021984935,0.00019653977,0.99958366
Slim chance of a full time job so has a high turnover of staff,0.99917537,0.00066484534,0.0001596734
it can provide me more opportunities,0.0012119289,0.997509,0.0012790294
the colleagues are friendly and helpful,0.00016574711,0.00047177152,0.9993625
Progressive new caring. easy to learn,0.00034887675,0.0013759206,0.99827516
no progression no communication looking out for themselves,0.97489184,0.024929184,0.00017903013
I can’t say much because I’m just about to start anyway I think is the activism and the belief in a better world.,0.0005137029,0.9972819,0.00220434
I’m going to work on street so is going to be cold.,0.04226772,0.9549328,0.0027994597
The fundraising team is energetic and great craic,0.00020326846,0.0004543353,0.9993424
The job is not an easy one and people often give out to you in the streets,0.99914134,0.0006946479,0.00016405748
Beautiful people nice environment city center based offices,0.00022570878,0.00021289673,0.99956137
Two many hours standing in extreme weather conditions low pay rate pressure,0.99917185,0.0006731086,0.00015510862
Great People Relaxed Environment Reliable teams that you can really count on,0.00019972445,0.00018729056,0.999613
Can be stressful to meet targets,0.9990102,0.0008360171,0.00015372588
Good pay friendly work environment and very flexible,0.00025661348,0.00021150001,0.99953187
performancebased work is always a bit demanding,0.9988285,0.0010094305,0.00016203574
Good pay and the coworkers are fun,0.0006668951,0.0007074365,0.99862564
You have to deal with annoying people,0.99905723,0.0007474668,0.00019531844
Doing good in the world,0.00408329,0.6843183,0.3115984
Nothing to add in this section,0.00030076076,0.99878985,0.0009094327
Team (depending on who's part of it at the time) Culture (depending on who's part of it at the time) Occasional good feeling from meeting nice people,0.00011722928,0.0004333996,0.9994493
Targets unrealistic and uncompromising The job is so hard and takes a lot out of you,0.99914384,0.00068037567,0.00017578632
Great work life balance training process good pay.,0.0021373993,0.0015021203,0.9963605
Stressful to meet targets on some days.,0.99895585,0.0008949331,0.00014915489
Learn great communication public speaking confidence Sales,0.0004258451,0.0012791109,0.998295
I didn't have any issues while working there,0.0012910026,0.99770904,0.000999916
Not too bad at all,0.00067203265,0.99783546,0.0014924528
Not great either to be honest,0.11258363,0.8870685,0.00034782602
Incredibly nice staff and a great workplace environment.,0.00023217709,0.00021080312,0.99955696
Motivation as a fundraiser can be tough dealing with passerbys,0.9945089,0.005319812,0.00017133988
It's one of the activities I've loved the most in my life. Knowing that you're part of something great that's actually working for global change is so satisfactory. There I met some of the most talented passionate and admirable people I've met in my entire life and I'll always be thankful and proud for that experience,0.00038239302,0.00072522624,0.99889237
... well I don't think that there is a job wit a zero pressure level but people with conscious pressure sensibility should think about this twice or three times,0.0007382358,0.9989184,0.00034345136
An initially supportive work environment.,0.00044625212,0.00055085286,0.9990029
It is a very stressful goaldriven environment where every sale is a cold start.,0.9989237,0.00092820765,0.00014801479
I love everyone I worked with. Good community structure. They really care about the wellbeing of their employees.,0.0005212441,0.0004304722,0.9990483
The work can be difficult.,0.9990652,0.00078437745,0.00015038403
Very committed group of people work here.  It's a fun atmosphere.,0.00022142539,0.00049024046,0.9992884
Very undemocratic organization. Bullying at senior level.,0.9991359,0.0007082724,0.00015576014
Developed great communication skills. Very friendly group.,0.00016617344,0.00018474979,0.99964905
Can be difficult for introverted individuals,0.998681,0.0011878707,0.00013107935
Great friendly atmosphere encouragement and support from manager. Flexible work hours.,0.00023112145,0.000184611,0.99958426
Social care is a challenging sector with regulators etc,0.9984958,0.0013852135,0.00011888613
Service users are nice sometimes and you can have good days out,0.0012377867,0.9927626,0.0059995875
Company doesn't care at all about staff. No appreciation of any kind. You will be verbally and sometimes physically abused by service users and the company basically doesn't care. Not great pay either very poor AL and lots of unsociable hours.,0.9991591,0.0006732643,0.00016761865
A good manager but very poor senior management,0.94175637,0.057415504,0.0008281565
Company don't care about staff at all. Morale extremely low.,0.9991553,0.00069181906,0.0001528883
Love working with the SU's,0.0006049631,0.0015047372,0.9978903
The salary and not being able to work from home,0.9990062,0.0008390313,0.00015482784
Good staff team amazing service users can be a very rewarding role,0.0003434615,0.0002464752,0.99941003
High staff turnover job stress low wage incorrect job title too many responsibilities,0.9991715,0.00065740483,0.00017115234
Flexibility and a lot of learning oportunities,0.00046383796,0.0012593431,0.9982768
A lot of formalities that take tong time and short staffed in occasions makes it stresfull,0.9989612,0.0008676373,0.00017107601
Staff turn over has always been high but over last year it's crazy I like working with the clients pity management dont care.,0.73626953,0.2624654,0.0012651115
I would not recommend this company to anyone be it working and certainly would never let them near any of my children due to management incompetence and laziness.,0.99909556,0.0007583105,0.00014608505
Good Service Service Users well cared for and supported. New pay Increments yearly good supervision and support. Good place to learn good practice. One to one client working ratio.,0.00029031603,0.00021363223,0.999496
Few opportunities to progress unless you are willing to agree with everything management say. Want “Yes” people in management always. CEO likes to micromanage everything and is quite power hungry. Organisation can be petty about spending on certain things which leads to issues. Short sighted and it ends up costing them more in the long run.,0.9988165,0.0010505659,0.00013300373
Great hours build good relationships develop good experience,0.00039664374,0.00040472558,0.9991986
Late to bring in pay scale training in head office staff turnover,0.99904543,0.0007844981,0.00017011732
Flexibility Team spirit Promotion opportunities. Variety of your daily work.,0.00019641945,0.00027343084,0.9995302
Wage scale is not the current HSE scale. Dealing with HR Paternity leave questionable Sick pay,0.99908626,0.0007596694,0.00015408765
Great company to start career with,0.00040115538,0.00038483005,0.99921393
Hours might not suit everyone,0.92418236,0.07558554,0.00023218413
Very friendly culture and work freindly,0.00019885848,0.0002342538,0.99956685
I think its great place to work.,0.00047139253,0.0009512638,0.99857736
Consistent hours Paid Holidays and benefits okay,0.17283632,0.6551175,0.17204612
High turnover and Difficult customers,0.9989919,0.00086077047,0.00014734418
Great work life balance and benefits offered.,0.00044981873,0.00035463425,0.9991955
Not the highest wages offered.,0.99852777,0.0013101686,0.0001619522
It was a very good experience,0.00036594327,0.0022337881,0.9974003
No cons at all very good,0.00043753572,0.9988171,0.0007453579
Lovely staff work professionally hardly,0.087183245,0.8512086,0.06160824
not paid enough less appreciation,0.99889165,0.0009556068,0.0001527193
Emphasis on work life balance,0.0004980297,0.9989209,0.0005811055
Can be difficult cases to manage,0.99900156,0.0008444608,0.00015404107
I liked the ethos there,0.0004650332,0.99774146,0.0017934835
Difficult to introduce new ways of doing things,0.99506253,0.004800246,0.00013724831
friendly environment great worklife balance various trainings provided supportive management good pay,0.0003702733,0.0002572353,0.99937254
I can not remember of any cons.,0.00031023799,0.9992754,0.0004144781
Great culture good hourly rate,0.000507084,0.00041117764,0.99908173
Lack of career progression and increase in cutbacks,0.99916756,0.0006835904,0.00014889312
Challenging job for 11 years different every day and great work colleagues.,0.0011699494,0.007228859,0.99160117
I suffered medical issues as well as personal issues for 14 months. They were not understanding and tormented me resulting in my issues becoming worse so they punished me even more despite this I went to get treatment and after I completed that and was ready to return to my loved job I was fired. Lack of compassion even when i was totally honest with them all along,0.9984895,0.0013724865,0.00013792075
Nice Good company Health benefits  Perfect area,0.00018824564,0.00021718392,0.9995946
No benefit No bonus Bad response  Bad knowledge,0.9989004,0.00096393406,0.00013566182
Good work ethics and amazing staff,0.0003522811,0.0003062277,0.9993414
Parking not free and expensive canteen,0.9991893,0.0006286579,0.00018200812
They really do look after their staff,0.9960312,0.0036495621,0.000319175
Big company don’t know everyone,0.98630315,0.013198999,0.00049781916
Good atomo sphere to work here,0.0055784625,0.115737565,0.878684
Staff shortage is difficult situation here,0.9989693,0.00089169794,0.00013893924
Subsidized health insurance with a private insurance group scheme Christmas bonus shopping card Social events for staff and family Friendly co workers,0.00021588053,0.00021706033,0.9995671
Horrible Managers especially those who work in Operating Theatre where the turnover of staff is very quick and high because they cannot stand the management (that is the sole reason). Working environment in the preoperative intraoperative and postoperative not safe for the patients and even for the staff as the mAnagement will do everything in their power to finish hundred surgical cases in thirteen hours. Theatre Manager treats her staff like machines. Worst of all the manager in the hospital.,0.9991394,0.00069929735,0.00016126297
They are always looking for staff high staff turnover,0.99882394,0.0010469455,0.00012911536
Money driven no human touch unpaid sickleave in the first year regardless of your situation. No Labour union allowed hence no Labour consultation. People easily fired.,0.99911875,0.0007194875,0.00016176903
Salary Benefits Some great people,0.00025852813,0.00028244333,0.9994591
Management Hr No response to official complaints,0.08790802,0.9118351,0.00025694445
Opportunity to move around Departments,0.00025000473,0.001124906,0.99862516
Not a lot of parking for staff,0.9985935,0.0012207627,0.00018567556
Great colleagues pension scheme health insurance,0.00044143447,0.00037157835,0.99918693
Toxic work environment created by the lab manager. Ask around before taking a job in the Beacon lab. Do your research.,0.9987374,0.0011196367,0.00014302241
Great team and support system in place,0.00040152203,0.00029768865,0.9993007
It's a busy growing hospital,0.0008546231,0.99816656,0.0009788104
Pay is very good. Staff is quite nice.,0.014789428,0.46918574,0.5160248
Management is really bad no support at all,0.999148,0.000704943,0.00014703382
excellent staffs friendly and helpful,0.00020196525,0.00018619314,0.9996119
longday pay is low and parttime works no benefits,0.9992175,0.0006004259,0.00018206587
Good place to work at,0.0002709505,0.0002304935,0.9994985
None that I can think of,0.00026717153,0.99922824,0.0005046154
