Comment,Negative,Neutral,Positive
they wanted to know whats my grade and personal interview with a proffesor from the faculty it was a good experience. i recommnd anyone who want to continue to maters to do it,0.0033637483,0.4295088,0.56712747
In person interview was conducted. The presentation of previous work was done. Then writing the statement of purpose about the project. The understanding about the research project is usually asked. and if you are interested in the research project is also enquired.,0.00032692813,0.99915445,0.0005185861
I met HR and the principal investigator of the lab. I was interviewed for a position to manage their zebra fish colony. Unlike every other bio job I interviewed for there was no discussion of the science in the lab which was a red flag.,0.98360485,0.016174974,0.00022021713
A first interview with the hiring manager and maybe someone else from the department. A second interview is with a committee that includes university HR a union rep a department rep. May also be up against people applying internally.,0.6774194,0.32233766,0.00024292749
Met with lab responsable.Non technical questions only grades required. Explained thé project goals and expectations. Very kind person. Job was in a lab search with no other computer peopke so interviewer made sûre i will be capable to Copé with any kind of issues,0.0019620445,0.96053505,0.037502896
personal questions statistical questions  interview face to face. probability questions. one step. only questions. programming questions personal questions statistical questions  interview face to face. probability questions. one step. only questions. programming questions.,0.00029633308,0.99854076,0.0011629753
The job was posted on a website that was easy to use and understand.  The entire process was positive.  The interview was professional and courteous. Best of luck to everyone,0.00034381024,0.00076249114,0.9988937
1. Sending CV to the relevant department 2. Interview with the relevant professor in whose course you want to practice 3. submitting score sheet & examination 4. HR interview and offer  The process was agile and easy most of it depending on future availability and the score sheet,0.0018665508,0.10165657,0.8964768
2 parts. You have a 1:1 interview with the head of social life department and then a group interview. The 1:1 interview is to see how well you can get along and gel with those in the department as well as to see your experience. The second interview has you running a program for others in the group interview more.,0.00033133378,0.9989183,0.000750448
Skype interview discussion on my PhD project. Discussion on the project I might carry in hebrew University of Jerusalem . Discussion about my date of join how long will I continue about family status future plans.,0.00026707602,0.9987196,0.0010133896
Was asked about future plans in academia willingness to engage with graduate students check papers availability to meet in person with studentsetc. In addition if I would be willing to give a few classes and offer my own subjects to the syllabus,0.00039773955,0.9991171,0.00048528478
One on one interview usual questions about past experience weaknesses and strengths questions about how i would face different kind of situations. Also questions about my English abilities and experience with people abroad.,0.000589837,0.9990885,0.00032173772
I went to my advisor office he asked me about my grades and how will i be helpful to the lab. afterwards I send my advisor a mail asking when can i start. the process of filling out the forms takes about an hour and you need to take a laser safety test plus a lab working test the tests are online.,0.99744546,0.0023993498,0.00015515281
You just need to be graduated student. Every stdent is getting hired even talented 3rd year undergraduated students. The secretary called me and ask if I want to be a grader and descibe to me the job.,0.0019538347,0.9976291,0.00041706776
I encountered an ad posted on one of the university walls looking for a research assistant. I emailed the professor my CV and was scheduled an interview. The interview was short and businesslike  the professor was just looking for a parttime assistant with certain skills which i had. I started working about a week after the interview.,0.001475594,0.99830234,0.00022210744
went in to ask if they need new people and was told to send my CV via email. did that and after a week or so got a telephone call asking mw to come in for an interview. was asked general questions what i study if i have another job and was explaind about the job and the hours. very nice interview made me feel welcomed.,0.00056469074,0.008104995,0.99133027
First you have to find a lab to do your thesis in. from there its different for each lab. After the PI interviews you there is a committee to assess that you are capable to do a PhD and that the project makes sense.,0.00045805855,0.9986003,0.00094160583
