Comment,Negative,Neutral,Positive
flexible hours and trustworthy staff,0.0007211488,0.00049605634,0.9987828
Payment can be low if you are working parttime,0.9991109,0.0007172981,0.00017186128
fun people short shifts good pay,0.0037438856,0.004330175,0.991926
difficult clients competitive work environment,0.9986381,0.0012139829,0.00014788416
Regularity. Easy. Team work. Good boss. No hassel. No administrative.,0.0071687386,0.0869538,0.9058774
Regularity. No responsibility. Too easy.,0.9987086,0.0010893516,0.00020202037
great community and benfenits from ot,0.00073960173,0.0021424326,0.997118
long wokring hours over the weekday,0.998978,0.0008764828,0.00014547163
good people good salary great hours good terms,0.010139529,0.017128734,0.97273177
there are none there are none,0.0002793931,0.99903166,0.0006889322
Work life balanceOportunity to travel (depending on role),0.0005825527,0.99139553,0.008021896
Old mentality in a deep financial crisis misunderstanding of HQ of what happens around the workd,0.99878746,0.0010674798,0.00014505381
A wonderful place to work with amazing coworkers much to learn on the job room for growth and room for creativity. Everyone has an impact roles are layered and play to your strengths hybrid meaningful everyone is treated with respect and the job itself is dynamic and interesting. A tech environment with a combination of the nonprofit world.,0.00020216238,0.00026139084,0.9995365
In my eyes mostly nothing,0.00037190743,0.99899465,0.00063349307
Great people employees are really appreciated the work is fulfilling,0.00049477484,0.00034945237,0.99915576
career pathing is not clear,0.0019429312,0.9978974,0.00015959924
 Amazing people  Central location  Visionary CEO  Creative autonomy  Meaningful product,0.00019695733,0.00021238443,0.9995907
 Need more support staff,0.11169028,0.8871585,0.0011511645
Such a great company to work for Super sweet people. The management really cares about which an ever employe. And the work is incredibly meaningful,0.00024905143,0.00023484876,0.9995161
Parking is a little difficult near the office.,0.9974752,0.0023992623,0.00012560443
Appreciation Bonuses Awesome team of people,0.0002493919,0.00027792744,0.9994727
Not the best management Still start up so lots changes,0.9986732,0.0011946985,0.00013209163
Nice smart people. Great energy.,0.00021683071,0.00036186678,0.99942136
Startup culture so not clear rules.,0.99896336,0.000878881,0.00015784
It is the best company to start in the diamond industry,0.00021489584,0.00025488378,0.9995302
Sitting all day long it is very hard,0.99891305,0.0009640239,0.0001228909
Great company! Very interesting industry!,0.00021707745,0.00022861749,0.99955434
Pretty difficult job with high level of concentration,0.9989779,0.00087654585,0.00014546927
Interesting and unusual job Rewarding salary,0.0060618967,0.037183285,0.9567548
Long hours in the microscope Very strict managers and rules,0.99909174,0.00076659943,0.00014160252
Very happy and comfortable place to work,0.0002513048,0.00030450078,0.9994442
All management are best friends.,0.004611223,0.9307841,0.06460468
Black on white they play strictly by the rules. They care for all employees. Good benefits. Solid economic standing  even during Corona minimal layoffs and salary reductions Industry education,0.0057749464,0.004481363,0.98974365
