Comment,Negative,Neutral,Positive
Assessment divided in two parts: functional and general you must submit a questionnaire then complete the task and assessment eventually there is going to be a election day in which all the committee will vote for your election and upgrade,0.0027551854,0.9969842,0.00026059986
It's really easy you have to send the application then there's the interview in which you state your program for the following semester. In the end there's an election inside the committee to choose between the various applicants,0.0060320767,0.99256766,0.0014002398
It was a 3 steps interview. Very interesting and with challenging problem solving quiz.  It was mainly based on knowing my technical and interpersonal skills . My job interview was about the It job position and having an engineering background helped me quite a lot for overtaking the quiz.,0.00084514613,0.014038496,0.9851164
Mi è stato chiesto di esporre le mie motivazioni personali e professionali nel candidarmi nell'esperienza raccontando esperienze di leadership e i valori in linea con il programma. Inoltre mi è stato chiesto cosa potessi aggiungere io come valore aggiunto per il progetto.,0.0006817807,0.9972909,0.0020272946
Some questions related to yourself future goals who is your mentor your skills past experiences everything is informal and very easy. Just be yourself and try to explain why you would like to join AIESEC.,0.00039536192,0.9985121,0.0010925551
The interview was very good managed and it wasn't difficult. It happened on Skype and they told me their answer just 4 days after the interview! And of course I've been selected,0.004909379,0.22990006,0.76519054
Case study email sample writing English speaking interview simulation of situations review of the cv experiences at university.  Area of preference level of English knowledge of a second language level of knowledge of the company and the core values the different areas,0.00028590416,0.9988972,0.0008168864
Very easy  general questions They asked me questions in order to get to know me better. Their aim was to understand my international perspective and my skills to be involved in the organization,0.0005739678,0.9864956,0.0129304025
Informal interview purely motivational. After completing the interview it may take a while for them to answer back as they usually have only 2 recruiting sessions per year. When the session does come you will be asked to participate in a weekend of induction and then you can start working as an effective team member.,0.0015030191,0.9978951,0.00060180714
Aiesec people are friendly so the interview process is very relaxed. They ask you very easy question about your skills and expectation for your future insiede the organization. My interviewer was very kind and she answered me to all the questions I made about them. no stess. I got a feedback immediatly the same night of the interview. I raccomand to apply for some position in aiesec because the atmosphere is very young and friendly.,0.0038144072,0.34288234,0.65330327
test taken in person in 2019 in the early session. Possibility to take it up to 3 times and then if you don't enter you are done. once you enter everything is smooth,0.0004061997,0.9982768,0.0013169759
Ho sostenuto un colloquio a inizio Ottobre e mi hanno detto che mi avrebbero fatto sapere la settimana seguente. Ho scoperto oggi dopo un mese e diverse mail di follow up che non sono stato preso.,0.00058381195,0.9975157,0.0019004504
Domande sulle proprie esperienze precedenti (università triennale e se presente magistrale e contemporanee/successive esperienze lavorative di stage progetti scambi o corsi di certificazione se presenti sono un plus) quali sono le proprie aspirazioni professionali e quindi il perché della tua scelta.,0.00045609206,0.99635786,0.0031860073
la ammissione per il corso di laurea triennale presso la università bocconi consiste in una prova scritta composta da domande di logica e matematica e comprensione del testo e inglese,0.0004451748,0.99517787,0.0043770242
domande conoscitive per stage in ricerca solo approfondimento personale non quantitativo/numerico. Professore metteva a proprio agio e il colloquio è durato una 15 di minuti. Fattibile sia per studenti triennale che magistrale,0.0008592369,0.9901771,0.008963659
Video Interview dove si chiedevano alcune domande al riguardo della motivazione per entrare al programma magistrale e si faceva riferimento alle esperienze trascorse che potessero essere in linea con il tipo di programma che si andava a svolgere,0.0004897777,0.99717855,0.0023317204
Onestep interview process for research intern position. Mainly a cultural and motivation interview the technical part was only about how much confident with excel and general statistical concepts I was. Got the offer 2 days after via email.,0.00032834077,0.9986848,0.0009868647
Colloquio in persona presso l'università Bocconi con diverse domande motivazionali ad esempio descrivi te stesso e i tuoi pregi e i tuoi difetti. Dopo circa una settimana ho ricevuto l'offerta di lavoro via mail.,0.00049106614,0.9964616,0.0030473392
face to face interview with Professor in charge of the Research Centre.  Mostly behavioural questions but also some techical ones.  Data analysis skills is stongly recommended. Showing a good academic track record is important.,0.0053646965,0.9796616,0.014973698
motivation letter cv reference letter bachelor degree english certificate 7 minute presentation video written test/gmat. We had to fill an application online and then go to the university in milan to do the bocconi test. they said someone could have been called for a personal interview. the day of the test we also had to do a english test it was not planned but it was easy,0.0014994222,0.9977658,0.0007347803
I was before contacted at the phone for a first interview. Then I had an interview face to face with the hr  the week after and finally the last interview with the hr and the manager.,0.00037998272,0.9990301,0.00058987783
why are you intersted to work for us? how you can contribute for our organization ? how could you do the best for us? why have you choosen the bocconi than other universities ? why should we hire you than others? are you sure that the bocconi universities is the best choice for your career? please oculd my explain me the why?,0.9678698,0.031822268,0.00030798372
