Comment,Negative,Neutral,Positive
Great environment good budget for research topnotch researchers,0.00037339062,0.00031221172,0.9993144
Nothing specific it would only be nice to get more workrelated benefits,0.00050493475,0.99911183,0.0003832749
Flexible work schedule with ability to work from home. Good for alongside studying.,0.00019934487,0.00023239483,0.9995683
The work can get boring.,0.9986394,0.0012096595,0.00015099769
Good management autonomy freedom personal and professional growth. Great place to grow and develop as a young professional; works with very notable teamoriented culture.,0.00019050272,0.00019813796,0.99961144
Sometime work pressure is very high,0.9978143,0.0020765862,0.00010902575
Professionalism Participatory Feminist culture Great mission,0.00014307609,0.00020988206,0.999647
Lack of Consistency Donor driven in contrast to other ActionAid offices,0.99904484,0.0007963894,0.0001587996
Purpose driven organizationFriendly environmentGreat location,0.00017658882,0.00017728299,0.99964607
Many constraints of the area,0.004428615,0.9953548,0.0002167002
nice collegues nice working environment,0.0002119203,0.00025932823,0.99952877
no career's possibility and low earnings if you're not an executive,0.99842405,0.001437145,0.00013879522
First meeting with a work environment specifically for young students,0.00027862165,0.000976857,0.9987445
A quite considerable amount of time spent doing this type of experience,0.99590343,0.003934022,0.00016253452
Opportunity for everyone to be part of an amazing team where people have the possibility for stand for themselves and really make an impact thanks to their ideas. The best thing about aiesec is that when you join the team ( the mine was in Venice ) you can choose among the areas that suits you the most. The mine was Outgoing Exchange Program my task as a Team Leader was to manage a ground of 5 people on the process that ends with the matching of the candidates that applied for a 6 week experience project in one of the many countries AIESEC is.,0.0001647149,0.0007134068,0.99912184
The only thing is that if you are a student you have to find a correct balance between study and AIESEC work in order to don't miss undergoing exams.,0.0010909428,0.998509,0.00040007223
Great culture and values amazing development experience. Opens opportunities for the whole new world of different cultures dynamic environment created by students for students,0.00017958449,0.00020009885,0.9996203
No lifework balance as a nonforprofit organization you receive no salary or few. Sometimes organizational culture is too cultistic. And every time activities in this organization bring you to the challenging level but sometimes too challenging,0.9989924,0.00084113114,0.00016646959
Gain a lot of soft skills learn how to plan and execute a project learn to be responsible for your own activities. Lot of selfreflection and selfimproving activities. Learn to work in an international team.,0.014674131,0.9327295,0.05259639
Can be demanding in terms of workload no salary.,0.99909973,0.0007213652,0.00017892558
Great learning experience freedom to take decisions high responsibility level for young people to learn,0.00025763942,0.0002267813,0.99951553
Financially it doesn't make you gain money people in AIESEC do it for learning and to contribute to the country and not for money. So if you look for money just don't.,0.1406214,0.8583334,0.0010452407
 Incredible learning curve  High responsibilities  Highly meritocratic,0.0023153436,0.0022051993,0.99547946
 Almost non existent salary  Sometimes not too profit oriented  Long working hours,0.9991079,0.0007460316,0.0001460253
 good environment  young students network   capabilities to put into practice what you learn at university  improve your English speaking with international partners,0.00019643658,0.00021303272,0.9995906
