Comment,Negative,Neutral,Positive
Great vision mission and team working toward a better world! Couldn't have asked for a better way to spend my university years. Learned so many things both as a human being and as a professional worker.,0.0003895113,0.00039918887,0.9992113
There really are no cons but it is a student run organization so most of us aren't paid and sometimes it's hard for some people to keep up the motivation to work with us. I don't really think it's about the money but anyways like I said not many cons.,0.8801513,0.11958436,0.00026437503
Flexibility You say how many students max you will teach per session,0.00037806583,0.9985214,0.0011005847
Nothing really. Its great to contribute.,0.0004923607,0.99671113,0.0027964397
Working and volunteering for the American Red Cross helped me in my career as well as providing me with a fulfilling experience helping people when they were in need.,0.0004293398,0.00035652358,0.9992142
Working for and volunteering for the American Red Cross had no cons in my opinion.,0.03564469,0.9635301,0.0008251202
Sense of purpose opportunities to advance,0.00040325563,0.0003750061,0.9992217
Highreliance on volunteer work force and leaves employees to cover a range of gaps when volunteers are understandable not available,0.99901235,0.0008182362,0.00016940453
Great volunteer opportunities.  Help to build some skill sets.  Offers free classes based on volunteer hours.,0.00021653925,0.00019370142,0.99958974
Some opportunities may not be available in some areas.,0.9979248,0.001979164,9.600572e-05
Leadership experience Resume builder Contributing to a good cause,0.00016808382,0.00020582062,0.99962604
No compensation  No room to move to paid position,0.99913496,0.0007072424,0.00015787088
Autonomy EFL treated as a genuine profession teachers wellrespected,0.0041704746,0.0059065297,0.98992294
Beaureacratic poorlyorganized internal functions especially HR,0.99906415,0.0007710514,0.00016478411
Good benefits (health insurance etc) and good salary for fulltimers good rates for hourlypaid teachers. Some opportunities for professional development. Generally pleasant office environment. Has a good reputation in the industry.,0.00029724385,0.00027511726,0.9994276
Profitable enterprise has taken precedence over educational enterprise and teachers are lumbered with a very lame product called myClass which may end up harming the BC's reputation as an educator. Almost all new hires are parttime now as management looks to run a tighter ship.,0.99875546,0.0010765423,0.0001679773
Very easy job was fun to meet more students and see their work,0.002335776,0.016852643,0.9808116
Still haven’t done the job yet,0.96299744,0.036368262,0.0006342395
A master's degree completed with aboveaverage grades PhD candidates are also welcome,0.0042318595,0.9911567,0.004611496
Flexible mobile and interested in working in an international and constantly changing work environment,0.0002627508,0.00038732597,0.9993499
lots of international opportunities very dynamic and everchanging,0.0002827818,0.0034870096,0.9962302
confusing organization lack of impact and concrete strategy,0.9990445,0.00081040256,0.00014509031
Many classes are currently offered online Can continue working at the current location while pursuing a graduate degree.,0.00039847777,0.99126464,0.0083368225
Cannot make inperson connections Feels distant,0.9989195,0.0009424409,0.0001380827
Incredible experience preparing such a huge project different titles of activities direct contact to organizing committees of different countries. Multilingual working environment,0.00078825594,0.0025360158,0.9966757
Troubles and misunderstanding inside the organization that appear as a result of different understanding of how things should work and different understanding of responsibilities,0.9987801,0.0010702696,0.00014968161
Working in an international environment,0.99303186,0.006420254,0.0005479103
Extremely Japanese (insular) environment; i.e. not international,0.9933297,0.00653474,0.0001355737
A stressfree environment and pays extra hours,0.0011080168,0.0007575745,0.99813443
Public structure inflexibility poor design in the office,0.99917287,0.0006573092,0.0001698014
Very good environment around near by.,0.00021486422,0.00024381511,0.9995414
Access is so bad environment.,0.99908364,0.0007553037,0.00016096527
 Get to work all around the world to support populations in needs; Meet incredibly interesting and motivated colleagues from very different backgrounds and origins; Huge internal mobility field/HQ,0.00025575512,0.00036618096,0.9993781
Salary not great field missions only short term contract,0.99905866,0.0007860891,0.00015529839
flexibility values multicultural humanitarian people,0.00020861647,0.0031154023,0.99667597
salary benefits HR followup management,0.00081246806,0.0013368968,0.99785066
They got some of brilliant PC online MMORPG games.,0.0007131262,0.0025265685,0.9967603
Politics. There is not a webmobile design team.,0.99802977,0.0018001442,0.00016999479
Ok it will be useful for my job interviews,0.0004641538,0.9985802,0.00095560506
Don’t know yet since I started today,0.0007640912,0.9977921,0.0014437521
Pay was below industry average notwithstanding the wealth ELT experience and opportunity to connect with key stakeholders.,0.99630874,0.0027821672,0.00090903335
Low base pay with hints of monopoly operation.,0.99912685,0.0007174463,0.00015565939
Intelligent mission driven colleagues. Strong company values. Fairly good talent development especially if based in the U.k.  US or one of the bigger international offices.,0.00019651206,0.00023211578,0.9995714
Centralized and slow decision making. Dysfunctional senior management in Oxford (e.g. ELT Board). Central HR always staring big new initiatives but leaving them unfinished. Unable to arrive at a viable and effective digital content strategy.,0.9989537,0.0008921566,0.00015408924
You get to come into contact with various educators and experts which would help immensely with networking.,0.0012043646,0.022027193,0.9767685
You would be asked to work on weekends or holidays at times.,0.90909255,0.09066877,0.00023867852
well known company with a trustful image. 500 years long history makes company stay old,0.85179913,0.14692996,0.0012708561
long working hours  underpaidmanagement is inconsistent  not diverse culture,0.9991966,0.000635924,0.00016741916
The working students are all very friendly,0.0010287056,0.022938179,0.9760331
There is no in particular,0.00029994376,0.9988657,0.0008343292
Meet new people in the class,0.0005841491,0.96004134,0.0393745
The transportation to campus in not covered even though the university in 45min away from the city. TA does most of the work while Professor just walks around.,0.9985134,0.0013315752,0.00015501822
