Comment,Negative,Neutral,Positive
1. Great growth opportunity (learning by doing) and support system 2. Met a lot of wonderful people who are also very understanding and supportive 3. Allows you to develop personal connection to the work you do instead of treating 'work' as something that only provides you with money to live,0.0011912679,0.0006829179,0.99812585
1. Workload may be overwhelming at times 2. No pay (so you work for personal development),0.9991122,0.0007139995,0.0001737887
Able to fail without judgementYouth Engaged Workplaces,0.002578778,0.0032985243,0.9941227
Salary is lower compare to market price where this is a non for profit organisation.,0.9991321,0.00069694855,0.00017088593
Can learn many new skills,0.00074409327,0.9745704,0.024685418
There is a small organisation,0.00055987405,0.99883336,0.000606738
International exposure leadership development long lasting friendship.,0.0002817088,0.00055600906,0.9991623
Juggle between studies and AIESEC commitment but it’s worth it!,0.0019452551,0.9329513,0.06510348
Great development curve and large network to interact with,0.0003332638,0.00032027118,0.99934644
Weak time management makes u stressed out cause a lot of task,0.99917465,0.00066869165,0.00015668455
AIESEC gives you the perfect opportunity to work on your soft skills and build technical skills as well as communicating and collaborating in an organizational level,0.0002721171,0.00035242012,0.9993755
As you go through higher roles it will take a lot of your time and it may be challenging to juggle your studies and manage your AIESEC work.,0.99858725,0.0012472552,0.00016544852
Agile Global Network Access to Mentorship High risk High reward scenario,0.0002987507,0.00050974725,0.99919146
Hectic Hours Lack of Infrastructure & Consistency Massive YoY HR Turnover,0.999137,0.00069821544,0.0001648873
 International Exposure  Good culture and leadership  Practical experience in strategic and management,0.00019420442,0.0001879578,0.9996178
Salary (As it is a nonprofit organization),0.0010283034,0.84347904,0.15549262
 Challenges you beyond your comfort zone.,0.9396437,0.060039356,0.00031699197
 Fair management and at times poor projects given.,0.9988042,0.0010339629,0.00016183489
People cultures and working routine were being emphasized.,0.00570083,0.9940069,0.00029236442
Some times it would be too random in the sense of working hour,0.0038507497,0.9959061,0.00024316572
Solid framework. Fully youth orientated organization.,0.00030072907,0.00037818606,0.9993211
Takes up too much time.,0.9990792,0.00070512516,0.00021574448
Expands your social network.,0.0006895799,0.05393379,0.9453767
quality depends on the region.,0.001024,0.99661654,0.0023595062
Leadership Youth Team work Ambitious Driven,0.0003084547,0.00059221295,0.9990994
lack of  management skills,0.9991347,0.00070694083,0.00015836726
Great People Great Work life Balance Highly satisfying work,0.0014665653,0.005968379,0.99256504
It is a nonprofit therefore if you're hoping to grow corporately don't have much options.,0.8936847,0.10601529,0.00030005412
Looking for good projects and if I get the chance of management I'll prove my capability,0.0015782049,0.9911165,0.007305188
Building construction site management project control overall I have to do all of the best,0.0014123811,0.99808717,0.0005004008
Decent work culture with fellow colleagues,0.00018082418,0.00021268654,0.99960655
Toxic culture of patronage and cover ups when complaints are made about Directors and Managers who skim off the top by outsourcing projects to friends for a higher cost than others.,0.9990823,0.0007487677,0.00016889293
GREAT place for performers and result oriented people.  Good rewards and recognition are based on merits. Highly professional and good work ethics.  Suitable for matured and experienced people.,0.00025709407,0.00025387987,0.99948895
Not suitable for laggards and non performers. Have to be a constant contributor. Expectations are above average but pays well.,0.998852,0.00093441614,0.00021356993
If you are a performer you will learn how to produce good work in AIF. You need to be capable enough to recognize and appreciate this opportunity.,0.008398399,0.89102364,0.10057794
Some staff need to understand that good work is a satisfying feeling. we need a to have this passion across the company and country.,0.06617806,0.6929742,0.2408477
 Free drinks and food   Office at good location,0.0002544226,0.00021838801,0.9995272
 Poor leadership  Management practices favoritism   Work and responsibilities get pushed around   Low morale in the entire organization  High staff turnover,0.9992091,0.0006154137,0.00017541712
RM1 meal for lunch and breakfast,0.00039137233,0.99667215,0.0029365076
Need to be more flexible,0.0016440613,0.99766445,0.0006914752
a very easy job to do with comprehensive guidance,0.004862352,0.019705625,0.97543204
everything was fine but sometimes the sv can be too bossy,0.00094751857,0.99866974,0.0003827412
Flexible working time and decent pay,0.003947629,0.0020545782,0.9939978
Some days you may need to travel outstation but that's fine if you don't mind they will provide all the transport needed,0.0006419512,0.99856925,0.00078876305
Professional development ' lots available,0.0003690512,0.9935021,0.0061288835
Long hours and unsociable hours,0.99914134,0.0006953714,0.00016327036
Professional development opportunities are great.,0.00040476685,0.00051106897,0.9990841
Sometimes there wasnt enough time in between classes.,0.9875794,0.012214456,0.00020616218
It is a large network.,0.0013604603,0.9549413,0.043698266
There is lots of bureaucracy.,0.99905306,0.00078831136,0.00015867298
Lots of training opportunities and career progression. It can be a job for life which is very unusual in this field. The office culture obviously varies between countries but the organisation is so huge that there are plenty of opportunities all over the place.,0.003661732,0.01734857,0.97898966
There is a definite glass ceiling where you need to know the right people to get on. This permeates across different offices and countries too as the managers have very often mixed a lot in past roles. This creates a 'boys club' atmosphere in the senior management making it very hard to bring about organisational change and very challenging to even be recruited if your face is either unknown or if you have crossed someone in the past.,0.998749,0.0011177923,0.0001332789
I personally experience a good working environment when I was working as a library assistant. The close working relationship with my colleague encourage better teamwork. The management offer education sponsorship during my tenure and I truly appreciate it. These motivate me to work better.,0.00035554203,0.00059591624,0.99904853
Bonus may not be as good because it is a non profit organization. There may be cost cutting due to lack of fund and if there is an economy downturn.,0.999047,0.00082397205,0.00012895283
Supportive managements inclusive no discrimination and great work space,0.00030435823,0.0002093532,0.9994862
stagnant career development no resting area. lack of all staff activities.,0.99917895,0.00067155017,0.00014953346
Good salary and benefits CPD  and progression,0.0006442623,0.00039394342,0.9989618
Heavy on paperwork Extremely long process of getting references after initial job offer,0.99907446,0.00077409804,0.00015135505
Generally supportive and great benefits,0.00028626472,0.0014749446,0.9982388
Very insular focus development along specific lines only.,0.996438,0.0034524545,0.000109484885
Contracts within EFL/ESL teaching posts,0.00030322833,0.9969682,0.0027285803
Overinflated egos  bad managment pretending to be the best while offering nothing better than an avarage language centre,0.9984303,0.0013729268,0.00019670975
paradize condition for Catholic Relief Services very enjoy doing my priesthood  my feedback is fulfilled satisfaction with my power of love,0.0016839899,0.044540387,0.9537756
no clue say what too heaven my priesthood how do i live without Catholic Relief Services,0.011366411,0.9882714,0.00036210497
Good staff respected and well mannered environment,0.00030816664,0.000251136,0.9994407
Low salaries too much work,0.99912745,0.00066782226,0.00020474716
Good benefit reasonable annual leave,0.00029660517,0.00025531073,0.9994481
Less young worker can't learn new skill,0.9984611,0.0014023676,0.0001365143
My supervisor in the USA are so helpful and supportive,0.0003673009,0.00038749728,0.9992453
there is no career development,0.9989773,0.0008886689,0.00013414098
Good learning and growth opportunities,0.00026644388,0.0002638256,0.9994697
Lack of training provided by company,0.9992131,0.0006258282,0.00016101301
Good place to learn and grow,0.00019438157,0.0002030714,0.9996026
Silo Mentality terrible politics at the office,0.99899155,0.0008695813,0.00013880871
a lot to learn. you can move to other sections to learn more.,0.00046104242,0.99904794,0.0004909742
very flat promotion rate. you can only become a manager after almost 10years of service.,0.99909675,0.0007503243,0.00015289786
GP is a great organisation to work with for environmental passion learning and growth.,0.00020471375,0.00021900462,0.9995763
