Comment,Negative,Neutral,Positive
Learn about the world and the different cultures and traditions. As staff there is extensive regional and International travel. Meet staff from around the world and establish lifelong friendships.,0.001030381,0.059660457,0.93930924
Having to deal with volunteers,0.99891806,0.00093752844,0.00014440318
leadershipVision ownership Project management Vision,0.0003157093,0.9979329,0.0017514033
Process Ong pandemic fast program Adaptability Mkt,0.00053415704,0.9938059,0.005659994
It gives you some real job experience,0.016896708,0.14215583,0.84094745
Main jobs there are volunteering,0.0003223009,0.99881124,0.000866452
knowledge expertise A lot of preparation for the employees,0.0011222584,0.9979925,0.0008852181
low salaries and there is a lot of work to do,0.9991597,0.00065118977,0.00018913507
I am an engineer I have found in AIESEC the perfect complement for my career. In the organization I have develop true valuable skills for the corporate sector like project management leadership skills sales skills public presentation skills entrepreneurial outlook multicultural outlook financial management to name a few.  I had the opportunity to travel went to trainings and conferences around the world.,0.00022710534,0.0005040532,0.99926883
If you are looking for a good salary AIESEC is not the place where you have to find. Instead AIESEC is an excellent investment for your future the ROI (money and many opportunities) will be in the medium term and of course your profile will look totally different compared to your university mates.,0.10867646,0.8577902,0.033533417
Got a lot of consultancy and business development skills. A lot of clients offered me a job just because I got exposure and they trusted me.,0.003158515,0.08964003,0.90720147
A lot of companies do not understand the value of having volunteered at an NGO. You need to be self motivated and ambitious or otherwise you will be loosing your time.,0.9982047,0.0016049946,0.00019029813
Helps a lot to develop professional skills like no other university or educational program in the world.  Excellent projects and experiences that help people to become a better professional.,0.00039551128,0.00033874426,0.99926573
Is mainly managed by students so there can be a lot of management problems in different committees around the world.,0.99843544,0.001441409,0.00012324727
International crossgenerational networking Alumni access  travel opportunities,0.00016250022,0.00021652701,0.9996209
Unpaid until reaching national staff hierarchy weekend work depends on talent pipeline.,0.99867404,0.0011761801,0.00014976609
 Self development.  Professional Development.  AIESEC gives you as much as you give to the organization.,0.0009728936,0.005221792,0.9938053
 Need to organize your time.  It's hard to let it go.,0.9978643,0.001951849,0.00018384714
Learn a lot about soft skills,0.00055169436,0.9949662,0.004482167
If your're not self taught or proposer it is not your best option,0.9945133,0.005342401,0.00014425797
Incredible networking growth opportunities high responsibility from day one.,0.00025976138,0.00027736364,0.9994629
Long hours and not for profit.,0.9992305,0.0006058688,0.0001636271
Challenging working with different cultures and people impactful organization,0.00020375403,0.0009903378,0.9988059
Low salary opportunity to manage your time,0.99920315,0.0006121614,0.00018472657
For the opportunity he gives to you,0.0015673555,0.0017160132,0.99671656
No garantee no good contract no controlled work,0.9986046,0.0012740941,0.0001212829
person and  and worklife,0.00048216875,0.9970319,0.0024858804
don't have down side to me,0.000515415,0.9984956,0.000989016
Anyone from anywhere can help for any amount of time.,0.0011534373,0.9863555,0.012491065
No defined culture values or focus.,0.088734016,0.91069317,0.0005727536
Even though I have only been working at Amnesty International for a month and a half I have already formed a highly positive opinion of the organization. One thing that has impressed me the most is the flexibility the company offers its employees. This has allowed me to balance my work responsibilities with my personal life in the best way for me. Additionally the overall work environment is fantastic. The company culture is welcoming and everyone is supportive and friendly. The camaraderie among colleagues is palpable and I feel amazingly comfortable asking for help or advice from anyone in the office. I also appreciate the respect and promotion of diversity that Amnesty International embodies. The company is committed to creating a workplace where everyone feels valued and respected regardless of their race gender sexual orientation or any other characteristic. Finally I am impressed with the company's dedication to the health and wellbeing of its employees. Even though I have only been working remotely I can see that the management team is highly committed to ensuring that everyone feels supported and cared for. Overall I feel extremely fortunate to be part of such an incredible organization and I look forward to continuing to grow and develop my skills while working here.,0.00043230527,0.00068341393,0.99888426
In my brief time working at Amnesty International I found the experience rewarding and fulfilling. However I believe the company could make some improvements in its onboarding process for new employees. I have found that the amount of knowledge required to succeed in my role is quite significant and the learning curve can be steep. While my colleagues have been incredibly supportive and helpful in answering my questions I believe a more robust onboarding program would benefit all new employees. For example the company could create a more structured training program that covers all aspects of the job including policies procedures and systems. This could help new employees better understand their role within the company and feel more confident in their abilities.,0.048765562,0.9314734,0.019761054
The techniques that they provide us to do fundraising was good. The training is constant and the environment is pleasant.,0.0002868348,0.0007610023,0.99895215
I would have liked them to train us more in human rights issues. There are not many opportunities for growth.,0.9976745,0.0022179754,0.000107537206
Committed colleagues and well funded organization that allows you to be creative to achieve change.,0.00025183224,0.00026634522,0.99948186
Large organization which may sometimes feel burocratic.,0.9978235,0.0020376036,0.00013894858
A diverse multicultural organization with outstanding professionals,0.00018949472,0.0002543972,0.9995561
Too centralized in London needs more decentralization,0.98818177,0.011442602,0.00037571782
Very very very very good,0.0034869919,0.6695162,0.32699683
No bad comments here actually,0.000466684,0.99883837,0.0006950033
Great working environment if you're into Right to Information and Freedom of Expression,0.0003676128,0.00042324307,0.9992092
Different income levels depending on the regional office.,0.0019198038,0.9950755,0.0030047172
Strong commitment to supporting highimpact social entrepreneurs and opportunities to travel meet interesting people and learn in depth about diverse sectors.,0.00019246203,0.0002004578,0.99960715
Limited resources to fund salaries and other initiatives some disorganization and difficulties maintaining consistent brand/philosophy across global offices.,0.99915385,0.0006874497,0.00015859486
fun space / opportunities for growth,0.00014515247,0.00022017742,0.9996346
lack of global leadership and CEO micro manages decisions,0.9990397,0.0008026487,0.00015751025
There are great people working there and it can be an incredible platform to learn about social entrepreneurship in any region,0.0002040427,0.00020528975,0.9995907
The organization should be doing much more. No room for real change.,0.9972282,0.0026276333,0.00014424056
Organization provides fredoom to create and pursue ideas. Allows for flexibility and have great worklife balance,0.00024992286,0.00030882074,0.9994412
Little global management bureocratic (in the worst sense),0.99896586,0.0008830778,0.0001511789
Great work environment. Worklife balance,0.002221802,0.0029812884,0.99479693
No established parths to grow.,0.691361,0.30819544,0.00044358234
