Comment,Negative,Neutral,Positive
Growth opportunitiesA space to innovate and be creativeImpactful and fulfilling,0.00019062542,0.00020250445,0.9996069
Hard to have a worklife balanceNo clear direction,0.9990119,0.0008496079,0.00013848426
It's all about doing mistakes and learning from them. Develop Leadership,0.0032568604,0.99557436,0.0011687902
Can be a toxic environment to work in.,0.99913305,0.00068697304,0.00018000434
Young environmentGrowth Mindset and OpportunitiesHuman and driven Amazing colleagues and team membersSupportWorking with a bigger mission in heart and mind,0.00018005818,0.00019368337,0.9996263
Overcharge of Work SometimesBurnout risk if not managed properly Expenses,0.9989237,0.00090360845,0.00017263637
If you want to develop your leadership and step up  of your comfort zone. Aiesec is the right place for you,0.0011940919,0.98193824,0.01686765
Need time investement ande there no rumeneration,0.000503762,0.99901295,0.0004833208
TIME flexibility when you choose your schedule,0.001217032,0.9562063,0.042576633
working load during summer with groups,0.00048627515,0.9970956,0.0024181383
learning opportunity multicultural environement growth oppurtunity,0.00022044865,0.00034221832,0.9994373
low salaries old school management slow,0.99903905,0.0008025386,0.00015841403
Good salaries on the organization projects  great learning opportunities,0.00026719083,0.00019599451,0.9995369
work involves weekends and evenings depending of the culture of the funders and locations,0.00034100335,0.9990244,0.00063462736
Friendly students and staff. The ops staff is very helpful.,0.00018909438,0.00026016924,0.99955076
Poor communication schedule is not flexible,0.99918944,0.00065027387,0.00016035044
The other teachers were of great caliber  a dedicated and professional group.,0.0011038033,0.011750164,0.987146
Each trimester ALL the scheduling for teachers is done impossibly lastminute to the point that you find out your teaching schedule literally a few hours before you must start teaching each class.  Each trimester the schedule completely changed as would each level taught  from business english to 6 year olds to testprep without warning and little predictability. Teachers were regularly given 12hour shifts with four different levels in a day with an hour for lunch and not even a refrigerator to use. Teachers are left to prepare in their off time and it is not under consideration that some classes take a lot of time to prepare for (such as testprep collegelevel maths) and some little but no pay differences are considered. Classes are capped at 20 participants even with small children which is about 8 too many to do a good job. This system is kept to maximize profit but does so at the cost of the quality of teaching and the quality of life of staff. The overhired so few got the hours they were promised.,0.9987795,0.0010490537,0.00017144991
It's a great organization overall with the important mission of helping to develop the Middle East and North Africa.,0.00017063496,0.00024668942,0.9995827
Leadership at the Rabat branch has changed around A LOT in the last year and the result is a rather disorganized EL Department. Simple things like internet don't work reliably and classrooms are too often filled to or beyond capacity.,0.99898595,0.0008671385,0.00014698683
Good colleagues decent pay (but could be better),0.016980136,0.16242571,0.8205942
Constantly changing schedule disorganized management huge pay gap between foreigners and locals upper management doesn't care about teachers,0.99918705,0.00065284607,0.00016011257
Great work ethics and culture,0.00065671647,0.00095874164,0.9983846
Nothing of significance. Smooth sailing.,0.00033617247,0.9988967,0.00076708046
Multicultural Environment where one can meet and learn from different people.,0.0012796177,0.95693684,0.041783564
