Comment,Negative,Neutral,Positive
working in this organization has helped me to grow my knowledge and attitude.   Fully service oriented job Positive and well Organized  Cooperative and friendly staffs Myself feel proud working with the organization Works for the welfare of people with time and situation accordingly,0.000224235,0.00027748803,0.99949825
For mine level we do have rare site visits and field visits.   Slightly low annual salary incensement,0.9985663,0.0013038536,0.00012988668
Lots of learning opportunities. Great company value,0.0002478101,0.00021182113,0.99954045
Pay was not great. Needed to work with the government which was extreme,0.998599,0.0012518053,0.0001491326
One of the largest organization working in HIV AIDS This organizations allow me help needy clients by different means like transportation Pharmacy Lab Nutrition and many more support as well which motivate to adhere clients in ARVs and minimize LTFU.,0.0002972787,0.00052497606,0.99917775
No comments Than you AHF for everything!,0.002222834,0.9970595,0.00071771024
Patient centered great leadership team work and friendly environment,0.0001674961,0.00017474272,0.99965775
No any cons at the moment,0.0003626146,0.9989888,0.0006485827
Its core value is very much motivating,0.0008054745,0.12446263,0.8747319
No more cons identified by me,0.00034687226,0.9989312,0.0007218292
treat staffs as most valuable assest of the organisation,0.18116128,0.39563745,0.4232012
program cost are slight low,0.13410811,0.8176848,0.048207093
Healthy environment for employee and client centered services,0.00018069963,0.00019119642,0.99962807
lack of external exposure for all staff,0.9991285,0.000719688,0.0001518909
I am interested in HIV/AIDS related field.,0.00040109208,0.9980869,0.0015120017
Training on data management is limited.,0.998938,0.000923497,0.00013843534
Culture Diversity Conferences Team Meetings,0.0006703808,0.9863847,0.012944944
Expensive national and international conferences,0.99909234,0.00071313366,0.00019454765
Volunteering Experience makes better. yes,0.0007678409,0.99661106,0.0026210856
Nothing at all as of now,0.00028703295,0.99905044,0.0006625391
Diversity Enjoying Participation Career Ladder  Helps you with the career i would say,0.00078876596,0.98660326,0.012607985
Volunteering Besides dont really have anything in the head to put cons on,0.48293406,0.5166457,0.0004202389
Social Enterprises promotion was good initiatives,0.00019819869,0.0008877423,0.9989141
Country low does not permit Micro finance,0.99908125,0.0007546791,0.00016400038
Works for social impact and poverty alleviation.,0.00037183502,0.00032737045,0.99930084
No growth low salary no benefits,0.99914694,0.00069949,0.00015353196
good working environment  flexible working  supportive team,0.00019228419,0.00018096445,0.99962676
From the time i joined there isn't any negative thing that I could find about the organization.,0.0014406447,0.9976749,0.0008844685
Flexibility  friendly staff work pressure end with the same day,0.99044585,0.008593661,0.00096046017
Venue staff is not handled by the Bc .. No service letter,0.9991585,0.0006762182,0.00016533965
Working in humanitarian organization is my passion rather than occupation especially in the field of emergency response,0.99806327,0.0017777084,0.0001590799
Though the job is pretty challenging I can cope with situation.,0.00066058274,0.9986871,0.00065226614
Overall average experience not very encouraging,0.992268,0.0076255426,0.00010650314
Organization is quite full of insecured employee and senior management promotes talker over a doer or who're good at buttering.,0.998005,0.0018461648,0.00014888575
Friendly working environment . Flexible,0.00018767448,0.00017902217,0.9996333
workloads are huge . Multitasking requirements,0.99861896,0.0012088706,0.00017211429
It is good to work there.,0.00027067374,0.00065556326,0.99907374
There are no cons of it.,0.0006269455,0.99841344,0.00095954817
A good tightknitted team work and thinks about the wellbeing of the staff,0.0024847335,0.002274009,0.9952413
Sometimes have interdepartmental miscommunication creating confusion and conflict,0.997965,0.0018915185,0.000143487
Community based work hardware based output in the form of affordable housing,0.00028194927,0.0006924081,0.9990257
Hierarchal structure work life balance for staff needs to be improved.,0.0155049255,0.98410296,0.00039205825
Very good working environment and coolegeaus are friendly and helpful. Also flexible to work and also can take decision as required.,0.00023328661,0.00021064395,0.999556
Sometimes fellow staff stepover  and forget their responsibilities and they forget to proceed their work with propeproper chsnnel causes difficult to work properly.,0.99806184,0.0017598575,0.00017830372
long term job potential is available,0.0018016661,0.9813588,0.016839478
poor management extreme top down authority feels like government office,0.99912244,0.00071640534,0.00016113264
The environment was conducive to growth,0.00068240927,0.0035963922,0.9957212
it could get a little competititve no cons as such,0.00055276806,0.99864393,0.00080329156
It was a good exoerience.,0.0023487199,0.4856698,0.5119814
no cons to this organization,0.9987589,0.0011030014,0.00013810897
it provides staff reliable facilities and benefit,0.00036391482,0.00033160887,0.9993044
seems delay on decision and have not standard implication of human resource policy.,0.99907124,0.00077484804,0.00015392965
Great people and work environment,0.0003645684,0.00036048828,0.9992749
No cons really it was a great experience,0.0010438523,0.99310726,0.0058489256
Works closely with beneficiary groups and government to develop and implement project,0.00073838246,0.0027910867,0.9964706
More emphasis on capacity development of staff required,0.52425474,0.47134802,0.0043972675
The salary pay is really good,0.010998051,0.0069575473,0.98204446
I see no cons in the pay system,0.018773671,0.98064053,0.0005857456
People there are very supporting and encouraging,0.0007424278,0.06316902,0.93608856
There is no cons i found there while working,0.00034472792,0.99913424,0.0005210881
It provided a suitable environment for both teacher and student. After classes we have a lot of free time and we can do as we wish. It also has the common benefits of working in educational institutes. Also it provides lunch money normally 12 or so days of paid leave and health insurance,0.0003478911,0.0003878719,0.9992642
