Comment,Negative,Neutral,Positive
the procedure included two interviews. in the first one I introduced myself as well as shared some ideas regarding how I would tackle the project. the interview was in person. in the second interview I got to talk to some more people from the group and it was less formal,0.00023477549,0.9979711,0.0017940972
I was invited for a first interview and asked to prepare a 5 minutes pitch on why I was a good fit for the role. There were 3 people in my interview including the department head. They were all very friendly and asked questions about my experience. I also got a reply only 2 days later from the department head on why I wasn't selected for a next interview with feedback and good advice on how to improve.,0.015860211,0.5825894,0.40155035
Two interviews. One online. one inperson Two presentation for teaching and research You need to teach for 20 mins and give a presentation on your research vision. It also depends on the department,0.00042950697,0.9990909,0.00047965228
The interviewers were very friendly and had some sense of humor and was empathetic. I really enjoy the interview itself. There are two stages of the interview first stage is a presentation of my previous experience then continues with a discussion with the close supervisors; second stage is panel interview with additional members from the department.,0.0006791208,0.021469807,0.9778511
Twee rondes. In de eerste ronde werd er gescreend op passende cv en goede motivatiebrief. Voor de tweede ronde volgde het uitwerken van een aantal opgaven en een kort fysiek gesprek.,0.0011225326,0.9947982,0.0040792534
Friendly was able to talk about my expertise and past experience and was listened to professionally. Grateful for the time that was allocated for my interview hope they are always this thorough with who they hire.,0.0007897389,0.0009994747,0.9982108
Er waren 2 rondes met verschillende medewerkers: de eerste ronde online via teams en de tweede ronde oncampus. Daarna verliep het contact met HR via teams en telefonisch. Alle gesprekken ervoer ik als prettig: het waren stuk voor stuk interessante mensen om te spreken en de omgang (ook met HR) was zeer respectvol. Dat heb ik op andere universiteiten wel anders ervaren.,0.00057520176,0.9940194,0.005405456
CV filter firts and then two Interviews. The first one online and the next one physical in their facilities. The interview was about my previous experiences and what I would do in some cases.,0.0002869243,0.9989618,0.00075131626
Asked me about my experiences in numerical modeling and AI networks. Seemed interested and then sent me an email telling me that they will let me know about the decision but then they didnt contact me. It is months now that I am waiting. I know they didn't select me but at least they could let me know.,0.94118905,0.05864475,0.00016612076
In de vacaturetekst staat het sollicitatieproces goed omschreven. Ik voerde twee gesprekken en afsluitend een klikgesprek en arbeidsvoorwaardengesprek. Aan het begin van elk gesprek werd de inhoud van het gesprek nog even doorgenomen en aan het eind werd het vervolg in de procedure nog verder toegelicht. Kortom ik wist goed wat ik kon verwachten en waar ik aan toe was.,0.0011201382,0.9965438,0.0023360671
Application procedure was smooth and very direct. It was made clear in all the aspects of requirement to expectation. Most the question were relevant to technical skills and motivation.  Keeping confidence would be the key,0.0012002222,0.9902783,0.008521521
It was a good interview with panel members from the department. A short 20min presentation of previous research experience was expected.   Overall good presentation although the decision timeline was not clear,0.0038023898,0.18331972,0.8128779
It was a school market for student to take a look at the different studiest. It contained i formation about the school program study load and requirements to get accepted,0.0003916977,0.9988335,0.0007747475
It was a 3 step process that looked at the competencies and past projects. Following this future directions for research were discussed. A plan of execution was asked for that ha d to be handed in within a week.,0.00060190214,0.99869436,0.0007037532
