Comment,Negative,Neutral,Positive
nice work environments nice colleagues,0.00032886647,0.0007495063,0.99892163
out of date equipments lack of enough funding,0.99921334,0.0006308889,0.0001557633
Flexible hours more vacation time courses from the graduate school student discounts discounts on the university gym of 300 euros year subscription discount at the hospital canteen,0.0003784918,0.00033630707,0.9992853
distant location from the city center,0.00081282295,0.99829215,0.00089504634
Excellent highly professional colleagues extensive collaboration with other scientific groups an interesting PhD project.,0.00020171677,0.00022168623,0.9995766
In a pandemic team integration is more difficult than usual.,0.99898726,0.0008759002,0.00013678831
Excellent facilities in terms of devicesa bit old laboratories but a lot of space/room.in general well organized.,0.0025190213,0.006254195,0.99122685
It was a bot tricky to get collaboration between different departments,0.38815093,0.6114234,0.0004257669
End of the year gift,0.000979958,0.9875635,0.011456519
I have nothing to share,0.0003025996,0.9991961,0.0005013647
 Growth and learning are standard  Good working therms,0.0003222673,0.0014999827,0.99817777
 It's a huge firm,0.001174979,0.99471235,0.0041126255
If you are a doctor or nurse I think its a great place to work but if you work in logistic security or services you'd better avoid this company,0.14311148,0.84780353,0.009085036
Too big with the wrong people on the wrong positions whom are ruining the atmosphere and make working there feeling like working in hell.,0.9990508,0.000773167,0.00017607026
Good core facilities possibilities for internal collaborations; room for development with a personal budget and attending conferences,0.00018631903,0.00019824176,0.99961543
Your career (as in other academic institutions) fully depends on professor you are working for.,0.0008557648,0.99845874,0.00068546366
Well paid and excellent facilities,0.006152683,0.002743409,0.9911039
Exclusion of nonDutch/nonmedics from the 'inner circle'. Lack of career advancement opportunities.,0.99898154,0.00088270305,0.00013581016
Broad range of discipline related to health allowing nice collaborations.,0.00017065553,0.00027374516,0.9995555
a bit far from Amsterdam but easily accessed by metro.,0.00092649827,0.9878164,0.0112571055
its one of the biggest university of amsterdam,0.001254371,0.035818923,0.9629267
dutch is compulsory to speak,0.005205923,0.99270743,0.002086706
Great science nice people good balance workfamily life,0.0003615865,0.0010272664,0.9986111
contracts link to grant money,0.0005160578,0.9962992,0.0031847353
Really good environment and colleagues.,0.00020898874,0.00022846852,0.99956256
My experience is not sufficient for a full review,0.99775463,0.0021416855,0.000103738275
Offer atmosphere and competitive salary,0.05089827,0.67320603,0.27589577
Far from the city center,0.989815,0.009997383,0.00018761544
 Amazing how much you can learn in just one year.  Great opportunities to grow further.  Focus on selfdevelopment remarkable for a youth organisation,0.00056639174,0.00072661735,0.99870694
 Work pressure can be high  You set the pace yourself which can be difficult for youth,0.99888104,0.0009690216,0.00014987458
Networking experience learning leadership benefits,0.00020807295,0.00029602705,0.99949586
Salary work balance lack of systems low accountability no,0.9989875,0.00086578587,0.00014672923
Within AIESEC the sky's the limit. I got challenging role after challenging role and was always encouraged to set ambitious goals for myself. I got the responsibilities of a CMO at age 23 and joined industry conferences where I was the youngest participant. I learned about marketing strategy and data but also about my own passions strengths and values.,0.027874896,0.97015923,0.001965886
I really had to strictly prioritize and plan in order to not get overworked. There were so many things to do (both work and fun) that it kind of took over my life. It really depends on yourself and the manager you have how well you can capitalize on these opportunities without it getting too much.,0.07223985,0.92350596,0.0042542447
AIESEC is an organisation where young people get to develop themselves on a daily basis. There is a lot of space for initiatives taken by employees. Furthermore you get many responsibilities at a young age and you get to work with motivated people who are always eager to learn.,0.0005444048,0.0005401785,0.99891543
There are no real down sides to working with AIESEC. Especially in your student years it’s a great experience.,0.00063139264,0.0042294073,0.9951391
Very clear vision. Collaborative culture fostered by hundreds of (national and international) conferences every year. Members are ambitious young people and students who put in their freetime in order to make the world a better place step by step. AIESEC is all about leadership development literally every part of the organization is connected with developing young people into better leaders for the world of tomorrow.  Almost 100000 board members each year presence in 128 countries.  Feedback session training sessions workshops by big international companies. Learn how to work in teams learn how to lead teams learn how to do sales etc. etc. etc.  It really is the perfect organization to develop the practical skills you do not learn at university in the classroom but which you definitely need later on in your career.  Last but not least make friends in every corner of the globe and become part of a huge global network of AIESECers with currently over 1000000 alumni and growing every year.,0.0005362413,0.0008967035,0.99856704
Sometimes people are too focused on the vision and therefore lose sight of daily operational activities. Furthermore continuity can be a problem as new board members come in every year. But it is amazing how AIESEC can manage this there is no other organization in the world which completely turns around its whole management and employee positions. This is because you will only be in a position for a term of one year after that you move on to a higher position; allowing fast development and fosters entrepreneurial spirit within the organization.,0.16235055,0.44275975,0.39488968
 experience during a university degree  likeminded community   development of leadership and communication skills,0.00027419694,0.00043891865,0.99928695
 need to balance with study (16± hours a week)  voluntary,0.00041977086,0.9989625,0.00061773526
Great place to learn about yourself and gain several skills. AIESEC can teach a lot but it only gives you as much as you give to the organization,0.011551828,0.021356767,0.96709144
"AIESEC has several values but unfortunately they are not lived on an everyday basis it almost feels like it is just to show others. AIESEC says it is supposed to act sustainable but they meet twice a year in a 2 week conference in a 5 star hotel in a 5 start event a lot of money is spent on it which could be used for a better purpose. Also AIESEC has been partnering with some companies which do not share the same values as AIESEC including mining and oil companies. Even though AIESEC says it is not political the organization itself is extremely political where people which have never achieved anything or done anything major get elected for higher positions and even president just because they ""know people"".  Basically AIESEC is a lot of talking and not acting it does not walk the talk",0.99818087,0.0016606735,0.00015854533
Working in a purposedriven organisation where you feel that your work has an impact in the world is the best motive to be better and do better! You are going to feel that every day and every minute you spend working is totally worth it!,0.00043695077,0.0009629814,0.99860007
Being in a GST is a nonsalary job although it requires a lot of time. So the main disadvantage is that you probably have to work somewhere else too to make ends meet. This will surely have a negative impact in the time you will be able to contribute to your work for AI.,0.99883944,0.0010046884,0.00015585299
 Work with a very smart switchedon ambitious global team  Challenging projects an absolute stretch experience  steep learning curve!  An understanding of global strategy and operations  Diversity of work  portfolio specific general responsibilities crossfuncitonal teams  Organising some of the largest global conferences both from content and logistics perspectives  Amazing travel opportunities throughout the year,0.00024751353,0.00026701204,0.9994855
" The work is so intense and challenging yet so amazing that it takes a while to establish worklife balance (imagine managing work across so many time zones)  While it's an amazing launch pad for future career opportunities there's often a struggle to move on and find something else that's as rewarding… and also knowing how to really ""package"" your AIESEC experience .",0.15632981,0.77485555,0.06881465
