Comment,Negative,Neutral,Positive
There are 3 phases: 20 minutes Mockup lecture  5min Q&A 20 minutes Research Presentation  5min Q&A 1hour Interview with questions There will be a month to wait before getting feedback,0.9397738,0.060037747,0.0001884421
The interview process was good and smooth the interviewer asked me to relax and prepare myself before start. And even told me to let them know if I need extra time to answer the questions.,0.0019808838,0.96984947,0.028169686
the process is good and a bit long with many behavior questions. and questions about culture. two people were interviewed. overall it is friendly. they wanna someone to start as soon as possible,0.0008403293,0.9978668,0.0012929732
The whole interview takes about 30 minutes. I remember a question about Te Tiriti o Waitangi Another question is please introduce your own strengths. The University of Auckland is a very good employer.,0.005383424,0.9780733,0.016543271
Fair process in which I was kept well informed. The interviewers did their best to make me feel at ease which I really appreciated. There were two rounds of interviews and I was ultimately successful in getting the job.,0.0037014787,0.09608605,0.90021247
The interview was a speedy process. The recruitment officers all asked standard interview questions along with interview questions specific to the field of study. They all had a professional manner.,0.0017677465,0.009936593,0.9882957
Started with a group interview was somewhat of a weird scenario to try and make you uncomfortable. Group interview with 3 members of staff afterwards was focused on team skills and communication,0.0041594827,0.9956584,0.00018221566
Very nice and lovely interviewers. Basic behavioural questions and some questions about motivations and salary. Interview in 40 mins with 2 people. 2 rounds interview. Phone interview first and then Zoom interview.,0.00052889384,0.0048764218,0.99459463
Group interview with more than ten candidates who were all very energetic and good at interpersonal skills. The process started with introductions and discussion of prior experience. Then about strengths and weaknesses.,0.0007061478,0.9529202,0.046373636
It was a very formal interview and very professional. The interview was conducted by two interviewers both with very good attitudes and the questions asked were all job related， Patiently listened and carefully answered when asked questions,0.0010964267,0.0121170655,0.9867865
this was for a contract role Straight and structured process  Phone Screening Panel Interview (Hiring Manager Portfolio Lead and Business Owner) and Programme Sponsor Interview . Two rounds of negotiation  contract signoff and offer acceptance,0.00028438185,0.99729234,0.002423292
The interview process was quite long it went on for a few months before they came back to me with an offer. This process included lots of different stages. Phone screening online assessments. Assessment centre and interview this included a group introduction and role play,0.9959364,0.003943376,0.000120238525
Fast and efficient interview process with relevant to role with some questions on competency and outlining the main benefits of your skills to the role; also questions on ambition for the role,0.0019143507,0.013883721,0.9842019
There are two questions. Each question gives 1 minute and 30 seconds to answer.  When one question finishes then it moves to the next question automatically. You cannot go back to the previous question if you finish the question.,0.0049010944,0.994686,0.0004129103
Interviewed in a nice new building the interview itself was upfront about the job expectations casual interview talking about what the day would look like. The only problem is it became evident the job description was not the most accurate so I was shut down pretty quickly.,0.7632007,0.23573628,0.0010630226
An online meeting is scheduled by HR.  Then it is an online meeting with the development team and HR. You would be asked about conventional questions such as previous experience how you handle stress how you work with coworkers etc.,0.0014852358,0.9982949,0.00021988714
Long process but was ok. Conducted over zoom during the 2020 pandemic. First was individual interviews then group interviews. Two interviewers per person over a period of about two weeks. This meant that there were a lot of people applying.,0.0009859295,0.9985084,0.00050560763
I was asked to complete a simple technical tests. Then I completed couple of phone interviews where I was asked about myself and number of technical question on Jave programming language.,0.0004929538,0.9988649,0.0006421067
Applied through the UoA website. In 3 days of the vacancy closing I was notified that they wanted to interview me. 2 days after the interview I was offered the position.,0.0004693294,0.9988066,0.0007240251
Quick and easy. No formal interview just EOI email and CV. Was recommended this tutoring role by a supervisor and an offer was given shortly after.  Easiest method to obtain a TA role is through networking.,0.000369236,0.00070470065,0.998926
Easy process direct questions regarding HR. star technique questions. Overall good interview and professional environment. Easy process direct questions regarding HR. star technique questions. Overall good interview and professional environment,0.00035455637,0.0012502238,0.99839514
It's basically just email conversations with your potential supervisor. If he/she agrees to take you as a student you just need to follow the general application procedures of the University.,0.00095675973,0.9987004,0.0003428347
The interview is about 30~40 minutes long and is mainly carried out by the interviewer's lead.  The panel involves two the executive and the manager. Not enough questions asked for you to appeal yourself so impress your employer with a resume.,0.9984189,0.0014067782,0.0001742519
Meet with interview panel who asked me to prepare a presentation and some open questions. Got feedback and reference check very quickly and offered a place. Very friendly interview panel.,0.00040021076,0.0005220543,0.9990777
 First had a Phone Interview with a AUT HR personal  HR processed a Reference Check  In person interview with the manager. Basic questions about my experience/seeing if you are a good fit for the team.  Was given a offer which i accepted shortly after,0.00063002383,0.9989477,0.00042227667
