Comment,Negative,Neutral,Positive
Good place to work. Friendly people and lots of good opportunity to work for. Supportive managers.Good place to work.,0.00019237935,0.00018188074,0.9996257
Nothing really. Highly recommended to work.,0.00041912592,0.9988532,0.0007277051
Excellent team to work with friendly supportive,0.0001883593,0.00017335468,0.9996383
not alot of benefits tight targets to meet,0.9914185,0.0084604295,0.00012101832
Diverse supportive culture. Alot of support from leadership,0.0003650455,0.00045118778,0.9991837
Complex work environment. High workloads compared to staff,0.9989502,0.0008592652,0.00019056107
 Good leave  Professional development and the organisation pays for further study  Good overall pay (shiftwork roster) if you are working in the inpatient units. We get loading so 35% on top of base salary,0.0007797496,0.0006779038,0.9985423
 Busy  Shift work,0.97279143,0.026955161,0.00025335004
Good team to work with good opportunity to experience what goes on in backend of staffing for public healthcare system,0.00025386686,0.00026071927,0.9994854
Needs management improvements Very administrative  needs more recruitment initiatives Lack of care for staff Needs better systems,0.9949986,0.0048336876,0.0001676974
Pay is good Good team work,0.0017395414,0.0018409605,0.99641955
Short staffed most of the time,0.9988813,0.0009750989,0.0001435967
Many full time jobs available throughout the year.,0.00091421074,0.67347187,0.32561395
Poor Management Lack of investment in the technical department despite this being the best functioning track and trace system any hospital could have. Workplace culture is sometimes disturbing to even witness.,0.99859923,0.0011516666,0.00024920888
no need to negotiate it increases automatically,0.00055678183,0.99879384,0.00064937514
maximum is set so no more once you reach the highest step,0.00077705254,0.9975083,0.0017145523
No sales push work MF holiday closed,0.9986191,0.0012408954,0.00014004248
quite busy. lots of documentation frustrating customers due to longer wait time.,0.99894637,0.0009197543,0.00013390268
Great working environment good colleagues,0.0002427182,0.0002141431,0.9995432
Stagnant no career progression not stable,0.9991098,0.00075346814,0.00013670583
Lots of learning. Has mentorship program,0.0006065675,0.0018278135,0.9975656
Fast pace environment. Bad management.,0.99888104,0.00092754455,0.00019139347
Great experience Central In house psychologist,0.0002691523,0.00058993394,0.99914086
Poor parking availability Expensive staff parking Nurse shortage Bullying culture,0.99917054,0.0006548025,0.0001747655
Great work culture. Shared lunch's,0.00032010442,0.0004938489,0.9991861
Long approval process for new work,0.9984629,0.0014140357,0.00012303118
Large organization Good pay Job stability,0.0018268578,0.0016729111,0.99650025
Conflict of interests are not well managed. The quality of the recruitment is not good resulting in poor work ethics and quality of the coworkers. Tax payers' money is not wisely used.,0.9991393,0.0006912178,0.00016951674
High facilities and good lab instruments,0.0005434367,0.0004999086,0.9989567
Unhappy about salary and lack of professional management,0.99914014,0.0006941319,0.00016562144
Additional Annual leave. Free shuttle bus between hospitals. Free or highly subsided gym. Awards celebrating staff achievements. Long service recognition. Discounted goods & services with national retailers. Online learning and development portal. Onsite clinical education centre.,0.0005826121,0.0004253803,0.998992
Very busy workload To many competitions Needs more compensation,0.997675,0.0021612626,0.00016371989
Good teams and caring for the employees,0.0004133074,0.000322798,0.99926394
Poor IT support and delayed response to problems,0.99913317,0.00070205,0.00016479126
good nice work on time organised easy,0.0003497275,0.0003408714,0.9993094
less benefits socials fun team,0.9242869,0.07448965,0.0012234657
Some of the people in the team are the most amazing colleagues and friends you willll find!  If you are lucky enough to find them there are some amazing mentors who will genuinely care and support you in your growth professionally and personally.  Some work from home flexibly (the one positive thing that came out of the pandemic).  Really tangible contribution to the community especially during the pandemic.,0.00023780107,0.0002988454,0.9994634
Overworked under paid.  Parking is a nightmare. They encourage staff to take public transportation which is also lacking  Employees are not (amply) consulted when changes are considered/ implemented.  If you are not a clinical staff there is no tangible/ transparent process for career progression/ review of remuneration.  You get blamed for anything that goes wrong even if you had nothing to do with it.  Lots of red tape.  The approach (systems and processes) and behaviours does not work/ align with Te Ao Maori. Only pockets in the DHB are making changes.,0.9990252,0.00081887125,0.00015585746
The people you work with are gracious divers extremly interesting and fun,0.00041036698,0.0011016302,0.99848795
When working in the nonclinical areas for the clinical areas you must always be aware that the clinicians are under pressure and live in their highly professional and specialised areas and that they may not understand the nonclinical pathways.,0.99579334,0.0040213317,0.00018532059
Good team and good experience,0.00039796272,0.0004610489,0.999141
Schedules are not the best,0.9990102,0.00084021024,0.00014958935
Wide range of clinical exposure and learning when on the wards,0.0018040386,0.9580752,0.04012065
Terrible management and bullying from senior staff.,0.99913543,0.0007056807,0.00015887186
Delivering services & facility caring for your fellow humans.,0.00049159885,0.00052833837,0.99898
Beauracratic snout fit culture as opposed to competency long hours making up for executive and management failures constant messaging that no budget or fiunds available and then complete windfalls show up out of nowhere,0.99894124,0.0008875128,0.00017130049
Good work environment and diversity,0.00026119285,0.00024116451,0.99949765
comparatively less salary with education and experience,0.99289554,0.0068760016,0.00022848716
A health system that really cares about making a difference for patients and whānau removing health inequities.,0.00076231343,0.00060742645,0.9986303
But it can be tough work when health workforces are so burnt out  decades of underfunded public health coupled with a pandemic.,0.9990332,0.0007959508,0.00017093276
