Comment,Negative,Neutral,Positive
I recently did an interview with WBG for a HRBP position. It was a 4 panel member interview. The questions are mainly competency based questions. Example describe a time you made a mistake with serious implication what was the mistake how did you manage it and what was the outcome? I will encourage anyone preparing for such interview to attend prepared. Study the JD and ensure you have two questions set for the competencies listed on the advert. One positive and one negative.,0.004221661,0.99559695,0.0001814278
Apply to position advert with cover letter and CV One interview  review of experience skills and knowledge of M&E and questions on how to strengthen data use at health facilities,0.0022014969,0.99698585,0.0008126494
Very nice and smooth.  I like the way the whole process was handled. From the invite we were asked to submit all our documents in one pdf and can reach out to the hr manager anytime for questions as the case may be,0.0020920145,0.06795522,0.92995274
It was a very interactive and comfortable process the interviewwers made me feel comfortable during the interviwe session there was no form of intimidation the process went smoothly. I was asked if I had any question for them at the end of the interview session.,0.00048738185,0.0047096773,0.99480295
The process was seamless. It was a one stage interview where both technical questions and HT questions were asked. The process took about 20 minutes. The major questions centered around supply chain management,0.00068781135,0.9957769,0.0035353538
Very organized. Screening done after accounting skills test. We were 30 and screened to 5 at the end. After whivh we had a panel interview with finance and hr personnel.,0.00036328213,0.99818605,0.0014507027
It was not too tense. The applicant needs to be extraprepared and composes foe the job. Knowledge of the organization's operation is equally imperative. Thus an hour dedication to Fhi360 website would do.,0.000799039,0.99861455,0.0005863717
Hiring was a bit slow and interviews kept being repeated. A telephone interview followed a face to face interview and they weren't readily forthcoming with post interview feedback. On the flipside once they had taken a decision the rest of the process was quite speedily smooth.,0.96478593,0.034965545,0.00024854773
Submit your Resume and if you are qualified you are contacted.  My interview was over the phone and the questions were basically to assess my knowledge of the position I was applying for and to check my human resource experiences and skills,0.0012062244,0.9985753,0.00021847902
There was definitely use of some scare tactics but overall not too bad. Just be confident with yourself. Multiple people in the room questions all related to the job experience. If you say you know how to do something make sure you are certain they will ask.,0.0006518578,0.99869686,0.0006513374
It was quite interesting the process was different from the usual interviews by employers. All in all the stages are about five including a 6hour test to be taken at your convenience.,0.0010617251,0.9766311,0.022307122
Applied online and received an invitation for an online case study test. The test covered areas such as personnel management cultural diversity financial modelling and analytic thinking. It was a remote test which required me to answer the questions and email my answers within the set time period of 3 hours.,0.12974088,0.8693975,0.0008615132
The process was easy especially if you are an experienced candidate. Most of the questions they ask you are related to the role you applied for. there are about 23 interviews before they give you the job.,0.0026970655,0.9769495,0.020353487
I would love to be as detailed as I possibly can hoping that my experience helps someone out there.  My interview started with an aptitude test (by plum.io) after which I got invited for a 1hour phone interview with a recruiter in Kenya. A week later I was sent an exercise and asked to submit within 24 hours.  Finally a week later I was called for another phone interview then after that I was told I didn't qualify for the next round of the interview.,0.9917787,0.00810621,0.00011501541
