Comment,Negative,Neutral,Positive
You will learn a lot from working with ActionAid Nigeria,0.0006253096,0.99840766,0.0009670656
There is no disadvantage of working with ActionAid Nigeria that I know,0.00037944966,0.99850625,0.0011142695
Learning environment with sense of family.,0.00022588237,0.0003927166,0.9993814
Lots of work load. By this staff take care of their wellbeing.,0.9943837,0.0053142672,0.00030199895
Great Policies that supports staff,0.00039381746,0.0002932084,0.999313
None that i know of for now,0.00027412045,0.9991616,0.00056429673
Has very technical staff Great opportunity to learn from PeersWork autonomy,0.00060960784,0.0010369858,0.9983535
Salary and compensationlimited growth opportunity,0.9991202,0.0007199666,0.0001598663
Amazing Experience I enjoyed the work,0.00093462225,0.0023184852,0.9967469
None staff are all good people,0.0007681782,0.99804926,0.001182467
Meaningful work Fair amount of international travel Flat structure Chilled work environment Creche for nursing mothers,0.00027505134,0.0002719086,0.999453
Pay not so great  workers in developing countries paid a fraction of what colleagues in Western countries are paid for doing thrice as much work.  No real career progression... one can spend up to 5 years in a given role. Augmented by salary step increases and marginal (bi) annual reviews.  Highly politicized environment  Slow pace of work no real sense of urgency.,0.99905556,0.00079168595,0.0001528366
"Great Place to learn how to ""sink or swim""   If you can survive the working environment you can survive any working environment",0.0005915828,0.0021851857,0.99722326
Pay isn't that great compared to other nonprofit organisations.   Policies aren't spelled out clearly. Also roles and responsibilities among staff aren't clear so you end up doing everybody's job except yours.,0.99907684,0.0007677132,0.00015543502
Flexible working environment nice people,0.00017213935,0.00018504965,0.99964285
Still to not. But no social life between staff,0.71585375,0.28379652,0.00034980688
One of the best reasons to work at AHF is job security. Unlike many other health development partners the job is till you want to retire,0.00091342133,0.0011836994,0.99790287
The Nigeria office do not have autonomy with the Africa Bureau office taking some of the decisions for different countries which might not be in the best interest of the country,0.99897873,0.0008705829,0.00015071055
It is a good environment to grow your career,0.00019517871,0.0002153846,0.9995895
Nothing available about their weaknesses during my stay,0.00025352967,0.9991893,0.00055724796
Saving life and putting a smile of the face of those who had lost hope,0.026068453,0.20291322,0.7710183
Workplace politics Whom you known syndrome,0.0004897786,0.9987583,0.000751872
A job of continuity and no fear of loosing it,0.20621882,0.49114618,0.30263498
No pronounced structure of growth through the ranks,0.9303493,0.06946146,0.00018924466
We are patient centered can go extra mile to ensure patient get the best of quality care.,0.06847896,0.26722047,0.66430056
Does not bribe not a PEPFAR project.,0.99495256,0.003693555,0.001353958
They recognize hard workers in the finance department,0.4082683,0.31813788,0.2735938
Salaries could be better as they are below market standard,0.99697673,0.0028792308,0.00014404791
A lovely environment to learn and grow on the job.,0.00021290456,0.00021845476,0.99956864
Time zone differences might be hard to follow through on.,0.9962476,0.0036538835,9.852062e-05
Good working culture Collaborative team Good team,0.00018750245,0.0001911873,0.9996213
Time consuming  Demanding Too many meetings,0.9991954,0.00061680895,0.00018782819
Wonderful people great working environment flexible,0.00021044073,0.00020018006,0.9995894
Can be extremely time consuming for volunteer job,0.999161,0.0006599237,0.00017915548
