Comment,Negative,Neutral,Positive
It was a pleasant process with no difficult or tricky questions. There was the supervisor and another professor of the department. I also was asked for a short presentation of my work/thesis.,0.0010658598,0.97926545,0.01966877
It was a very professional interview. Most of the questions were related to my previous relevant experiences. The answers were encouraged. I was given enough time and comfort to answer the questions.,0.0021688433,0.09311715,0.90471405
Short Introduction about respective department by Interviewer Introduction and presentation about candidate academic background and accomplishments. Few technical questions by interviewer. Chance to ask questions from your side. Closing statement by interviewer. Done.,0.9897893,0.010070088,0.00014065727
I had inteview with two Professors. The interview process was easy and direct to the requirements and specifications of the position. No personality or IQ tests.  It took about one hour.,0.006058082,0.05243016,0.94151175
2 rounds of interviews  in which my technical knowledge was tested as well as my suitablity to living in Norway. I was interviewed by 4 mebers of staff 3 being academic and 1 coming from the HR department.,0.08623569,0.91346055,0.00030368209
The first step is the evaluation of Diploma supplement CV and cover letter. Then a shortlist is published and you are asked to write a research proposal (based on the PhD topic and some relevant journal papers). Finally there is an interview fairly relaxed and informal. The professors of the committee are very kind and patient.,0.00039405667,0.005517302,0.99408865
two rounds of interview.  First interview is general and easy. Second interview is more specific. Two people from the faculty and one from HR department sit there. They asked for a paper review which I did. They give you feedback on it. They also asked for a research proposal but if your profile is relevant they still interview you if you did not include the proposal.,0.0023514759,0.9973859,0.00026258678
We had a meeting in person where they asked about my experience as a janitor. Asked me to tell them a little bit about myself. Standard interview questions like strengths weaknesses etc.,0.0005120968,0.99914813,0.0003397581
Apply via mail and then they select candidates based on grades from the course. Based on this they decide to give you a position or not.  There might be some startup meeting to tell you about the tasks then you can accept or not,0.0012330648,0.99844307,0.00032387458
it is through skype with the professor and a post doctor. It takes about an hour and  the questions are quite detailed. A presentation of the previous work is required including publication and thesis.,0.046246335,0.95343226,0.00032141517
We first exchanged a few emails then spoke to the professors supervising the position. The interview lasted about 45 minutes and a few weeks later I eventually got an email saying I got the position.,0.00074479566,0.9989053,0.0003498175
Short list form the application. Then formal interview and trial lecture with a scientific committee and students representative. Discussion with other members of the research group Final decision and negotiation of contract with details of research funding and laboratories,0.00033186795,0.9991794,0.0004887565
Applied this position on December 2018 interviewed over Skype on February 2019. Notified as the second in a waiting list on April. Notified the selected candidate accepted the offer on May.,0.0050395518,0.99479747,0.00016290398
It was rather informal as I did my master in NTNU.  They did ask about my masters degree and whether I have the passion and motivation to start PhD journey,0.00033713426,0.99919075,0.00047220167
Applied through jobbnorge.no received interview email after 2 months. After interview they asked me to provide IELTS score. So i started preparing for test and appeared after 15 days of my interview. Fortunately i scored good in test and provided my IELTS scores. Finally i got selection email one and half month later and accepted that offer.,0.0011172895,0.99416405,0.0047186525
Mostly ask the grades and some basic knowledge of the subject. They need to understand of you are able to guide the students. Be open people in Norway are easygoing,0.00060910906,0.99799526,0.0013956534
Found position posted online. Wrote application motivation letter CV and applied for the position. At the interview I was asked questions pertaining to my motivation for getting a PhD my experience in previous research work ethics and what I expected from my PI. No tasks or case based problems to solve.,0.0017427219,0.99797577,0.00028143387
2 rounds for the interview. Fellow from HR department with my two supervisors hold the interview. A very good conversation. The interviewers are very nice to talk and we have good communications on interested questions. The interviewers intended to test the Language level (if you are an international student); Professional level; Background; Motivation etc.,0.0002270839,0.00058603054,0.99918693
We had multiple skype interviews before they invited me to Trondheim to see the place and have final interview there. I would say it was very pleasant and honest interview.,0.0027976034,0.65000314,0.34719926
Only depending on your grades. The process is quite easy but of course you need good grades to get the job. They also ask if you are serious and can commit to meet the students every week and prepare for the sessions. But this is more a check as people tend to say yes,0.0006843993,0.9987078,0.0006077927
Phone call first and a facetoface interview later. The phone call was not easy due to the use of the handfree set. I was a bit lost due to I do not know the details about the project I was going to be involved in. They sent me something about it in advance but it was not enough to understand the topic. Indeed now I realize that they did not have defined the scope of the research yet.,0.99730706,0.002583494,0.00010945276
Skype interview. Fairly easy and relaxed. just technical and few personal questions were asked. There was a panel of the two supervisors head of the department faculty and department representatives. Immediately got the offer at the end of interview in an informal way.,0.0023361328,0.92282605,0.07483779
questions about my background. i had to prepare a presentation and there were many questions following the presentations. Afterwards i have been asked also motivational questions about myself and my personality. Technical questions might be tough.,0.001728166,0.9980939,0.00017792673
I was a master student and continued to the PhD and therefore the interview was not so difficult. Got questions about my past experience as well as my abilities to do independent research and writing.,0.0007305545,0.99814224,0.0011272102
