Comment,Negative,Neutral,Positive
 Diverse group  Feedback,0.0005247096,0.99703383,0.0024413913
Can´t come up with one,0.0013355147,0.99834406,0.00032033466
I acquired effective communication and negotiation skills in order to build relationships with major clients and to ensure they do not turn to competition.,0.005425391,0.12299778,0.87157685
Not easy to obtain a meeting but this aspect really helps you coming out from your comfort zone.,0.011608494,0.95033276,0.03805881
Great environment Great people international friends amazing experience,0.00020646003,0.00021174809,0.99958175
Sometimes you might now know the people you are going to work with,0.00058936514,0.99883014,0.0005805104
Excellent Boss who was very communicative. Sometimes a little too much ;),0.0035058646,0.11926443,0.8772297
Not enough of Øyvind in the company which was not ideal,0.99870586,0.0011579142,0.00013617285
Yearning good salary prove my knowledge as the best as possiblegood entertainment and work hard for company growth through enjoy our environment....,0.00039081505,0.00047760544,0.9991316
NO words to tell about cons yearning money and extreme growth of our life style is not fall down,0.003929314,0.9937564,0.0023141813
Near MRT and colleagues were so nice and helpful,0.00014779142,0.00021228856,0.99963987
Benefits are very bad including forced leave.,0.99888295,0.0009854536,0.00013153015
Near to MRT. Nothing else.,0.00029339103,0.9978188,0.0018876775
"No staff appreciation. try to respect your teacher instead of treating them as labours. Try your best to say ""happy teachers' Day"" when the actual day comes instead of keeping silent. Always overload the teacher and yet expect a high quality of teaching. Look deep into the policy before implementing it. Some of them turn out to be nothing.",0.99490756,0.0046934425,0.00039897076
none at all sorry for the staff,0.0006057275,0.99913543,0.0002588475
no advancement opportunity. Terrible top management top down management cant even make the right decision and causing the staff below suffer. Office politic is making it hard to work with other departments. No appreciation or anyhow from top management. bad pay hard work no work life balance. staff have no motivation in work due to the terrible management. management do not take in advises.,0.9991862,0.0006515027,0.000162213
Very accepting company patient helpful and are willing to give the time to help you grow  People are friendly within the company and very lovely to work with as not every company can be.,0.00042368082,0.0006716067,0.9989047
Can be very demanding at times and difficult if you are on the street in the constant change of weather,0.99908304,0.00074402615,0.00017298564
Hourly Average Salary The Working Language is English,0.96888226,0.030668346,0.00044938765
Difficult Job So Much Responsibility Bad Weather,0.9984831,0.0013565175,0.00016028262
Training team work support vacation pay permanent contract,0.01915804,0.9317692,0.049072742
You have to get 2 sign ups per shift that is sometimes difficult,0.99873096,0.001098911,0.00017017814
Rewarding to feel like you're working for a good cause. Really does expand your comfort zone really can significantly improve a talent for sales and interpersonal skills. Social job  for the most part very nice coworkers. (Only the highest up I had issues communicating with) Fair pay flexible hours. Great Team Leaders.,0.005687489,0.0044359444,0.98987657
Very stressful. Management's idea of encouragement is a stern office morale of 'no limits! no excuses!' and to not discuss or even acknowledge human error. Not very uplifting. Many get disheartened when they don't meet team goals. Have overheard backtalk and mild sexism coming from higher ups. Tiring work 5 hours on your feet walking no real option for bathroom breaks. There can be uncomfortable or confrontational situations  you often walk alone which I think is a bad call. Door 2 Door crew should operate in groups of at least two. Lunch breaks are had in stairwells and parking lots. Occasional obligatory meetings take up time you're not paid for.,0.9988456,0.00097324315,0.00018111817
Brilliant workplace to attain valuable sales experience. I was able to learn how to achieve results in tough situations.,0.00053341617,0.00054123363,0.99892527
Highpressure job not for everybody. It takes a toll on you overtime,0.9988959,0.00093565433,0.00016840998
Travel. Meet new people and help new people.,0.00022935733,0.004167259,0.99560344
Waaaaay too much focus on money and donations,0.9969777,0.0028760722,0.00014627198
Casual and fun work enviroment,0.00018577623,0.0007145923,0.9990996
Sales pressure and language barrier,0.9989936,0.00087202125,0.0001344762
Full salary focus on workers welfare,0.95384294,0.044666328,0.001490734
Less organized research labs i.e. a bit independent,0.9973863,0.0025074705,0.00010628638
Nothing positive about this university as an employee,0.99873334,0.0011362502,0.00013034114
I feel compelled to share my harrowing experience as an employee at NTNU in order to caution potential job seekers about the terrible treatment and discrimination I endured. This university demonstrated a shocking lack of expertise and understanding of basic rules fostering a toxic work environment where employees constantly competed against one another. From the moment I joined NTNU it became painfully evident that the administration had little regard for its employees. Discrimination was rampant with certain individuals receiving preferential treatment while others were subjected to unjust treatment and bias. The university's leadership seemed entirely ignorant of employment regulations exacerbating the distressing situation. The work atmosphere at NTNU was suffocating and disheartening. Instead of encouraging collaboration and support the university thrived on creating an environment filled with animosity and mistrust. Every employee was on guard fearful that their colleagues would undermine them at every opportunity. This toxic culture impeded productivity and made it impossible to focus on our duties. Effective communication was virtually nonexistent within the university. Important information was often withheld or poorly communicated leading to widespread confusion and chaos. Requests for clarification or assistance were met with indifference or even hostility leaving employees feeling isolated and frustrated.,0.9990388,0.0008085961,0.00015252695
As Norway's largest university NTNU offers a good working environment for both local and international. NTNU holds an excellent diversified communities where people from more than 60 countries work together and live together.,0.00018210754,0.00026480653,0.999553
NTNU has 3 campuses  Trondheim Aalesund Gjøvik. Most of the activities and opportunities are also Trondheim (main campus) based and thus the other 2 small campuses are deprived of somewhat extent !,0.1767466,0.822923,0.00033038596
The salary make sence when living in a TRD which is relevently a cheap palce in Norway.,0.0010683116,0.99747866,0.0014530343
 Very bad media for the international researchers.  Lack of respect for the talented people  They consider talented forigeners as temporary researcher and then do not let them to and support them for growing up their ideas.  they have a limit of 3 years of work in teh institues!  a lot of competetion between the professors since the labs are shared.  lots of people try to pull the rug under foot of eachother.  has a bad raputation for mistreating a foriegn professor in 2020 and firing him.,0.99833727,0.0014988994,0.00016381577
I met with respect from my Supervisor had very good experience overall. Appriciate working there.,0.01124799,0.52192605,0.46682596
"Apparently since very recently (may be a year ago or more) they have got a descrimination policy against people from countries such as Iran China Russia North korea etc (Disclaim: do your own research of course they will say it is NOT true but there were articles studying that as well as just go there and ask yourself). If that is true then there is no hope for the future of this ""university""! Disclaim again: do your own research I take no liability because all universities who do this do not say it publicly hence there is no easy way to prove it but you can look at statistics or follow journlists who look into that. It HURTS more when they claim they treat applicants equally but they have a policy against some nationals! anyway just do your own research on this topic. Too much independence if you get training of what you do not know you will succeed better and faster",0.9920631,0.0077705793,0.0001662255
Got experience in academia theoretical experience,0.00032269125,0.99769956,0.0019777976
Low salary parttime limited job opportunity in academia,0.99917847,0.0006609856,0.00016054805
good benefits opportunities for conferences. generous IT equipment.,0.00018015577,0.00018290627,0.9996369
dependent on relationship with supervisor,0.0025395676,0.99542856,0.002031872
International interdisciplinary research opportunities good collaboration environment and professional.,0.00015981113,0.00018055704,0.99965966
Temporary contracts and low income are the drawbacks of working at NTNU.,0.99912566,0.00070751173,0.00016685021
Challenging yet a lot of fun,0.003503551,0.06012618,0.93637025
Low salary and life depend a lot on the supervisor,0.9991431,0.00069551956,0.00016144868
a lot of resources to do research nice social activities,0.00017518042,0.00019910456,0.9996257
professors can be a bit hands off,0.99727124,0.0025282712,0.00020041128
Interdisciplinary projects across borders in both industry and academic institutions including lots of space to develop in the direction you choose. Also great colleagues!,0.00015902467,0.00023473224,0.9996063
It's academia. So both political and cynical in nature plus low pay compared to industry and low job security unless you have a tenured position.,0.99905545,0.0007811252,0.00016339308
Nice place to work for scientific personnel,0.00023124907,0.00024568936,0.99952304
Winter weather is a challenging factor in the country,0.99878734,0.0010843893,0.00012817579
great pay while working towards a good qualifiacation,0.00081494136,0.00060465187,0.99858046
career guidence is limited with respect to transitioning out of academia,0.9953447,0.004505312,0.00014993107
Work life balance at Norway,0.00071558537,0.9977952,0.0014892312
Harsh weather in the winter time,0.98026353,0.019471942,0.00026458254
its free and very easy to use,0.00043370633,0.0005631128,0.99900323
the api could have had more functionality,0.0006772301,0.99865085,0.0006719554
NTNU offers great programs for PhDs as well as competitive pay.,0.00031204935,0.00030352492,0.9993844
Trondheim is cold with long winters.,0.96697694,0.032682627,0.0003403765
Salary Calm environment near to Oslo,0.00040280048,0.0031933244,0.99640393
Low research quality compared to the difficulty of acceptance for PhDs,0.99911624,0.00073347864,0.00015035344
Ok education and research good labs,0.0007369433,0.9874506,0.011812506
No job counselling for international students,0.99894804,0.0009146572,0.00013734761
Learn alot about the subject you review.,0.0005243039,0.997886,0.0015896983
Takes some time of your study day,0.050423577,0.94818676,0.001389686
