Comment,Negative,Neutral,Positive
Good and professional relevant to the job. They continued to interview me even though I did not have the required experience and qualification. I felt herd and I was given a fair chance at the job.,0.0015087127,0.0045415205,0.9939498
It was average and the panel seemed okay to converse with. It went smooth although I did feel it was a little biased. Regardless overall it was an average experience,0.0006751598,0.9987664,0.0005584424
Simple and Personal life questionsLast job discussions and experiences Personal Hobbies and Professional Career.The Process is very standarized with 1st interview face to face with half hour long there are the HR and Hiring department heads mostly who conduct these interviews.,0.9743644,0.025369026,0.00026657496
The interview was really good and truly in a friendly environment and they listen to your answered properly and they try to judge your side of troubles and the need for the job.,0.0016044206,0.016878182,0.9815174
Lengthy and slow. Job related questions . Overall took 4 months. Phone and panel interviews. Written test which was job related and field related. Test was easy and simple. Interview was structured and difficult with phone and panel interview,0.9462304,0.05327163,0.0004979956
I applied through email after 2 months got a reply through email and phone call. I appeared for interview. It went very normal and friendly. They asked couple of question regarding personality and then about CV and then about current challenges .,0.0005184928,0.99789006,0.0015913778
It was very good experience they have ti check my confidence level. and Check my portfolio.,0.0049913176,0.5757697,0.41923898
Well i went for interview after 2 days i got call tht i m selected for job. After two days there was orientation and on next day I joined my job. My interview went good. infact project cordinator was really nice during having interview nice converstaion. He asked me for presentation as well. They jst checked my confidence and also my knowledge with regard position. At Agha Khan Health services pakistan i was on contract basis. There was their project Good thng when their project get extended then they jst prefer those who r already working. Bt if they have any vacancy then they have interview,0.0015606277,0.82622665,0.17221268
interview is most difficult specially for jobs in my interview panel as about myself and other my job related questions. like how to handle your departement difficulties and other related issues. about my advice its depend on your job applied.,0.98537076,0.014504061,0.00012527099
Once you've cleared the entrance exam you are interviewed twice in a single day by two different people. My interview was held in Pearl Continental Rawalpindi. They ask you basic questions about your personality hobbies goals extracurricular activities sports academic achievements. A highly friendly environment is kept. They'll keep you extremely comfortable.,0.0008521069,0.018516783,0.9806311
