Comment,Negative,Neutral,Positive
Starter Experience was good as far as learning curve goes,0.0007078942,0.98521686,0.014075328
There are a few communication and hierarchy problems,0.06388912,0.9357179,0.00039301507
Professional Environment & Banking sector,0.0010610651,0.9966545,0.0022843126
Nothing to say like anything.,0.0005219408,0.9981509,0.0013272421
Great Organization. Greater promotion opportunity Good Environment.,0.00020523205,0.0001981201,0.99959666
Low salary. Lots of work load,0.99916995,0.0006469855,0.0001830731
good experience for new people,0.00016118953,0.00031029026,0.9995285
disorganization exploitation they do not take their gender equalities policies seriously,0.99882025,0.0010199306,0.00015980809
 Support needy and poor people  Creating Employment opportunities  Working in hard areas  Providing quality education  Construction of roads and bridges,0.009785173,0.0031803406,0.9870345
Projects nature should be long term to support needy and poor people.,0.99262744,0.00720875,0.00016372216
Flexibility opportunity for growth & autonomy,0.00018860836,0.00028020516,0.99953115
Need for training scaling up,0.0015663516,0.9961908,0.0022428662
Gives young people an opportunity to hold management positions and have job responsibilities that probably would be unlikely in any other organization Good perks housing has been nice Some projects have been helpful to the community,0.00034193398,0.0005429295,0.99911517
HR department barely exists in HQ  basically a recruiting machine. No attention given to real HR issues such as performance management capacity building work/life balance. High turnover makes it difficult to be productive and efficient.  Management in HQ make snap judgements on employees. If the judgment is negative often times the person is pushed out in a very unprofessional manner. Management comes off as being heartless. Too much focus on what donors want and not what beneficiaries want.  Work/life balance is nonexistent. Extremely late work hours high stress environment when it is unnecessary.,0.9989618,0.000886999,0.00015123583
The environment is very homely. You can dress however you like good heating and AC facilities. OK food too. Some sports opportunities,0.0027777762,0.17489067,0.8223316
crazy workload horrible work life balance open and unfair discrimination against national staff very incompetent people heading departments assistants and officers working like slaves for the higher management and HoDs bad compensations virtually no benefits very little career growth no professional trainings no vision and little strategy for the future very little say of the employee. CD/DCD/Regional Director are the Gods,0.9991874,0.0006584356,0.00015414295
Opportunity to learn; diverse portfolio; can do attitide; exposure to a lot of systems and people; drive and vision of the organisation is strong; network  a lot of people start with them; some country missions are fantastic but depends on in country management and their ability to protect the mission from hq,0.0005236608,0.0010836534,0.99839264
Terrible hr management  expect tactics and dishonesty; very long hours as expectation; limited appreciation/recognition unless you are a favourite; undermining from hq; unprofessionalism,0.998914,0.00092321145,0.00016279543
Very good training ground and recruitment process is very transparent,0.0004515089,0.00035714774,0.99919134
Very poor remuneration and limited support to field based staff,0.9992036,0.0006325908,0.00016374758
Team player focussed committed,0.008251788,0.7186008,0.27314743
diversification too much space sometime too much extra work load,0.9986072,0.0011987109,0.00019400807
Multiple type of project with different type of structure Architecture & MEP works.,0.00049451884,0.99795246,0.0015529282
I have never seen downside,0.00040847485,0.9991948,0.00039681574
Friendly environment Managers are very supportive,0.00018719559,0.00018057584,0.99963224
Late hours working Salary Compensation is very low,0.99917716,0.0006535934,0.00016931603
Opportunity to work in a leading org with some of best minds.,0.00022361237,0.00025287474,0.9995235
Structurally too complex which creates delay in delivery,0.9988593,0.0009887782,0.00015199571
They provide the best medical educationhealth services in Pakistan.  An MBBS student is almost bound to get a job abroad if he/she wants to. The level of teaching is unmatched. The hospital provides remarkable services without any discrimination. The tests held here are without a doubt the best in Pakistan. Referred by by hospitals all over the country in the time of need. The cafeteria is worth mentioning. It has a huge variety of foods as a buffet & is extremely inexpensive.  The building is great. A lot of activities are available for the medical students including swimming.,0.0004979766,0.00060751714,0.9988945
In the interview process for MBBS they prefer Alevels students over F Sc. one's no matter how capable the latter are. They fee for studying MBBS is quite expensive. The hostel for first two years is situated away from the campus so you have to travel a bit to reach the university. The stress of education can sometimes be a bit too overwhelming.,0.99890995,0.00091957033,0.00017048011
A diverse environment with full of opportunities for every one and all level of employment globally.,0.0002897295,0.00032628767,0.9993839
