Comment,Negative,Neutral,Positive
Great place to get your experience,0.00050716475,0.0010793823,0.99841344
There are no cons for this place,0.99844235,0.0013892945,0.00016838746
Having the opportunity to work at AIESEC is unmissable being part of a team of national directors and leading the network has made me grow in many professional and personal aspects. Flexibility innovative environment and growth opportunities are the words that define AIESEC,0.0010080771,0.0009788125,0.99801314
The AIESEC development model is 1 year for executive positions.,0.0005004363,0.99653435,0.0029651944
Complete freedom of work tremendously democratic. It really is purposedriven and is willing to change to meet it's purpose. Very highpaced and full of learning and growing opportunities,0.000560051,0.0005433406,0.9988966
Very low compensation and almost no benefits whatsoever which makes working here almost a charitable action. Because of the very high ambitions highpaced industry and environment and the low compensation it's hard to maintain a lifework balance.,0.99908435,0.00074651284,0.0001690894
Being an assistant at the MLC is great because you get to review previous coursework while teaching other students. Not only that it is a nice way to earn a extra moeny. Schedules were quite flexible for me.,0.00021641469,0.00033624555,0.9994473
It could be quite repetitive.,0.85543156,0.14422064,0.00034788117
The schedules were very reasonable and the library was not opened 24 hours a day so there was no graveyard shift. Also the Head Librarian Mr. Blackie is a very understanding patient and nice boss.,0.0012043009,0.0034568093,0.9953389
The size of the library is REALLY small there is barely any space for the books and tables and there is NO space for new books. It is frustrating because the FSU PanamaCanal administration limits the Head Librarian TOO much and doesn't provide the quality that one is paying or tuition.,0.9991155,0.0007079551,0.00017650316
Good work environment tasks are easy to complete and does not take much effort.  As a student to can do school work when there is no work to do,0.0005983785,0.00047152504,0.99893004
It was a part time job so there are no benefits.  It you are an active person it may be not the ideal job since it is a slow environment.,0.9983082,0.0015569323,0.00013486088
Very nice people they want the best for you.,0.0055498583,0.6044439,0.39000627
Not a lot of potential growth.,0.9986657,0.0012163778,0.000117931755
Global Brigades is a great place to work it has a dynamic environment and it's truly culturally diverse.   Even if NonProfits aren't your thing it is a great place to learn and put in practice knowledge for the benefit of others and grow professionally.  It is an organisation that is growing fast and there are a lot of projects to get involved that make a sustainable impact in different countries.,0.00018379248,0.00028595715,0.9995303
For some it takes some time to adapt to the speed and dynamism of the organisational culture but if you are prepared and openminded you'll adjust easily.,0.0015939137,0.9955675,0.0028386388
Unique experience to work abroad A good mix of office work and time in the field Opportunity to work with an international staff Overall good mission although it oftentimes takes a backseat when it comes to making hard decisions,0.0010107199,0.0022051642,0.9967841
Company is more concerned with profit than impact Financial transparency is a core value but is severely lacking Disorganized and zero transparency from leadership Lots of work for very little pay,0.9989392,0.00091206207,0.00014868061
