Comment,Negative,Neutral,Positive
 Organizational culture Networking Carreer opportunities,0.00012934266,0.00026387814,0.9996068
You don't receive a salary,0.99880064,0.0010060215,0.00019337656
Travelling is great when you reach the country for your experience however for me it came at a cost as the rest of my experience was awful,0.099754766,0.89749485,0.0027504135
Unfortunately although the aiesec organisation in your home country or university may be great or really helpful they couldn't possibly have visited all the possible locations that aiesec can take you I decided I wanted to visited South America and chose Lima Peru as I thought that it was possibly a safe choice. I wasn't collected from the airport as my buddy got the wrong day I was left for 2 days at my host family not being contacted by aiesec so not knowing what was next. I was told that if I didn't speak the language it wouldn't be a problem  it was. I was told that most they volunteers would be from Europe or speak English at least they were from Brazil and Mexico and not many could speak English. The project was only 3/4 days a week for a few hours so most of the time was boring. It was difficult to communicate with the children in the orphanage as I didn't speak the language. The other volunteers didn't often have the money or effort to do other activities or explore the city so most days were boring. Aiesec in Lima in UPC university was unorganised I only met the person who interviewed me 2 times for 5 minutes! The leader went away so a vice leader was in the office but was ALWAYS late to the meetings we started to have and she never answered her phone ever. Overall the experience with aiesec was terrible it's just students running it and not getting paid so they don't always put much effort in. I was just left to figure it out myself and try and make the most of it but I would never travel with aisec again. The only things I enjoyed we're the traveling that two kind Peruvians arranged for us (who were not in aiesec) and the friends I made.,0.99442416,0.005355532,0.00022038668
You can learn network and add great things to your CV! Young view great culture empowerment.,0.00018678336,0.0002292305,0.999584
Sometimes too much pressure for a Volunteering. Time Management  strongly necessary.,0.9959227,0.0038591484,0.00021819312
Learn from a challenging environment Social lead organization opportunities abroad highly democratic soft skills development.,0.0006753681,0.0016115452,0.9977131
Tons of volunteer work low salaries,0.99917346,0.000637998,0.00018854481
Very good project in AIESEC.,0.00017773856,0.00023811191,0.99958414
No cons in the project at AIESEC.,0.99261534,0.0072272276,0.00015747515
Excellent place to teach computer science.,0.00032871423,0.00033669017,0.9993345
I do not find any cons.,0.00035832124,0.9992206,0.00042102908
 Hybrid  Gender focus,0.0005445398,0.9977349,0.001720633
 Stressful environment  Sometimes long hours.,0.9991032,0.00074590597,0.00015088495
good environment in the offiice,0.00015516969,0.0002490649,0.9995958
In general they demand to much of the workers,0.99439573,0.005442129,0.0001622137
Time Flexibility Satisfaction of supporting the most needed,0.00054771476,0.0020955964,0.9973568
No staff development opportunities No salary revisions,0.9990289,0.0008275403,0.00014355974
Paid for travel accommodation and travel medicine.  Family was able to travel and learn about another country. Met some amazing people and made great experiences.,0.00023262447,0.00033288027,0.99943453
"Sometimes felt some discrimination in my placement but senior management didn't do anything when I brought it up.  Larger advantages to singles as opposed to families financially (everyone gets exactly the same amount for accommodation/stipend allowance regardless of the size of the ""family). Expectations vs. reality of placement were not explained well (contract before getting to placement was different from the one we were presented in country).",0.97792083,0.021723881,0.00035516015
Good environment independence and decentralised management. Every employee is empowered and reach their potential. Most of the work is in the field. It is very rewarding. Resources are available for performing the job (vehicles etc.),0.00022619397,0.00021359463,0.9995602
Sometimes there is an overload of work specially before quarters and the end of the fiscal year.,0.9973793,0.0024464987,0.0001741274
Great team and experience to deploy RCT,0.00027087447,0.00026904012,0.99946004
Opportunities to improve their diversity policy,0.9985678,0.0012888211,0.00014330093
Contact with academia and public sector good enviroment for learning,0.0001709789,0.0002353441,0.9995937
Lots of work short period contracts,0.99489117,0.0049962425,0.00011256983
 Opportunities for growth and career advancement  Competitive compensation and benefits packages  A positive and supportive work culture  A commitment to diversity and inclusion  Opportunities for learning and development  Meaningful work that makes a difference in the world  Collaborative and innovative work environment  A strong reputation and brand in the industry  Worklife balance and flexibility  A commitment to social responsibility and giving back to the community,0.00018081556,0.00016869995,0.9996505
office politics long hours and limited opportunities for growth.,0.9991773,0.0006695985,0.0001530107
Very easy to use 5 stars,0.003585373,0.024790846,0.9716238
no cons this is not applicable,0.00038700152,0.9991406,0.0004723345
The best things about MEDLIFE are the people and the support provided to the partner communities:   You will get to visit the field constantly depending on your job which is really what helps you understand your job/mission better and see the MED Programs team in action.   You get to travel internationally to other locations and the org has become almost completely remote since COVID started which means you can work with your pajama pants next to your dog.   It definitely is a work hard/play hard type of culture. However if you are goaloriented flexible and able to work in fastpaced environments you will thrive.   If you bring value to the organization you may be considered for a manager position within a reasonable time instead of having to wait 10 years to go through several positions on an org chart.   No real hierarchy. Interns management and the CEO will all be together in meetings constantly which means if you have great ideas speak up because you can be heard.   Small team allows you to easily foster a relationship with colleagues and management. I started as an intern in 2016 and by the time I left I had friends who have become part of my life.   The CEO (Nick) is someone who constantly supported my career/life goals even if that meant moving abroad or making a career shift to another company. He is always willing to chat about nonwork topics too so don't be surprised if he knows your pet's name or gives you advice on opening your first brokerage account. The guy has 10 new ideas each week help him dissect the great ones from the good ones and focus on how to implement the first ones. Do that and you will be set!,0.0034460986,0.015401116,0.9811528
"Lack of defined processes. MEDLIFE is constantly evolving as the needs of its stakeholders do too (partner communities and Chapters). Make this ""con"" your pro. You can always build or suggest new processes based on best practices whether you are an intern or management.",0.99796,0.0018848231,0.00015522988
Positive group of like minded people friendly coworkers Inspiring work Remote/work from home flexible,0.00014974103,0.00016000465,0.9996903
Can be demanding at times (especially due to covid restrictions and travel) irregular hours,0.9990652,0.0007631922,0.00017164343
Mission is greatHonest interest in making a positive impactFlexibilityGreat group of people you'd work with,0.00021373112,0.00026244036,0.9995239
Can be exhausting  long hours/weekendsPay is not great but don't think non profits can do a lot here,0.999076,0.0007472132,0.00017677851
