Comment,Negative,Neutral,Positive
You need to be persistent and focus on your Job,0.0066339755,0.99249387,0.00087206747
be present all the time,0.0007244189,0.99402606,0.0052494835
Good Hospital High tech  good management good personnel,0.00042887082,0.0004555362,0.9991155
Far from my house when I’m on call especially,0.98953515,0.010085012,0.0003798456
AIDS Healthcare Foundation is a BLESSING  both to people working within the Organization and people / organization who needs help / assistance. They reach out and touch people's lives all over the world,0.00023301395,0.00029788903,0.9994691
To enhance further the practices / processes within the organization (AHF as a whole).,0.0021979117,0.99627113,0.0015309977
I believe in the mission vision and direction of AHF. It is helping PLHIVs and their families globally whether directly or indirectly.  I am quite new as M&E Officer and I am taking bold steps to take my responsibilities as learning experience. I am grateful for the opportunity to work with AHF. I want to stay as long as AHF needs my services.,0.00051129307,0.0018254421,0.99766326
Heavy workload that even weekends I need to do my job.,0.9987908,0.0010016663,0.00020747633
Good opportunity MaxiMize potential Leadership engageMent,0.00014852706,0.00023695409,0.9996145
Nothing currently because they provide quality experience!,0.0008221718,0.9972888,0.0018889414
As an undergraduate working under AIESEC provided me with opportunities to both develop new skills as well as expanding my network with people I have developed lifelong connections with. AIESEC has helped step out of my comfort zone and the freedom to fail and learn,0.0007985246,0.0010050288,0.9981964
While AIESEC was rewarding for the most part I was also an undergraduate at the time and I had to balance my academic studies along with external obligations.,0.0033179051,0.9955843,0.0010978661
AIESEC really puts you out there to develop yourself. Embodying the 4 Leadership Qualities that AIESEC preaches I really felt supported and motivated to work harder and develop myself more.,0.00040271494,0.0014398104,0.99815744
There will always be moments of toxicness but those are from the leaders who lead the organization.,0.9849642,0.014854193,0.00018167091
Invested in development and continuous growth of people,0.020134395,0.025586857,0.9542787
Short work terms and limited time,0.99919766,0.00063435436,0.00016799384
i love aiesec thank you,0.0016390128,0.015333482,0.98302746
long process but worth it,0.034313854,0.9579889,0.0076973154
Amazing room for growth if you are proactive enough to grab these opportunities.Network access is amazing; you can make international contacts and meet top tier business people.,0.0002442989,0.0002910099,0.9994647
Do not expect salary subsidy or incentives as it is a nonprofit.Quick turnover of roles may not be enough for slower workers.,0.9983865,0.0014470485,0.00016646257
Dynamic change management lot of responsibilities diverse working environment lots of conferences and international opportunities huge network of active and young leaders,0.00027995455,0.00033490613,0.9993851
super time consuming doesn't go in pair with your studies,0.9990883,0.0007413643,0.00017028465
Wide network of current and alumni aisecers,0.00036579146,0.99014145,0.009492733
Relationships may wane as alumni age,0.99852836,0.0013538804,0.000117731826
When opportunity comes career growth is attainable with hard work even for new comers that deserves it.,0.0039082225,0.012517339,0.9835744
Not competitive salary compared to other companies.,0.9988763,0.0009755341,0.00014812383
Better better better better better better,0.00039615596,0.99587196,0.0037318475
Long hr long working hours,0.999134,0.0007101151,0.00015590579
 There are many relevant training  You get to meet a lot of people  You will learn a lot values  You get to know the value of your selfworth,0.0016848407,0.35250172,0.64581347
 No overtime work (mostly volunteer work),0.008083131,0.9646447,0.027272208
there is no canteen there,0.0012121616,0.99819833,0.0005895582
work environment is not so good,0.9989448,0.0009089759,0.00014619778
