Comment,Negative,Neutral,Positive
First you have some speed activities with other candidates. After this you have an interview with the team leader. The interview has many questions about you (strengths and weakness) why do you want the join them.,0.06471769,0.93504786,0.00023440832
Candidatura dinâmica de grupo com mais 2 pessoas e 2 pessoas a avaliar entrevista de uma hora de duração com 2 pessoas também série de atividades 4 no total que é necessário realizar e ser bem sucedido,0.00036001246,0.9968664,0.0027736467
The process starts by submitting your CV which is then followed by a group dynamic activity and then an interview. The group dynamic was interesting the interview was not hard but it did not go well for me.,0.0017457913,0.9977798,0.00047447984
The recruiters were very informal. They asked personal questions and then more technical questions related to the job. The recruitment process was easy and allowed me to find out more about the organization and myself.,0.0047362163,0.51790184,0.47736192
Thorough and complete. It was based on a group dynamic followed by a personal interview. The group dynamic placed us in two different situations the first was a moral dillema and the second was the creation of a project related to one of the UN 's SGD.,0.0003739672,0.99914134,0.00048469345
1st  a littler video introduction about AIESEC2nd  group dynamic with a few scenarios (choose an SDG and justify investing in it; it's the end of the world and you have to choose 9 people to go to a bunker the group has to reach consensus etc)3rd  individual interview,0.011638371,0.9881071,0.00025455255
I got interviewed at my college by two girls. They had the questions on their computer and just read them and wrote what I answered. Also showed me a power point about the company.,0.010400043,0.97309285,0.016507136
It was amazing they have really cool values and they were super nice in the team interview and individual interview. They started by explaining AIESEC's mission and every area in the office.,0.00019302094,0.000619582,0.9991874
First I had an individual interview with standar questions. Then I was invited to a group dynamics session where we had to solve a case study and we were evaluated based on our iteraction.,0.00048770066,0.9990458,0.00046649366
I applied on online was selected and received a call and got an appointment for interview. The process was very easy and confortable they were very professional and clear in their proposal.,0.0025810464,0.014222892,0.983196
