Comment,Negative,Neutral,Positive
Dinamic job and good collegues to work together with tha same aim,0.004685331,0.028798252,0.96651644
I don't find anything of wrong but the communication flow can be improved,0.00071125594,0.99896944,0.0003193021
 Self awareness   Internal Environment  Freedom to create and implement  Leadership development,0.00022662464,0.00043861536,0.99933475
 Salary  Working Hours  Information Management,0.98042417,0.019134147,0.000441644
you'll learn a lot with youth people and work based on your purpose and passions,0.0005430703,0.9879139,0.011543127
it's not wellpaid and the age range is super short (1824 years old),0.9991678,0.0006773036,0.00015496544
Basically you learn how to interact with people from any part of the world.,0.0005113227,0.99775535,0.0017333296
It consumes your university time and requires your gull commitment otherwise you will not succeed.,0.9987348,0.001091143,0.0001740079
Great personal development growth opportunities,0.00022892367,0.00022195748,0.9995491
Work Life Balance salary does not fit working hours,0.99908245,0.00075022486,0.00016731289
Abovemedium salary (Portugal) good hours empathetic superiors,0.014493615,0.4517579,0.5337485
I could not find any,0.0007591181,0.99894994,0.0002909136
Impact work and able to be creative,0.00066857314,0.000930485,0.998401
The maneger didn't give me enough work to do,0.9986076,0.0012282395,0.00016413053
Good work enviroment and team,0.00030085418,0.00047902038,0.99922013
You work with people all around the world,0.00043691325,0.99856395,0.0009991645
Excellent colleagues. Benefits such as Health insurance and food card,0.000259498,0.0002526379,0.9994879
Small contracts for permanent staff and pay to work ratio,0.06904259,0.9268402,0.004117218
Professional development opportunities. Professional environment management and colleagues,0.00025356503,0.0004759775,0.9992705
Working evenings and weekends. Teaching young learners can be tiring.,0.99913824,0.00069344207,0.00016829668
The Country the other teachers,0.0007954204,0.9974158,0.0017887863
Working more hours than contracted (unpaid). Travel to offsite schools at your own cost and in your own time.,0.9988888,0.0008553479,0.00025592532
Leading University for research in many fields. You meet many smart people. Everyone is very friendly and relaxed.,0.00020142343,0.00029133222,0.9995072
Salaries are not very high.,0.9990042,0.0008437365,0.00015204313
Work environment Very good facilities.,0.0005612814,0.00078391616,0.9986547
Time division between several projects.,0.004773815,0.9949452,0.00028095517
exciting tasks and good communication with clients,0.00022724194,0.00023562655,0.9995371
lack of objective goals and hard to balance worklife,0.9991617,0.0006827806,0.00015551984
Very nice people and ambient,0.00087242015,0.010937489,0.98819005
The Project progress slowly over time,0.9974522,0.0024568334,9.0994006e-05
Close to home relatively stable salary good relationship with fellow colleagues.,0.00028725088,0.00035195213,0.99936086
Too much workload very few people do most of the administrative and organizational work or else... That eats away the time you should be spending on research which is what you are evaluated for.,0.99862266,0.0012177674,0.00015961139
One of the greatest engineering institutions in Portugal,0.00026879882,0.00040452622,0.9993267
Demanding a lot of hard work and persistence.,0.9977779,0.0020606082,0.0001615524
Depending on your PI worklife balance might be good.,0.0004282106,0.99852884,0.0010430227
Facilities equipment and coursework are outdated compared to other universities. Almost no possibility of career progression.,0.9991573,0.00067923183,0.0001634099
Good colleagues and environment. Good theory fundamentals in diverse areas. Opportunity to be part of a large set of student organizations.,0.00018051013,0.000190734,0.9996288
Small number of practical projects and implementation. Elevated number of hours of theory classes when compared to practical classes.,0.9959346,0.003882849,0.00018251235
Good place to start your research background,0.0001821067,0.00029338626,0.9995245
No real career end goals,0.00051691185,0.998806,0.00067718426
It is a great place to work,0.00023993992,0.00023949458,0.99952054
no cons to mention at the time,0.0002985895,0.99903727,0.0006641334
Amazing teachers very helpful and caring,0.00023521029,0.0002324811,0.99953234
Too much work for just one person,0.9973099,0.0024633755,0.00022669167
You have everything near byPeople are nice (in general),0.0009494855,0.9939422,0.005108382
Pays low (but it's a state University)Some ways of thinking are very retrogade,0.99876213,0.0010706787,0.00016721043
The job has flexible time hours that you can manage according to your needs. If you are a research fellow the topic of your research is pretty much on you.,0.011573088,0.6610975,0.32732934
The salary is lower than what you would probably get in a normal job as an engineer. The career perspectives are potentially not bright plan ahead what is your goal and what is the desired output of your research.,0.9987465,0.001122705,0.0001307203
Seems no one cares about approaching 25th May 2018 for General Data Protection Regulation (GDPR) (EU) 2016/679 Good startup school for politicians. Guterres said it.,0.021921173,0.9760549,0.0020239714
No purchase orders no spares slow or stalled work. Unless you start being imaginative using your own resources.,0.998312,0.0015371245,0.00015088673
Great people environment good working conditions academic and engineering spirit.,0.00026682112,0.0002677061,0.9994655
Excessive burocracy commited to projects and aquisitions,0.9984059,0.0014366809,0.00015751635
Allows schedule flexibility which is great.,0.000238469,0.0015135485,0.998248
It could incentive further a sharing spirit which rarely exists.,0.00075266167,0.9987619,0.00048536327
Good weather good location prone to creativity.,0.00019432616,0.0003583379,0.9994473
Contract always limited by limited duration of projects,0.9989717,0.00088894734,0.00013931878
Rigorous with highend projects and formidable people,0.9843687,0.01527611,0.0003551476
Tight schedules reduced lab time,0.99885607,0.0010019294,0.00014210775
Good teaching and staff at the university,0.0002840251,0.00023671988,0.99947923
I don't have any cons to add,0.0003158967,0.99925405,0.00042996998
WORK AT YOUR OWN PACE,0.0041418,0.6625822,0.333276
nothing much to say about cons,0.00033497985,0.9987494,0.0009155958
great environment at the company,0.00040914386,0.00030744242,0.9992835
not that good of a carreer progression,0.9920161,0.007862306,0.00012162435
Continuous learning in an academic environment,0.00052604807,0.0006294819,0.9988444
It is difficult to build a carreer,0.9989287,0.0009265752,0.00014470816
Beautiful amazing recommend to work,0.00072120933,0.0020624942,0.9972162
No information available for this field,0.0014168632,0.99836403,0.00021905614
Flexibility good work life balance managers are really nice and I loved the overall experience,0.0017895115,0.030289188,0.9679213
Remote working can be demotivating.,0.99879164,0.0010288219,0.00017951126
Good things only for 2 years,0.008753459,0.9565881,0.034658354
It is very hard and require a lot.,0.9989303,0.0009319612,0.00013776089
Very good climate between the workers,0.00022102326,0.0004373991,0.99934155
Maybe a bit of less competition,0.0005544328,0.9983119,0.0011336518
work life balance; multiculturalism; good teams,0.0005316028,0.0025177833,0.9969506
instability; too much work; hierarchical,0.99879164,0.0010371485,0.00017120183
Global Broadcast Solutions’s activity (which spreads over the trade development planning advising and system installation) commercial and professional result are due to the considering our partners’ needs and those problems which are reported by our contractors.,0.544864,0.45454073,0.00059528224
I cannot say what I do not know.,0.00037076048,0.9992459,0.00038329413
Good post graduate experience in Faculdade de Belas Artes,0.000164475,0.0004939994,0.99934155
Not so nice experience with some teachers in the Bachelors degree (Faculdade de Belas Artes),0.9982199,0.0016613731,0.00011871429
Safe place to work respects workers,0.0007145097,0.0007181666,0.99856734
Don't expect much progression it could take years.,0.00076706853,0.99898297,0.00024990714
Flexibility Continued learning level of independence,0.00054904993,0.024023248,0.9754277
Low salary High level of conflicts,0.9990062,0.0008322498,0.00016160416
Prestige students research buildings and laboratories,0.00070255186,0.79583186,0.20346564
lack of opportunities for promotion,0.9991714,0.0006849018,0.00014376242
Team work Collaboration Respect Expertise,0.002468442,0.0043864683,0.9931451
Some labs could use renovation,0.007895533,0.9900323,0.002072187
Good management of time between workers,0.0023220363,0.0033354613,0.99434245
valorization of workers and Career Opportunities,0.98001283,0.013224604,0.006762472
Good location. Flexible working time.,0.00022321244,0.00020581379,0.999571
No progression perspectives. Lack of feedback.,0.9987519,0.0011203617,0.0001277775
The possibility of job rotation,0.00060499314,0.99874866,0.00064639986
Workflows poorly defined by management,0.9990645,0.00078511226,0.00015045295
Public university great location and helpful professors,0.00020480482,0.00018709843,0.9996081
May be poorly organized by the management of the faculty,0.9991304,0.00071022427,0.00015937684
Research freedom at a point prestige and respect.,0.0084531065,0.98930746,0.0022394252
After reaching a point little incentive to improve.,0.9984571,0.0014399585,0.00010294246
Very good experience and nice people ☺️,0.0001927916,0.00023530555,0.99957186
I'm Always happy and  good worker,0.010022816,0.40977684,0.5802003
University with nice international ranking. Good teachers.,0.00028581027,0.00043047094,0.99928373
Limited flexibility to change PhD topic.,0.99758565,0.002289566,0.00012478563
Flexible work schedule and opportunity to pursue your academic interests,0.00023579976,0.0001999356,0.99956423
Academia is stressful at times,0.99910635,0.00073413446,0.0001594434
Incredible teachers inclusive diversity improve technical skills,0.48298523,0.4799263,0.037088517
Low wage obsolete facilities and equipment,0.99919814,0.0006298195,0.00017196235
Best university in Portugal! Great,0.00021081872,0.0002736337,0.99951553
Doesn't have any cons. Can only say good things,0.0006374997,0.9985164,0.0008460283
You get autonomy to do your work. Normally the job is stressfree.,0.0018111686,0.99732447,0.0008643483
You have low progression and the projects aren't challenging.,0.998982,0.0008718171,0.00014617422
Allows you to keep integrated in Academia.,0.0013200947,0.37880898,0.61987096
Small amount no stability and no access to unemployment benefit at the end of the scholarship.,0.9992131,0.00063231814,0.0001546154
Gives you a good inciative to how to start working on what you like.,0.00065338507,0.005436185,0.99391043
Lot's of people don't want to studie so they keep on interupting the others around them,0.9976084,0.0022727526,0.000118812866
Creative good colleagues great balance worklife,0.00028423243,0.0007244951,0.9989913
Low salaries difficulty in being promoted poor management,0.9991666,0.0006717023,0.00016180577
Good environment and wellknown professors,0.00022808327,0.00025470238,0.9995172
Lack of procedures' organizations for example,0.9990491,0.0008030888,0.00014780344
No control over entry or exit time. Study while working. Pay above average.,0.99909437,0.00074141764,0.00016419956
No control over entry or exit time. People make the job and the people here will step on you if they have to. Too much competition entices people to suck up to the professors and try to demean others. Although you have no entry or exit time you are almost always working. You can work seven days a week. Its expected from you (to be on pair with others) to read articles all the time. Therefore although you can leave early you probably will sometimes work till 20h 21h 22h and sometimes throughout the night. You almost always leave of scholarships which means if you don't get one you probably have to wait a year to apply again and since you are not even entitled to pay after your scholarship ends. You either find another job or have to live out of someone else for the whole year.,0.99881184,0.001032673,0.00015553064
Living in Lisbon is a great experience. Actually it could be the best place in the world to live and to work. Interacting with some students at UL is rewarding and enriching and the University is located at barely 15 minutes to the airport making it very well connected to the world.,0.00039929344,0.0009004272,0.99870026
The University floats among political decisions that can change at each government making the longterm planning that is essential for Science very difficult. The cost of living in Lisbon increased significantly in the past years while the salaries are essentially the same for a decade already.,0.99894744,0.0009114118,0.00014109061
Nice weather somewhat relaxed environment good and cheap transportation network some interesting cultural initiatives good sport centre gym and swimming pool for students and faculty members.,0.00017431346,0.00018501695,0.9996407
"Low salary based on the ""pay as low as possible"" and on precarious work contracts without much less social security benefits than normal workers bad research facilities minute number of opportunities to become a full employee no bonus for hard working or achieving ambitious targets complete disregard of actual teaching abilities for entering or progressing in the career as a professor several heads of department take credit in publications where they have not performed any actual work active supervision or considerable review of the papers.",0.9990877,0.0007452951,0.00016701757
Many talented and friendly people. Great results despite current situation.,0.0006382947,0.0008913249,0.99847037
