Comment,Negative,Neutral,Positive
Best place with positive vibes,0.00016932539,0.00019506413,0.9996356
They don’t offer a bonus or commission,0.99834514,0.0014240552,0.00023079928
very multicultural workplace great management,0.0010144932,0.0014060804,0.9975794
salary is kinda low and cannot be negociated,0.9988237,0.0010337234,0.00014247169
Team standard of living career development support,0.0054292344,0.012994292,0.9815765
Kids classes were very challenging.,0.99835455,0.0015326184,0.00011285241
 Great place to work Excellent work life balance  Amazing colleagues  Opportunity to travel  Focus on L&D,0.0001920151,0.00018354299,0.9996244
Personally I don't really see any con,0.0004010626,0.9991505,0.00044840714
Great team great experience and a very good position that gives you enough flexibility to work on your studies as well. You gain a lot of experience in dealing with guests on telephone calls and/or facetoface meetings.,0.0002583566,0.0002702333,0.9994715
Better paid student jobs can be found on campus,0.21857588,0.7421594,0.039264724
Collegial Ok housing Good IT. Reasonable hours.,0.0009214087,0.012613126,0.9864654
"Top heavy Subservient to its US parent Unqualified students Underqualified Faculty (""Teaching Professors"") No vision Few scattered programs...",0.9991136,0.0007364568,0.0001499202
Great overseas experience.  The school made sue you were successful.,0.00031792533,0.0006602865,0.99902177
Some upper mgmt staff was not on board in this outstanding environment,0.964427,0.034429725,0.0011432146
Flexible working environment around campus,0.00019000465,0.00018628305,0.99962366
Poor consideration of worklife balance,0.99894255,0.00089007814,0.00016743151
great atmosphere and support on campus,0.00021895813,0.00020726978,0.99957377
needs more options and courses,0.00090813346,0.9983589,0.00073301105
 Competitive salary  Focus on learning and development,0.0033821787,0.9951709,0.0014470331
 Could require a lot of work at times,0.9951534,0.0047205095,0.00012609537
Small environment incredible students wonderful colleagues.  Encourages professional development.  Good opportunities to work closely with students and faculty. Strong comittment to excellence in teaching and learning.,0.00017357669,0.0001747578,0.9996517
Leadership has been spotty and that has hurt the work culture at times.  New budgetary cutbacks have been felt across the board and a reorganization has left some wondering about the rationale for what resulted.,0.998992,0.00087182707,0.00013615734
Good people prestigious organization strong values.,0.00045017246,0.0006560273,0.9988938
"Years of poor management are hard to overcome. Some outstanding people work here but management has been too tolerant of marginal or ""bossy"" behavior.",0.99808383,0.00168838,0.00022783657
A lot of room for growth,0.1021494,0.8955024,0.0023482377
Not a lot of industry engagement,0.9877517,0.0120935505,0.00015467688
Challenging experiments Ownership need roles and responsibilities Friendly and very efficient Professors,0.0011444075,0.029754167,0.9691014
Cost of living is high,0.9991635,0.0006592702,0.0001772329
Good area Good area Good area Good area,0.00041891547,0.98053086,0.019050192
None None None None None,0.00026681236,0.9987961,0.0009370257
Gets you employed as a student so economically disadvantaged students do not starve during the semester.,0.6417899,0.116384216,0.24182588
It lacks actual learning structure. the pay is extremely unmotivating and doesn't increase each year. To this day not sure based on what some students get a 3 Riyals increase each year.,0.999067,0.0007886295,0.00014439825
Good pay really nice benefits when working abroad.,0.0003500444,0.00031645404,0.99933344
Disconnected from main campus which can be confusing when having to follow American and Qatar law.,0.9983444,0.0015409222,0.00011462394
Good opportunity to progress in career,0.00025244194,0.00024131198,0.99950624
you are only allowed to work up to 20 hours,0.0057016164,0.99364257,0.00065575587
Great environment and flexible bosses good pay,0.00062121387,0.00036411177,0.9990146
pressure regarding deadline and workload,0.99735653,0.0025448806,9.859841e-05
Great salary and benefits. Supportive faculty colleagues. Lots of research and professional development opportunities. Talented and interesting students. Housing and utilities all paid for by University. Can easily save for future!,0.00024396315,0.00018543107,0.99957055
Unclear process for title promotions.  Should be clearer. Long commute from faculty apartments to university. Social and night life opportunities in Qatar somewhat limited. Government bureaucracy frustrating.,0.9989812,0.00088719977,0.00013163895
I worked with a set of brilliant and passionate people. What's not to like about that?,0.0129107,0.5725899,0.4144994
I have no real complaints.,0.0004949693,0.9990702,0.00043483215
