Comment,Negative,Neutral,Positive
Good management interesting projects flexible schedule,0.00028277183,0.00029158886,0.99942565
There are no downsides unless the short contract,0.00044323652,0.99902,0.0005367455
Passionate members and cool environment,0.00016214419,0.00018915349,0.9996487
Low salary and a lot of work,0.9991866,0.00062470004,0.0001886831
 good way to try out functions without having a job nice people,0.0008059097,0.0012489592,0.99794513
 pressure from management although this is a student organization,0.9951951,0.0046422076,0.00016270882
Learn about cultural differences  Challenging experience  Work with branches from more than 110 countries  Work with 14 national branches  International context  Big network of alumni,0.0008954848,0.038416,0.9606885
It requires a lot of time invested,0.9986393,0.0011679099,0.00019285822
 amazing vibe from the team  great place to develop leadership skills   lots of personal development opportunities,0.00016998305,0.00016705574,0.999663
 some stress may appear throughout the journey,0.00041850455,0.99927276,0.00030875253
Great great amazing superb amazing!,0.000552194,0.006717756,0.9927301
None so far  AIESEC was amazing,0.0006084864,0.99541134,0.0039801854
International environment Freedom of speech Lots of events,0.00043717277,0.0006715156,0.9988913
Takes a lot of time and involvement,0.9983835,0.0014202824,0.00019628713
AIESEC offers the best practical experience for students. You not only get to develop the skills you will need in a future workplace but the community the conferences and the whole culture behind it will make your Uni years 10000 times better.   The great part about it is that you can be a part of various teams during your time in AIESEC such as sales marketing project coordination etc so you get an insight into what you can do in the future.   Last but not least you have the opportunity to travel and meet international students as the core of the NGO is international exchange.,0.00024284539,0.00032328765,0.9994338
Not necessarily a con but this is a volunteer position. You will also need to pay for your own expenses for conferences and such.,0.00077519467,0.9987953,0.00042941506
A place where to meet new people A place where to get internship opportunities A place where to get experience in local or international projects,0.00024089264,0.00034893482,0.99941015
Too many meetings Too much brain washing An attitude of superiority of those who are old in the organization towoards those who just want to make a change in their activities and not to get totally brain washed,0.9984274,0.0014155512,0.00015706972
Great people and organization structure. Offers many chances to travel and expand horizons,0.00022245637,0.00020439202,0.9995732
Depends mainly of the city but as I noticed some larger cities tend to be offered more chances by the headquarters. That's not great for students involved in Aiesec's smaller cities,0.9956305,0.004239787,0.00012969825
you feel find a young team  very dedicated people which will help you when ever you need and you will be able to improve your skills.,0.009763885,0.89300096,0.09723515
i think that some of the downsides would be the fact that when are brought new people to organization it would be nicer to offer them more team buildings.,0.001477708,0.9982376,0.00028458788
Great organization for young people to develop their soft skills and discover their professional interests. Provides exposure to internationalism and the possibility of being part of great lifechanging international experiences. One of the most democratic organizations in the world.,0.0001620624,0.0001807997,0.99965715
Nothing at the moment. Suitable for those willing to evaluate themselves in an objective manner.,0.00030787813,0.9990128,0.00067926385
Young team opportunities to learn international exposure.,0.0003747979,0.00053904386,0.99908614
 too many people are pulling towards too many directions sometimes in a hectic way ;  not much constancy of purpose ;,0.99893945,0.00090552313,0.00015503143
internationalism is the main word for the AIESEC experience you get to socialize and meet people from all over the world learn new things,0.00065341656,0.018449241,0.98089737
you don`t get to do too many concrete things though... it`s mostly about developing your personal and interpersonal skills,0.00030285565,0.9988607,0.0008365288
