Comment,Negative,Neutral,Positive
In order to gain varios experience in different spheres,0.00031123555,0.9983602,0.0013285723
Inadequate loads of work with a low salary,0.99919003,0.000618021,0.00019193493
Salary flexible timeshift life/work balance,0.002095406,0.98185825,0.016046388
The office not very modern,0.9981318,0.0017535626,0.000114658986
Great network upon graduation Amazing culture,0.00018216787,0.00022153609,0.9995963
Low salary but it pays off later,0.99828243,0.0014826924,0.00023494395
new experience great team members,0.00029106863,0.0004210506,0.9992879
too much demand from employees lack of managerial qualities from team leaders,0.9990392,0.00079838943,0.00016248325
You can have a lot of responsibility test your skill and push yourself beyond limits. A lot of nice motivated people work there. You might get some useful connections.,0.0053144596,0.3746222,0.62006336
Everything depends on how the EB team of your local office manages the work. Mine demanded a lot and didn't give much help and really failed at recruitment which lead to an enormous time needed to be spent on work in AIESEC. It's a volunteer organization and you don't get salary,0.9989889,0.00084116036,0.000169942
international environment training from AIESEC partner companies supportive network and opportunity to get honest feedback while developing in organization development of leadership qualities taking responsibility  opportunity to go on internship (volunteer or professional),0.0002107994,0.00023078312,0.9995584
it is nonpaid volunteer job which you usually combine with studies in university or work which is tough but it teaches you how to be selfstarter and selfmotivator,0.9951212,0.004567046,0.00031173474
social organization good expirience fun,0.00016217693,0.00020848968,0.99962926
too many hypocrites don't care about organization's values,0.99888664,0.00095977273,0.00015360091
It is a good start of career for students also it's good volunteer experience,0.00018418416,0.00020033045,0.99961543
Lack of care of employees,0.9992036,0.0006242319,0.00017213525
Best people amazing job education fun impact.,0.00023508044,0.00024127407,0.99952364
You don't get paid for your work until MC level,0.99850523,0.0013153942,0.00017933849
best experience for students in leadership development,0.00019997986,0.00020909912,0.99959093
it's not paid at all :),0.0007059441,0.9983576,0.0009363995
Development Networking Experience Passion Real change Social enterprise,0.0002463717,0.002933845,0.99681973
Costly conferences Uneducated people Distrust to the company,0.99918395,0.0006450028,0.0001710166
structurised onboarding good internal education,0.00032101714,0.0003112331,0.9993678
no transparency all about money,0.99401844,0.005853056,0.00012851376
Remote work you can work at any time,0.00039218372,0.9960334,0.0035744442
Take a long time to respond to emails,0.99907994,0.0007523043,0.00016774991
Good salary for russia moscow. Thanks!,0.0006229693,0.00050071673,0.9988763
horrible office I really dont like it,0.99906665,0.0007737664,0.00015964215
Pros:   Many various tasks for interns with an opportunity for international communication  Nice team and friendly mentorship  The corporate culture is not too formal friendly and fair,0.00033019125,0.00049715524,0.9991726
Cons:   There are few opportunities for career advancement because the office is quite small and not many employees required  Generally salaries are low especially if compared to the similar jobs in private sector,0.99900633,0.0008555214,0.00013814951
The convenient location of the office,0.00029134718,0.0002977575,0.99941087
The employee can be sacked very easily. There was no protection guarateed even though I was a fulltime employee and had a fulltime contract. Somebody does not like you and that is enough to sack you. My annual bonus was 1 500 Russian roubles which equals approximately to 20 British pounds but the CEO decided to strip me of my bonus although they had said multiple times that there had been no complaints regarding my workperformance. Everything was finalised 3 days before Christmas  when I received a letter signed by the CEO  and the letter said that according to the annual performance assessment my annual performance was unsatisfactory and no bonus at all was to be paid. The CEO signed the letter  although he was unaware of anything at all because I had been working in Russia all the time and he had never spoken to me or written to me  or in any way communicated with me.,0.9981694,0.0016856666,0.00014498715
the office is convenientlylocated it is a modern office near the underground station,0.00039493298,0.0037200272,0.9958851
"The employees all day run around the city providing private English classes to their private students during working hours and even the top manager does the same giving private classes at the office or wherever she can get a client. So it is not a company but a club of private teachers. When they get together at the office (which happens very seldom) they boast in front of each other how many classes they have and how much they earn and the main problem which they discuss is how to increase the rate. Also the employees get paid a double rate for working  on Saturday or Sunday: even if  they only worked for an hour they may get a pay for 16 hours on Saturday  16 hours on Sunday. No one ever checks if they ever work.  The top manager fully approves of this ""strategy"".",0.9985952,0.0012206321,0.0001841159
Research leadership development programs mission global reach,0.00063013966,0.028214205,0.9711557
do not practice what they preach lots of silos low morale backbiting,0.9991066,0.0007453071,0.00014806603
I loving working there because everyone is always so happy and treat each other well,0.00053018285,0.000909528,0.99856025
I have no issues love them,0.0009922761,0.9974533,0.0015544172
A good company with an average salary for my region shame that they sold the business here,0.9319666,0.059236318,0.00879709
Devry doesn't care much on their lesser offices,0.9967219,0.0031491702,0.00012885925
everything was great I grew as professional there,0.0011397783,0.9974662,0.0013940531
Challenging environment but nothing more to add,0.00023956821,0.99821764,0.0015427755
Personal interest green thinking; volunteers; fundraising like in 30th company without management & clear understanding the purpose,0.76849043,0.22988746,0.0016220636
"At last day of three months trial period I was informed that I'm ""too business oriented"" and doesn't require to a non profit.iI haven't got a full calculation of wages only 40% of it for the last month. Will try to solve this issue",0.9983858,0.0014733401,0.00014090644
Meaningful job and work on global issues,0.0008805061,0.0010254184,0.998094
Bureaucracy and lack of transferrable skills development,0.99911064,0.00073002547,0.00015930773
Works to support civilians and humanitarian law in the world's most fascinating and intractable conflicts. Very committed staff. Interesting work. Offers unbeatable life experiences.,0.00032513347,0.00030875133,0.9993661
Approach to staff is part militarystyle with strict and inflexible ruling. May make it less suitable for nonmedical outsiders with nonICRC experience. HR rules and treatment of staff can sometimes seem shambolic arcane and cruel frankly.,0.9989072,0.00093213934,0.00016059465
interesting work good social package terms of work and people,0.00033004483,0.0011422841,0.99852765
