Comment,Negative,Neutral,Positive
Need to keep updating looking for a job,0.0010436098,0.9980585,0.00089791336
Due to saudiazation left the previous job,0.0004804945,0.99902856,0.00049088255
It was good not really good but ok,0.0005432396,0.99814296,0.0013137424
Good overall not very bad,0.00050916383,0.9983248,0.0011660045
Latest equipment with JCI and CIBAHI Standards and protocols. Continous education for the latest updates and improvement of nursing carriers.,0.0005725833,0.0044718375,0.9949556
Low salary and understaff increment is very low.,0.9991861,0.0006450203,0.00016895107
Salary is always in time,0.9783277,0.02116902,0.00050331006
Bad working environment. Bad leaders thinking only about how themselves,0.999054,0.0007877312,0.00015833709
good environment  good administartion  inspiring,0.00017858185,0.0002198667,0.99960154
nothing except some irritant managers,0.7675331,0.23204029,0.00042666128
Good and stable for longterm,0.0029975872,0.3358092,0.66119325
Low salary and poor professional development,0.99918133,0.00065348484,0.00016517303
Salary on time house transportation,0.14890136,0.73286164,0.11823705
Bad management especially in the recent period the billing department does not have an increase every end of the contract  There is no development for the employee but the opposite,0.999113,0.00072134665,0.00016561868
Very nice place to learn,0.00024594838,0.00031386918,0.99944013
Saudization started and no more foreigners,0.9937762,0.0060735918,0.00015019932
helping people don't have to sit in one place,0.0009884805,0.009945749,0.98906577
old school management no clear rules or regulations no clear and proper training,0.99886143,0.0009856406,0.00015289203
With calm and good working environment.,0.00031085627,0.00043025523,0.9992588
They don't value the Staff Nurses,0.99908376,0.00075417594,0.00016212507
Nice hospital and good facilities,0.00037729027,0.00034420518,0.9992785
Need to improve administration office,0.74517035,0.2534523,0.0013773266
The Salary comes on time,0.1163191,0.8614878,0.022193134
No bonuses no overtime payment,0.83513284,0.16360646,0.0012606732
For starters it will be a good opportunity to learn.,0.00072339445,0.017734066,0.9815425
Overworked underpaid and no opportunities for growth,0.99918264,0.0006587807,0.00015852354
One of the oldest and most Modern private hospitals in Eastern Province  Latest Dental and Medical facilities with Digital transformation of its services.,0.0053375554,0.2888536,0.7058089
There is nothing to say as I am enjoying my work,0.00039653017,0.99891305,0.0006904169
Best step to a fresher to learn.,0.00079573935,0.0131525835,0.9860517
Can't be have a knowledge sharing,0.99489814,0.004938646,0.00016317189
On time salary payment. Holidays off.,0.059049323,0.024151491,0.9167992
Overworked. No charge nurse allowance. No overtime pay.,0.99918705,0.00062376517,0.00018920556
On time salary Great colleagues (almost filipinos),0.00038195937,0.0017120175,0.9979061
Low salary No overtime payment Heavy workload,0.9991786,0.00063731655,0.00018405872
Salary is in time that's all,0.00056529813,0.9986564,0.0007783802
Employee works 10 hours 6 days a week. No work life balance. No appreciation with employees. You will feel that you are replaceable even you know to yourself your contributions are valuable. Even if your manager will give you increment HR will reduce it as much as possible. No overtime but they are critical on checking your undertime.,0.99857783,0.0012311706,0.00019088502
1Learning& development opportunity  2 Grate health care providers 3Culture diversity,0.00018261989,0.0005685561,0.9992488
Depends on the department that you work on.,0.0033077253,0.99100643,0.0056857797
Diverse communication respect good work environment,0.000634366,0.0009988757,0.9983668
Doesn’t pay well and make u do stuff against the ministry,0.9991472,0.0006882057,0.00016456035
Stability Salary on date Long term,0.007196819,0.9925882,0.00021504016
Less salary No increment for 6years,0.99796605,0.0018901312,0.00014380936
Near in the City proper.,0.0021829621,0.6381738,0.35964325
Private hospital smaller income than in the government,0.9984615,0.0014140991,0.0001243512
good start for newbies  you can learn how to work in a  multi culture  environment,0.0001715657,0.0003009682,0.99952745
wages are very low and no pay for overtime work load is high resignation paper submission is 6 months before,0.99917585,0.00065732375,0.00016677014
great facility free food(ether lunch or dinner) no tax(everything paid by employer) free transpo,0.0002603341,0.00023259543,0.99950707
low salary poor management of admin not so good benefits(ex. vacation) not so great accomodation understaff,0.99915755,0.0006706615,0.00017176427
Free accommodation no utility bills free water free gas and electricity.,0.0022764928,0.0014645914,0.996259
Far from the Philippines less salary more working hours demanding workload.,0.9990306,0.000816838,0.00015260746
The staff in OR nice,0.0023523488,0.15872133,0.8389263
I don’t like my management,0.9979796,0.0017786337,0.00024190995
One of the Best Healthcare in eastern region,0.00074157224,0.0012015309,0.9980568
Long hours duty every day,0.99915993,0.00067129754,0.00016873603
The environment is ok to work,0.00082563556,0.99790657,0.001267921
The attitude of the people must change,0.91179776,0.08660448,0.0015976883
Good dealings  Big group of hospitals Well equipped,0.00032989748,0.00045108632,0.99921906
Some branches need more staff.,0.003627774,0.9947589,0.0016133608
Stability equipment colleges name and location,0.0006610595,0.99641633,0.0029226758
Salary Administration KSA learning and progress,0.00084101816,0.77717,0.22198896
Good company to work in,0.00040162826,0.0003383917,0.99926
Saturday is not always off,0.9937291,0.0060630296,0.00020786481
good name salary on time,0.005034591,0.0070078894,0.98795754
one man show company if you satisfy CEO by any way you will promote if you only try to make your job honestly you will be fired CEO is acting like KAFIEL you have to forget WORK/LIFE balance at all,0.99865204,0.001169497,0.00017840625
Good place to learn and get experience,0.00024454502,0.00025951568,0.999496
Work stress is unbelievable and No coordination between departments,0.9991246,0.00070616114,0.00016928368
Nice Place to work at and you will get good experience,0.00028111742,0.00027409487,0.9994448
Salary & benefits & Strategic HR in the Group must issue standard HR Policies & Manual for all procedures with Forms to cover both Egypt & Saudi Arabia.,0.36051804,0.6386396,0.0008423295
Nothing that they are good at it,0.00050552824,0.9988018,0.0006925927
Very bad management in dealing with employees,0.9990767,0.00076269894,0.0001605643
Good people to work with,0.00022812354,0.00023549922,0.9995364
Maybe a little too ambitious at times.,0.0016141555,0.9972204,0.0011655024
The salary came on time just about every time. The accommodations were decent. The teaching and classroom resources were topnotch.,0.29790983,0.6493482,0.052741915
Management was highly questionable at best and downright unqualified at worst.,0.9989768,0.0008863531,0.00013688931
The college's vision like many others appears on its face to have value and merit. However BSC has done minimal preplanning to operate a complicated training academy outside of the USA. The pay is average but complications for employees exist that include not having a work visa issuing vastly different employment contracts for the identical faculty positions. This has caused confusion and any redress issues are not being handled at all. BSC already has a few active labor cases in the Kingdom.,0.99842596,0.001437365,0.00013672734
The absence of a sound operational infrastructure has created chaos and at times a hostile work environment. For example there's no academic platform no curriculum syllabus lesson plans pacing schedule or examination protocols. This has created academic dishonesty events and does not comply with BSC's contract. There is no employee handbook no P&P's no job descriptions no professional development. The college's LLC is not fully operational at this time so payroll issues visas for spouses and others exist.,0.9990858,0.00076309516,0.0001511159
Flexible timingsSupervisors are extremely helpfulhourly pay,0.00029168712,0.0002529074,0.9994554
No specific location of work,0.00046678854,0.9982817,0.0012515216
Job security  Good vacation system,0.00043632346,0.0004572539,0.99910635
You do everything  1 dominant nationality,0.0005295576,0.99832743,0.0011430209
Good creative positive multi cultural organisation,0.00014985853,0.0001889478,0.9996612
Workload no bonus since few years,0.99729556,0.002603656,0.0001008198
Flexible timings learning opportunity Brand,0.00017260111,0.00042845134,0.99939895
Poor salary compared to industry standards Bureaucratic Biases and politics policies only in name no work life balance,0.9991714,0.00067295454,0.00015569097
heavy work load related to job,0.99849176,0.0013780768,0.0001300504
No dependent fees and flexible work environment,0.0020535202,0.0010048209,0.9969416
People you get to meet.,0.002606563,0.94489175,0.05250163
Organization too big and slow to change.,0.9991117,0.0007318717,0.00015634138
Good pay Part time Pick your hours,0.01388026,0.0078042825,0.9783155
Limited Growth Faulty management Bad attitude towards staff,0.9991844,0.000652326,0.00016315555
Part time so had work hours flexibility Good working enviornment Good management,0.00037040093,0.00040161845,0.999228
Less full time job opportunities,0.99891293,0.00094390684,0.00014310649
The reason why i would like to work at british council is the working environment & the flexibility in nature of the job.,0.006480857,0.933616,0.05990313
well I do not really see any downsides of working at British council apart from the fact it provides employment opportunities only during boards exam time.,0.009882116,0.9883441,0.0017737902
the rights of the employee are always taken into consideration friendly environment flexible time of the working hours,0.0016652349,0.0008598341,0.99747497
the system of the British Council is complicated not like any other company work load doesn't cover up the salary  not much training given to a new employee,0.9991373,0.00069376687,0.00016884907
British council team work every one has equal opportunity and diversity . there is no discrimination in British Council.,0.015527514,0.013606517,0.97086596
my work now is a temporary work and relatives cannot work together  in British council.,0.99902296,0.0008428368,0.00013421531
 Professionally rewarding to have this sort of association with an Internationally recognised educational firm.   Good pay.,0.00024685098,0.0002329179,0.9995202
 Not as much understanding on a communication level as expected but that's a minor thing. Concentrate on getting your job right,0.022965228,0.97669446,0.0003403271
motivated learners excellent location  great housing,0.00019013998,0.00021798845,0.9995919
dwindling registration  subpar teaching conditions and staff area  often toxic work environment,0.999198,0.0006321271,0.00016987625
I was a locally hired staff and without any discrimination I was getting good atmosphere in the office,0.011036584,0.08492361,0.9040398
They always wait for a commission to review the salary scale and not like the private firms,0.9984475,0.0013926141,0.0001599924
Meet a wide range of great people See places and things you wouldn't otherwise Lotsof opportunity to learn,0.0017373866,0.013487761,0.9847749
Balancing international mobility with your own family needs can be difficult,0.99863225,0.0012218677,0.00014577368
Excellent CPD offered and good managerial support,0.0014697635,0.001220566,0.9973097
Very late salary payments. Payroll was outsourced to India,0.9991652,0.0006860821,0.0001487246
good allowances to start with job,0.007919892,0.41836885,0.5737113
middle east hr not fully educated might be unfair at times,0.99871004,0.0011469435,0.00014297102
Very organized and integrated organization to work with,0.0010247696,0.0012367036,0.9977385
They can call you on short notices,0.02839366,0.97111547,0.000490838
good Work life balance within the co.,0.0004505867,0.008232079,0.9913174
not much problem with the co.,0.00042584605,0.9990011,0.0005730426
Great benefits for the job title,0.00033639141,0.00030367819,0.9993599
none that i experiencedbest manager ever Mr. Kamal Ahmed,0.0011309958,0.98321265,0.015656386
Good atmosphere good salary and benefits,0.00050062017,0.00034740183,0.99915195
Terrible materials overworked and underappreciated. A sinking ship.,0.9991787,0.00067542394,0.00014577211
reputation flexible working hours good experience for resume,0.00026027588,0.00021790252,0.99952185
far from home less hourly pay,0.9959294,0.0038746465,0.00019595
best place to work at,0.00045779688,0.0004096911,0.9991326
all thing is teh best at this company,0.14461915,0.5967964,0.2585845
Not good at all nothing,0.98922473,0.010663777,0.00011146403
Every thing is very bad,0.99801195,0.0018877753,0.00010024169
dood for start job ok,0.0009693583,0.9967456,0.002285016
management need some upgrad thinking,0.004566107,0.99479705,0.0006368142
Good learning experience and working is Worth,0.00035875916,0.00038030258,0.99926096
Okey but some time overload working,0.00048943295,0.9988256,0.0006849939
The company's upper management has good intentions,0.0014744651,0.0029381255,0.99558735
Cronyism nepotism corruption etc,0.99891365,0.0009459057,0.00014051945
Good Company to Work For,0.00055403024,0.00040703852,0.99903893
Not a Bad Company to Work For,0.007817281,0.010924656,0.98125803
Best part To work with centrepoint Explore your Skills and enhances the ability  with in yourself for any challenges.,0.0002057068,0.0005657148,0.9992286
there was no downside until l meet the failure.,0.00073203363,0.9989378,0.00033020743
The best hospital in UAE for good benefits like us expats,0.00018608484,0.00020017446,0.9996138
They are not like clinic but good hospitality,0.031176245,0.47001648,0.4988073
I find no Pros in working on that facility,0.99670464,0.0031251065,0.00017027109
Unprofessional Environment  Bad Management,0.99919885,0.000623672,0.00017748121
Timing is good flexible timing,0.0021234169,0.54136574,0.4565108
Operations are weak needs improvement,0.9956286,0.0042442284,0.00012728843
I like children or kids,0.0004054988,0.9985631,0.0010315202
Low salary...no day off...long hours of work,0.9992207,0.00059667305,0.00018255624
a holy place where I can feel God mercy and work seriously,0.00036652226,0.0005341989,0.99909925
My children education may not adapt the local system,0.9989838,0.00087193627,0.00014421712
electric engineer in ministry of electricity in egypt,0.0007237406,0.9967673,0.0025090217
Alertiq'a for conslutation in mecca almokarma ksa,0.00027736652,0.9899367,0.009785902
the  world  is   progression  day by  day  and  the  progress  of  any  country and  development    depends  upon  the   industries and  power generation so  thats  what  is  choose  electrical engineering,0.0013935536,0.99826765,0.00033881477
hypera link  electrical equiptment  ltd   sugar  mill    and  parco,0.00023973889,0.9957235,0.0040367083
they are giving Good salaries & on time,0.033617336,0.020568745,0.9458139
Poor Management Not skilled & Biased,0.9990746,0.0007645551,0.00016091915
Good values high quality  nice to work with,0.00029181188,0.00030488026,0.99940336
Berucracy lack of team spirit less pay,0.9990484,0.00079370517,0.00015796939
Hard work . Active . Love this job .,0.0052804896,0.012865992,0.98185354
Word activities excel power point,0.000731247,0.28727096,0.71199775
it provides me good opportunity to increase my knowledge and skills in the field of teaching Physics,0.00021885241,0.00033452958,0.9994466
its an engineering university.,0.0006053219,0.9951493,0.0042453585
Perfect  awesome  funny  nice  wise,0.0002310679,0.00087853154,0.99889046
Do very nice lovely job,0.0025051984,0.021784686,0.9757101
Best place and best team,0.0003765232,0.00048408262,0.9991393
Noting can be share now,0.00032112142,0.99890995,0.0007688433
Ok salary ok work hours,0.0007963287,0.9980141,0.0011896195
the covid zoom rules bad,0.023404997,0.9742218,0.0023732067
The great reputation and oriented environment for the New School attracts me to be one of its employees.,0.00036681117,0.0006909571,0.9989422
Sometimes cons may turn as pros for employees.,0.0005263858,0.99889755,0.0005759301
To work as charity not to build future,0.99835914,0.0014693574,0.00017146292
Low salary and bad management,0.99915385,0.00066661305,0.00017955531
Great environment great learning experience welcoming researchers.,0.00017090284,0.00017399312,0.9996551
I dont believe there were any cons.,0.00036542825,0.99920076,0.00043375674
Pay between 12k 15k for Native speaker Great professional development,0.00040697758,0.00055984454,0.9990332
Micro management Lots of admin but manageable,0.0008111741,0.99848795,0.0007008299
duties easy to do theres balance,0.0008187511,0.9951143,0.0040669176
salary is kinda low for life in riyadh,0.9988651,0.0010127518,0.00012219665
Good opportunities for the future,0.00020296333,0.00026993305,0.9995271
There are no cons in princess Noura university,0.00039318082,0.9989791,0.00062771124
Amazing environment that will help you grow,0.00024906357,0.0002452153,0.99950576
It's really a big place and a lot to memorize,0.9701726,0.028884491,0.0009429541
Beautiful University Professional Staff great facilities,0.0002622773,0.00022898255,0.99950874
Unprofessional work ethics disorganized in scheduling and assigning sections fairly theft of ideas and very low salary for low wages. People think that just because you work at the university that you must be getting a high salary. It's actually the opposite. You will work a lot and get a low salary and you are supposed to be OK with that.,0.99855787,0.0012591698,0.00018299604
The university itself has great facility & you get to network and create a strong community with other colleagues.,0.00017306114,0.00021055868,0.9996164
Low salary & long work hours. Most of the time is spent on administrative duties that are extremely unproductive & unrelated to the classroom experience. It is most definitely a hierarchy institute where a top down approach is applied and there's no way of providing constructive feedback to management.,0.99919564,0.0006355939,0.00016877537
Free Housing residence. Stability in contracts,0.003443748,0.022155585,0.9744007
Low income in contrast to the workload and too complicated quality assurance requirements,0.99907947,0.00075459504,0.00016589736
the place of this company,0.9990532,0.0007740446,0.00017276597
It's new company and there's no work to do,0.9963378,0.0035029538,0.00015924436
State of the art classrooms with wifi and internet access  very useful when teachingClean campus and classroomsEpodium in classroomsOwn officeBeautiful surroundings,0.00024219003,0.00021110535,0.9995467
