Comment,Negative,Neutral,Positive
Believing in speaking truth to power from an evidence based and locally relevant place,0.00044594542,0.0015233852,0.9980306
Low salary lack of funds for réal impact poor leadership abd management,0.9991505,0.00069513574,0.00015432743
Flexible management procedures and good learning environment.,0.00024928062,0.00021890133,0.99953187
Too corporate and limit creativity.,0.9990068,0.00083912344,0.000154087
Great environment and work life balance,0.0009040908,0.00085738616,0.99823856
Salary gap between expats and local employees,0.9959008,0.003935912,0.0001631931
Learning and training opportunities dynamic work working with a global leader of certain sectors,0.0003552762,0.0020531064,0.9975916
Heavy workload not transparent with salary grades,0.9990233,0.0008151232,0.00016157597
Work environment Job hours Seniority level,0.00067260483,0.99810517,0.0012221858
No cons! Best NGO environment,0.0018034545,0.008358361,0.9898381
Good expat salary grid. Focus on protection and nexus. Some good and motivated colleagues. Good working hours.,0.000258743,0.00024680933,0.99949443
"Lacking in Diversity and Inclusion. Not good at handling conflict and staff turnover. In some offices very hierarchical structure especially for a Danish organisation. Gender imbalance in management (""boys club"" vibe in SMT). Not responding to national staff concerns regarding salary grid unequal salaries and lack of benefits compared to expats. Bad career management and bad management on average. Some job descriptions not clear. Focus on getting money from donors rather that actual quality of the projets and on how the money is spent leading to projets that don't make sense on the ground. Issues of communication and not a good relationship between HQ regional office and country offices.",0.99910456,0.00074368645,0.00015176868
100% covered medical insuranceGive opportunity to internal candidatesGreat place to learn professionally and personally,0.00021552587,0.00020412488,0.9995803
Salary based on region and not on job qualificationsDifference of teatment between expatriate and national staff,0.8232966,0.17619024,0.0005130712
 Working at Global Citizen Year was an absolutely fantastic experience from which I learnt a lot and that provided me with a broad set of transferable skills as well as incredible life experience.   There are many different aspects of the job which definitely keeps things interesting : working with local partners organizing and leading trainings 1:1 coaching and mentorship emergency response and risk management.   The philosophy and approach to holistic and experiential education that Global Citizen Year has developed is one with which I strongly resonate. It was truly an honor to a part of and have an effect on a profoundly impactful experience for so many incredible young people from many different backgrounds.    For me the work was relatively flexible having a large degree of control over my schedule and responsibilities though also often working with a small team to organize events and set up and run all aspects of the program.   The broader Global Citizen Year program with teams spread across 5 countries is also a pleasure to be a part of to learn from and contribute to. It was so rewarding to have colleagues from so many different countries based in vastly different locations around the world yet to have a common set of values experiences and values that bound us together.  There is a genuine sense that the organization as a whole is truly committed to the vision and mission that it espouses and the leadership at Global Citizen Year is incredible. Each year that I worked there felt very different from the last as there always seemed to be a willingness to improve and refine the program.,0.00026865726,0.00062715594,0.9991042
 Being a team leader is not something that I could do forever. It can be very intense and at times frustrating (although equally there are slower periods in which to recover).   Given the nature of the work and the relatively small country teams there is limited room for progression. However the team leader role provides skills and experience that are highly valuable for other employers.,0.9817222,0.01747948,0.0007984302
There is adequate work life balance.,0.9375384,0.062173825,0.0002877457
The pay is large pay disparity between international staff and locals,0.99885964,0.0009790445,0.00016130271
To me the number one pro are the fantastic colleagues : the organisation is packed with intellectually curious dedicated and distinctively kind people who deeply care about the world around them. There are other pros:   A dedication to build a welloiled organisation: this is a fast growing organisation and things aren't always perfect but the Leadership works visibly hard to improve what should be improved on (systems and processes notably). One thing that noticeably improved last year for instance was IDinsight's external comms;  Real opportunities to build a career: this year most new Senior Managers  Associate Directors and Directors came through internal promotions. There are career paths for Economists and Project management roles and nonPhD holders  can apply for Economist or Junior Economist positions internally;  As the reputation of the organisation grows projects are becoming more exciting too (larger scope more influential partners  new geographies);    Generous benefit package (great health insurance paid leave): the organisation cares for the wellbeing of its staff !,0.0015935503,0.008840352,0.9895661
 The culture is still very much entrepreneurial / startup which isn't for everyone;  As others wrote work/life balance is nowhere like with management consulting jobs but these are not 9 to5 jobs. During fieldwork especially  work days can be long;,0.9957908,0.004062952,0.00014622301
Great coworkers interesting work growth opportunity,0.00022004885,0.00023435899,0.9995455
Understaffed fastpaced environment low salary,0.9991936,0.00062372454,0.0001827028
Challenges team travelling and team building,0.0004988795,0.98754245,0.011958657
Management salary. There is no career plan except for mobile employees,0.9991104,0.00072866963,0.00016087842
The company offer a lot of trainings,0.9922545,0.006612551,0.0011329643
Almost everything. Poor salary worst management I saw inexistent work processes no career opportunities. People remain at the same level the same position the same office with almost the same salary for sometimes 10 years. I quit after 5. The only good thing is that they offer a wide range of internal and external trainings for employees,0.86650604,0.12832029,0.0051737092
I learn everytime concepts and updated concepts and new strategies,0.00045551307,0.9939434,0.0056011057
Salary is very low and procedures are so difficult,0.99921286,0.00062695344,0.00016022548
Culture and missions are key drivers in deciding to work for the Foundation.,0.0017925011,0.9852996,0.0129078785
Pace can be overwhelming at times.,0.99894255,0.00087704003,0.00018040702
Foundation Values Foundation Mission Employee Well being Impact oriented originality,0.000185685,0.0025718997,0.99724245
Remote work load of work,0.99848443,0.0013321519,0.0001834589
It is the best multingpot representation on earth. On board the ship we have lot of opportunities to meet people coming from all over the woworld. The multicultural  is one of the most important thing you can benefit from Mercy Ships.,0.00023322407,0.00036813057,0.9993986
Meeting new people new culture leading to a  positive self improvement.,0.00015608665,0.00046043066,0.99938345
First I wanted to find out what is like to work on board a ship and in a multicultural environment . Second of all I know providing translation services over there can help me to increase my knowledge,0.0005317436,0.99816424,0.0013039743
Well Sometimes I don t have any task to do  I happen to stay all day long without working on anything .,0.93220884,0.067541055,0.00025017577
 quality programming   team,0.0071997335,0.06655341,0.9262468
