Comment,Negative,Neutral,Positive
A very friendly working environment with mutual respect,0.0002017041,0.00019853248,0.99959975
Policy considerations sometimes delay implementation,0.9410651,0.058724817,0.00021010688
Love to work for International Organizations like ActionAid International.,0.000246881,0.00035720808,0.99939585
It becomes stressful at times cause I sometimes work at odd hours to get day's job completed...,0.99901927,0.0008149283,0.00016575768
To assist the poor and disadvantaged and to promote development of all people.,0.06759329,0.1996896,0.7327171
Inflexibility re: remote working requests pay low compared to other,0.9990421,0.00080994936,0.00014794708
Giving back to the Children of Sierra Leone and the world. As we Help and support deprive and excluding Children in our community for them become educated and to make a change in their community.,0.08961708,0.15390022,0.7564827
Help to build my capacity in the Area of IT and other areas of support to become more supportive to the organisation.,0.0014286566,0.0022501305,0.9963212
Good job security compared to other NGOs  standard expatriate contract is 2 years and they will try to keep you around if there is a funding gap before the next project starts. Strong values and good efforts to safeguard communities and prevent corruption.Good technical support from HQ.Private funds give a bit of flexibility.Good links with donors.Well respected locally.Staff welfare is prioritized  good medical and psychological  support flexibility to work from home take a mental health day etc.Good M&E support.Interesting projects and locations.Empathetic managers.,0.00029432686,0.00026085565,0.9994448
Sometimes too eager to chase funds for projects that aren’t well justified because needs have been overblown by government or were understandably of concern before the situation stabilized or funding was duplicated by other organizations and other needs can’t clearly be identified. Finding good local staff is a huge challenge so managers can end up picking up the slack if you don’t have a strong team.Ops can be really slow at getting things done especially when things aren’t straightforward so the program managers have to make them happen.Working with governments donors and certain partners can be incredibly tedious.,0.99859124,0.0012458396,0.00016285757
Very stable and great working environment,0.00023534769,0.0002825576,0.9994821
Average pay; good for entry level expatriates,0.013479623,0.037890576,0.9486298
A place of leaning and gaining experience in the of employment.,0.004993511,0.24909921,0.74590725
Do not compromise with corruption .,0.99353516,0.00628011,0.00018473077
Strong policies and compliance standards Deliver results Strong accountability,0.056110147,0.03142116,0.91246873
Low remuneration and lack of succession management plan,0.99916255,0.000675836,0.00016159848
Diverse and innovative programme portfolio,0.00028642963,0.0005871497,0.9991264
Challenging work environment and limited opportunity for personal development,0.9989631,0.0008581532,0.00017876913
it offers a condusive working environment,0.00052846095,0.00049141847,0.9989801
They pay lower salary to local staff and no allowances and benefits,0.99918216,0.0006354926,0.00018238058
The people were amazing you were implementing the best recent idea in development in trying conditions with a huge amount of autonomy. It was up to you and the organization was very entrepreneurial. No one in development was working remotely as hard or having anywhere as near as much fun as far as I could tell. If you want the same demanding environment as professional services in the west IPA gives you the opportunity to experience it. The culture of the place was just awesome.,0.0049247276,0.04071271,0.9543625
Compensation was terrible support was sometimes lacking and staff worked too hard as a result of the lack of support. The organization was going through growing pains and was presumably going to improve some of the lack of safety around travel.,0.9989845,0.0008575769,0.00015790237
Great learning opportunity in a vibrant place.,0.00017326482,0.00019573056,0.99963105
No enumeration or compensation for interns.,0.99875784,0.0011002787,0.00014190648
It is a good adventure.,0.0002919763,0.0020095583,0.9976985
It is challenging to manage youth from different backgrounds.,0.99827886,0.0015697274,0.00015138314
it is very a very good,0.0019829627,0.8874488,0.11056825
not too attractive for level 6,0.9968341,0.0030347726,0.00013123082
Every day you learn new thing,0.0009019569,0.98744524,0.011652848
The work is too stressful,0.9991009,0.0007287638,0.00017035846
MSF has the ability to create high quality teams that are able to function in fast paced environments and prioritize work in a way that will benefit the most number of people. It is a well focused organization that has their priorities straight.,0.0005371923,0.0006015304,0.9988613
The work almost always involves living and working in remote locations. Due to the context and the values that MSF has normally the working environments involve high stress and the need for creative thinking.,0.99000835,0.009830715,0.00016100988
Because of the multicultural working environment.,0.00046188844,0.0011446348,0.9983935
Low remuneration of staffs and some times long working hours.,0.99921644,0.00060456194,0.00017901171
Working for the public sector of a developing country is eyeopening and challenging and can give you a real sense of how policy is conducted in the field,0.9666197,0.033072956,0.00030726197
