Comment,Negative,Neutral,Positive
Process was straightforward and smooth. I had 2 interviewers. The interview was extremely organised. The questions were also mostly standard ones. The quality of our answers is what matters. Overall found the process to be transparent,0.0011622092,0.994693,0.004144874
Lasted about an hour. There are 3 panellists. Started with introductory questions to understand more about your motivation and application. This is followed by some behavioural and technical questions. In total there are about 6 questions.,0.00032489575,0.9984925,0.0011825139
Full 1hour session. multiple questions on both hard and soft skills. A few panel people doing the interview. From personal thoughts to handling of situations. List of questions meant to sieve out individuals,0.0004380517,0.9989837,0.00057828677
3 rounds scenario questions. 5 to 6 questions. 3 interviewers. Phone face to face. Project depending on role. Use pass working exp to answer. Modetately difficult and fast paced. 1 hour interview.,0.8027138,0.1969058,0.00038035418
Form Submission followed by Online Video Interview once shortlisted. 3 Friendly Interviewers and finished the online interview within 20 mins and proceeded to the next stage of an automated video interview submission.,0.0004118295,0.9983542,0.0012340125
Good  a little lengthy in the written application but very engaging face to face Met with 2 staff members who were warms and detailed in their responses. Feedback came from the automated system so could have been more detailed,0.0013549761,0.013818581,0.98482645
There are three stages to the interview process. Firstly the selection by the recruiting agent next a meeting with the hiring manager and lastly a panel interview with HR and hiring manager. I,0.00064104446,0.99901867,0.00034025716
Quite normal. It was firstly going over CV. And then asking questions about yourself and why you would like to apply for the job and what are your experiences. People are very nice.,0.0007200501,0.9979309,0.0013490065
I applied online and then called in for 30 minute interview facetoface with 2 interviewers the boss and assistant head. Asked questions about experience skills BC behaviours etc. I received a response 10 days later by email.,0.0005557023,0.9991308,0.00031348938
Applied online and was tasked to work on a task to write a 500 word business plan to bring a brand new UK product/service into a new East Asian market. Waited 1 week before they came back with confirmation of a phone interview. Was interviewed on the phone by 3 key Directors (who are based in different countries). Questions asked were mainly based on current or past roles/ experiences.,0.000807294,0.99877304,0.0004196666
Good feedback session with the AD DD and C suite with the Talent and Acquisition team. The whole process is indeed awesome and I did have a wonderful time during the interview.,0.00029345974,0.00040638034,0.9993001
Short and to the point with the customary questions about describing myself and why am I interested in the position. There were 4 interviewers and the interview was very informal with the interviewers being very friendly helping to reduce the stress of the interview.,0.0013006872,0.97992307,0.018776204
It will be with a panel of healthcare professionals one round. Questions regarding your passion for the job understanding of the job will come up. Will also ask you what you want to contribute to the job,0.00024628572,0.9991172,0.0006365124
it's a smooth interview process however the interviewers asked a few questions that were out of the job description/requirements. The interviewers are more focused on your relevant working experience (technical questions),0.0006347801,0.9980386,0.0013267023
2 sessions Test of knowledge in Pharmacy field Interview with senior and HOD Email for offer letter Overall a good description on job offer and daily task or duties duties perform,0.0013445402,0.00550438,0.99315107
it was a one on one face go face interview with one of the main physiotherapists. they went through your qualifications and grades and asked a bit about why you want to be a Physio,0.00060818245,0.99902904,0.00036270765
The interview went alright and they were interested to know about yourself and your work experience. What was upsetting is that HR called me up and verbally offered me the position after I completed the interview a week ago.  However there were no followups after 2 weeks since HR last called me. I contacted them and asked for the updates but to my dismay the job offer was retracted since I did not have past experience in community healthcare. Then why give the candidate false hope and not seek approval from the rest of the management before informing the candidate of the job offer? Very unprofessional and distasteful. Hope no other candidates have to experience what I've gone through,0.99554694,0.004286599,0.00016646058
It was a contract position with only 9 months left to the contract. Panel interview with HR Doctor & supervisor I suppose. Overall felt like an interrogation there wasn't a back and forth conversation where each party can obtain information from one another.,0.9967553,0.0031145944,0.0001300521
"Guy just rambled for 1.5 hours after asking the usual ""tell me about yourself"". HR was there as well. The connection was also quite spotty.  He asked industry specific question which you would not know unless you've been in the industry. So you can't just have the required DS/ML knowledge but need to know the domain. It's a catch22 situation.",0.9973673,0.0025168404,0.00011581307
Interview duration was average. Has three interviewers and they were very friendly. Was nervous at first but felt comfortable with them. Questions asked revolve around my resume and experience.,0.018818533,0.980914,0.00026748024
Hiring and interview process was very fast (Within the same month). Interview itself was relatively fast  about 20 mins. Interview panel was straightforward with their questions and was not intimidating at all. They knew what they wanted to know about me and questions were not daunting as well.,0.0021473907,0.25964013,0.73821247
Shortlisted for interview within 5 days. The interview was taken place at CGH instead of online interview. There were 1 hr staff and the other 2 social work higher ups. Whole process during interview took about 2030 minutes pretty fast although the waiting time took quite a while to start.,0.90403277,0.095701866,0.00026534684
One HR representative and one from the department you are applying to. First section is the regular question and answer during the online meeting followed by your own questions if you had any. Straight forward process,0.0066696056,0.41941085,0.57391953
The interview process was collegial and fairly efficient. The HR personnel were professional and friendly. As it was during COVID19 restrictions the interviews were via phone and virtually. Overall a good experience and process compared to some other organisations.,0.002161897,0.038892105,0.95894593
Interview went well and was offered the position but at senior executive instead. Was told by HR that they can’t offer me assistant manager  even thou I’ve met the requirements as this will upset the existing managers in the organization as they have been with the them for very long.  Unfair assessments to experienced candidates.,0.9947135,0.0050976602,0.0001887881
2 interviewers ask questions about job related past experience also  ask questions on job expectations able to start immediate as department was shorthanded pose questions on hobbies and also experience with working in hospital,0.004480677,0.995278,0.00024132595
Interview was conducted smoothly. The interviewer explained the job role and expectation of the position applied. The type of challenges that we will face and what we will be expecting in the working environment.,0.0031437096,0.99607986,0.0007764175
Basic interview questions were asked. Nothing spectacular or extremely difficult  qn. But overall all interviewers were genuine and nice. Really need to figure out why you want to work here.,0.0007007279,0.99798286,0.0013163671
Informed via phone call overall process was quite smooth. Had one interview in total. Interviewed by head of department and consultant. HR was also seated in the interview. Fair questions asked mainly about your experiences and how you manage certain cases.,0.0010648163,0.99239975,0.006535446
It was a employee referral. My name was referred to the hiring manager of the hiring department. An interview date and time was fixed and thereafter I went ahead to meet the hiring manger and a HR representative to have the interview.,0.0005107849,0.99912804,0.00036117734
Interview was fast. Interviewer was friendly. The interviewer would casually ask simple questions and the things intern has to do such as the workflow expectations. Overall the interview took less than half an hour without pressure.,0.0020364677,0.9469507,0.05101293
Case studies appropriate questions regarding skills  Background check resume cover letter phone call check. Two rounds of interview. Proper process. Professionally done.  Submission of resume  phone call  First interview  second interview  phone call confirmation  signing of contract Was alright overall. A normal interview process.,0.0011487037,0.9961052,0.002746044
HR call for interview met HR and the boss and after 1 week offer was made. Once appointment letter was signed I was recruited and started work as I had resigned and was serving notice at that time.,0.0010050854,0.99797887,0.0010160974
two rounds of intensive interviews after many sets of written tests; though they are difficult i am glad that i have been given the job.  Because of the stringent selection process there has been a reasonabl good personjob fit.,0.016429514,0.38179314,0.6017773
My interview was initially over a video call. The interview lasted over an and I was interviewed by one of the Principle pharmacists and the Chief of the department. They were very friendly and the interview started very casually with general introductions. It then went on to by previous experiences future aims and clinical knowledge with some clinically based questions. The interview also included some practical problem solving and my ability to adapt to new cultural environments as I would be moving for the UK to Singapore.,0.00055405044,0.9842627,0.015183291
Straight forward and the whole process is not lengthy. Interview questions focus more on teaching experience and classroom management skills. Benefits and pay package only will be discussed during job offer.,0.016702238,0.12067425,0.8626235
Face to face interview with interaction and sharing of experience fill in required forms and explanation of job scope  working environment and culture sharing of expectations perspective of how to improve and execute ideas in a better or creative ways,0.011392367,0.98401755,0.004590091
Friendly and short interview. Asked the right questions. Applied online and got an interview a few days later. The interviewer explained in details the role and school I applied for,0.0010706019,0.018686749,0.98024267
Smooth process apply via a recruiter everything arrange nicely the interviewer is friendly and cheerful. Got a good impression the whole process is very smooth and i got my offer.,0.00222524,0.047526065,0.95024866
The interview was scheduled very quickly and feedback was given on the next day.  However the HR staff is not very responsive and open to salary discussion. The interview questions  were easy to answer if you have prior teaching experience.,0.99680847,0.0029151784,0.0002762848
from an agency very simple interviewer just asked when I can start work etc as it is just a temp job. as long as you have the required literacy skills and basic computer knowledge and microsoft office softwares will do,0.0005778845,0.9986859,0.00073617714
some personal questions and how hard you will work for them there are three rounds in total first two are easy third are pressuring. questions are relatively easy takes less than 30 minutes for each interview,0.0008021656,0.9983108,0.0008870556
First there was a an application form to be filled up then you'll be ushered into a waiting room where you'll meet the interviewer. The interview was fast it took about 2030 minutes and the level of difficulty of the questions were relatively low.  They will explain to you the job scope and assess your relevant experiences.,0.99534875,0.0044663325,0.00018496037
These were 2 Skype interviews. Both of the interviewers were not punctual and were about 1520 minutes late. The questions were related to my current employment availability the first interview lasted for about 20 minutes the second one was twice as less. Eventually after the second interview they gave me an offer but after I tried to negotiate my salary they withdrew it.,0.99836046,0.0015128396,0.00012680718
I met the school directors and the interview was the shortest I have ever known. I had more questions for them than they had for me. It seemed rushed and amatuerish. I was requested to start asap but I wanted to give my previous employer enough notice. I compromised only to find they had not got the paperwork in place for me to start so I was without work for 10 days which was unnecessary and frustrating.,0.9988488,0.0010056681,0.00014549012
Interview process was fast however on the interview day the interviewer arrived late for the interview. Just like what the reviewers comment in Glassdoor there seem to some serious issues in the HR department. The interviewer was pleasant though I really doubt the SOP of the company and unprofessional attitude of the department.,0.9023016,0.09707824,0.0006201182
After a simple exchange of information on the Internet we communicated in the PI's office for about 30 minutes. Everything is easy and fun. On the second day after the end I received a notification whether there was a followup.,0.004316336,0.58627844,0.40940526
Two rounds of interview the first one with the Associate Professors and the secondround interview was with the Executive Directors. No offer after 3 weeks exactly from HR hence I am guessing I have not been shortlisted.,0.0021027636,0.9977284,0.00016894739
Fast interview arrangement between HR and hiring manager. Interview process is smooth. Had to go through 2 rounds of interview. Overall process took about 2 to 3 weeks before HR comes back on the offer.,0.007370933,0.6870629,0.30556622
2 rounds of interview. First with a post doc and then an inperson interview with the Principal investigator.   You can only proceed to the second round of interview if you are shortlisted.,0.0011366104,0.9985998,0.00026360957
Process was relatively straightforward and it was more like a chat than an interview.  Everything was arranged conveniently via email and process was smooth and fast. The interviewer was very friendly and provided a comfortable environment.,0.0033512453,0.11045182,0.8861969
Applied for the Senior Executive role under the Office of Education (OoE) on 20 May via NUS Careers portal 1st initial communication from HR via phone on 9 June confirmed 1st interview on 20 June via email.  The HR is very persistent to have  1st interview face to face and not via online. Emailed me a application form to fill up past education and employment history (including previous/current drawn salary and bonuses) 2x references. It's very time consuming as the details they want is mostly stated in the resume. Asked to attach educational cert transcript latest payslip testimonials as well.  Only 1 interview with Deputy director and Assistant manager (Direct RO) at Duke NUS (Outram) . Friendly and pleasant interview experience.  The AM shared alot about the job in detail the female Deputy director is gentle and soft spoken. HR offered me on 1st July (8 working days after the interview) quite fast it's a little less that what I'm expecting. 13% more than my current drawn base salary.,0.9959766,0.0035819132,0.0004414347
Generic interview and a lot of questions asked about past experience. Scenario questions also included to identify if the candidate is suitable for the position. Overall a pleasant experience.,0.0044224234,0.95910025,0.036477383
I had 3 interviewers ( Dean Deputy Director and my Reporting Manager). They were really nice and the interview was a 2way street. They got to know about me and I also got to know about their department. Overall was a very pleasant interview :),0.0004710075,0.01621079,0.9833182
3 rounds of interview  1 phone interview and 2 inperson interviews. Be prepared to explain your resume and how past experience match to current job expectations. Also having past research experience helps.,0.0006776103,0.9966889,0.002633495
Directly contacted the supervisor in charge of the lab. He asked me to meet for an interview and I was selected. HR prepared the contract within a few weeks. Quick and efficient process.,0.0009041973,0.0030514565,0.9960444
searched for opening on their careers website and applied for the job online. 2 rounds of interview conducted on separate days. follow up after interview not as quick as desired,0.98958474,0.010295211,0.000120055796
A 1 hour interview on my expertise areas motivations to join the company what my career plan was and what I wanted to achieve here and in life. I was also able to ask questions in the end and got clear answers.,0.0014637406,0.97301847,0.025517788
I submitted my application and received an invitation for Applicant Day. Applicant Day was indeed like what was described in the invitation a TeamLEAD session first followed by 2 interviews with a doctor/researcher and then finally a short ethics video questionnaire.,0.00027178967,0.99896264,0.0007655503
